source_id,Class,M2min,M1,P,e,s,nss_solution_type,significance,period,eccentricity,parallax,nss_parallax,phot_g_mean_mag,bp_rp,ruwe,a_thiele_innes,b_thiele_innes,rv_amplitude_robust,rv_chisq_pvalue,first_fail_main,first_fail_wider,fails_main
2080945469200565248,NS,1.381396130166509,1.081645,196.6400385800571,0.045149291731162,54.25931,Orbital,54.25931,196.64003858005705,0.045149291731162396,1.487461707062165,1.3905876523580052,13.29416,0.8431864,3.2676435,-0.03933278406367471,-0.385783683723004,,,F#5,NONE,['F#5_G=13.294159889221191']
678085695778294784,WD,0.533993929427487,0.490857,693.8574833868194,0.131927856167009,34.53888,Orbital,34.538876,693.8574833868194,0.1319278561670089,3.407361505754498,3.221456243028968,16.357347,1.914855,3.2404246,1.5262357093318786,1.4556406957428942,,,F#5,F#5,['F#5_G=16.35734748840332']
5283631903842076032,NS,1.113276314615741,0.805625,90.7540776405836,0.313509289982637,31.28716,Orbital,31.287157,90.75407764058359,0.31350928998263744,3.461912601821934,3.3765738366764193,13.305844,1.14427,5.0458517,0.6013502740822139,-0.06454599582494275,,,F#3,F#3,"['F#3_P=90.8_lt_100', 'F#5_G=13.3058443069458']"
1434445448240677376,NS,1.327231784700157,1.056771,572.4227597979572,0.301274394544083,82.50039,Orbital,82.50039,572.4227597979572,0.30127439454408306,1.2807473087611407,1.4386065194247268,13.646986,0.7939091,6.1101685,-0.6768027306983949,0.6473391418102132,,,F#5,NONE,['F#5_G=13.64698600769043']
1695294922548180224,NS,1.480247632168239,1.039916,601.1775441016509,0.571448384574944,79.8912,Orbital,79.8912,601.1775441016509,0.571448384574944,1.0875757900645378,1.343517002737875,13.119968,0.8298845,7.2309537,0.9848170671700537,-1.1124025112907208,,,F#5,NONE,['F#5_G=13.11996841430664']
2581557958039687296,WD,0.511310412707729,0.444537,317.3617990088507,0.015042687234303,78.90501,Orbital,78.90501,317.36179900885065,0.015042687234302618,21.745535054059093,14.973274143742264,13.397092,2.0653305,25.852985,1.9731045470122357,-6.434136364245618,43.253372,0.0,F#5,NONE,['F#5_G=13.39709186553955']
3072288654854260864,WD,0.591834754095502,0.493277,608.47293221289,0.029838662414401,228.71103,Orbital,228.71103,608.47293221289,0.029838662414401394,7.739640095602026,8.471301303921704,14.255661,2.0174723,23.554613,5.846154779084856,-1.4512057445902005,,,F#5,F#5,['F#5_G=14.255661010742188']
6588211521163024640,BH,2.407129600947613,1.093465,943.3326302158464,0.973735916363991,10.41998,Orbital,10.419976,943.3326302158465,0.9737359163639909,1.2478093474081131,0.9962129673562496,14.190253,0.7452707,1.6392837,1.8949185456776951,-0.46739194494448916,,,F#2,F#2,"['F#2_sig=10.419976234436035', 'F#5_G=14.190253257751465']"
347695336533949440,NS,0.877704948840798,0.401691,836.6169219627163,0.82210187013423,11.24259,Orbital,11.242594,836.6169219627163,0.8221018701342295,2.9420806665657313,4.407716411609814,15.900197,1.7447777,5.88929,-5.142612826236125,1.6274523411307293,,,F#2,F#2,"['F#2_sig=11.242593765258789', 'F#5_G=15.90019702911377']"
5913084821648555520,WD,0.608188045167131,0.507522,611.961011438392,0.09973266302657,49.25461,Orbital,49.254612,611.961011438392,0.09973266302657036,3.5550736397571807,3.584604901507854,15.982324,1.8882713,3.3114152,0.48608843322304435,-1.0697060243106578,,,F#5,F#5,['F#5_G=15.98232364654541']
1255744194199868800,WD,0.540769845985557,0.460925,526.0954315170234,0.219417058166699,28.76246,Orbital,28.762463,526.0954315170234,0.21941705816669918,2.5391204749917624,3.3281361618489527,16.985146,2.469493,2.0230925,0.10850894074439947,2.224221141893527,,,F#5,F#2,['F#5_G=16.985145568847656']
3353857674171392896,NS,0.843899072972985,0.454744,591.993915902124,0.504628242109668,20.58712,Orbital,20.587116,591.993915902124,0.5046282421096683,3.477456079305775,3.70821068652428,16.368265,2.0310993,3.9208019,-2.0945354568477583,-1.5459329815513019,,,F#5,F#2,['F#5_G=16.36826515197754']
5467622873958750848,WD,0.561792691446948,0.287894,670.8068415753745,0.061572354250052,121.40762,Orbital,121.407616,670.8068415753745,0.06157235425005193,5.893892906719104,6.954400315576296,16.49908,2.431077,7.6734934,5.336377313072566,-0.7178573279124779,,,F#5,F#5,['F#5_G=16.499080657958984']
4240540718818313984,NS,1.346037498891683,0.822066,691.1678608875368,0.618185795237307,85.18006,Orbital,85.18006,691.1678608875368,0.6181857952373071,1.3661229733580351,2.077808096055644,14.611238,1.1724119,7.4880376,-2.3915204441210545,-0.8912050030352773,,,F#5,F#5,['F#5_G=14.611237525939941']
2397135910639986304,NS,1.529251236131885,0.969886,916.0157822158292,0.563674175758881,43.81102,Orbital,43.811024,916.0157822158293,0.5636741757588812,1.1998042607367263,2.042132357330552,13.346148,0.71879673,6.5451856,-1.3562434826823475,-2.529332279334463,,,F#5,NONE,['F#5_G=13.346147537231445']
5580526947012630912,NS,1.82800326661295,1.173079,654.3255682460206,0.760676935647558,12.87583,Orbital,12.8758335,654.3255682460206,0.7606769356475582,1.0630664640157195,1.1263296751921539,13.359833,0.7405329,5.242633,1.2112384231200237,0.7115833891615001,,,F#5,F#2,['F#5_G=13.359832763671875']
5983827326751931648,WD,0.583830956470993,0.373439,846.3600068947259,0.070471618168152,27.2632,Orbital,27.263199,846.3600068947259,0.070471618168152,7.085902886668465,6.3315588048296005,16.581532,2.872426,5.5879908,1.3707170075995336,-0.9431815975672782,,,F#5,F#2,['F#5_G=16.581531524658203']
