GaiaDR3,M2min,e_M2min,M1,P,e_P,e,e_e,s,sigTI,Class,n_Class,NSGaiaDR3,_RA,_DE
2080945469200565248,1.381396130166509,0.059334781041169,1.081645,196.6400385800571,0.500053,0.045149291731162,0.039742,54.25931,3.480386153227966,NS,,NSGaiaDR3,302.86749,42.72571
5446310318525312768,1.358828040760933,0.053067062928562,1.156729,866.5581398986174,10.594491,0.247375002999077,0.004258,47.02735,0.104350813713028,NS,AstroSpectroSB1,NSGaiaDR3,153.103,-35.62033
1801110822095134848,1.348481320975085,0.051253712528238,0.883359,893.5833196656748,2.888043,0.588456934212778,0.012539,92.17574,0.187510741956258,NS,AstroSpectroSB1,NSGaiaDR3,326.35323,28.62378
4240540718818313984,1.346037498891683,0.064794021908194,0.822066,691.1678608875368,1.993625,0.618185795237307,0.015737,85.18006,0.124636540779065,NS,,NSGaiaDR3,297.42781,1.49198
1694708646628402048,1.344420343698978,0.049336676359119,1.066315,632.0335601604571,2.820908,0.258794772404484,0.022643,114.85949,0.249588894866832,NS,,NSGaiaDR3,222.32616,69.31729
747174436620510976,1.328665882444625,0.062406371736259,0.716733,999.4359398395977,26.45616,0.707448319761957,0.018073,48.73918,0.343316181878906,NS,,NSGaiaDR3,151.83986,34.13993
1434445448240677376,1.327231784700157,0.053095199209731,1.056771,572.4227597979572,1.786597,0.301274394544083,0.022642,82.50039,0.162613618208779,NS,,NSGaiaDR3,263.39531,58.14627
1522897482203494784,1.325236059756487,0.059345193096092,0.734077,45.5165369331074,0.005114,0.04589676879737,0.005804,156.60417,0.855342917336781,NS,AstroSpectroSB1,NSGaiaDR3,198.51734,38.30119
3494029910469026432,1.317758642945676,0.052200198926598,1.023932,632.5299065981172,1.635729,0.551610942819117,0.018128,77.56015,0.24705283293096,NS,AstroSpectroSB1,NSGaiaDR3,177.72011,-22.06403
1581117310088807552,1.312907289328358,0.075569244013929,0.562148,927.3139036948771,5.726696,0.5201167202199,0.006038,175.5705,0.037236513167839,NS,,NSGaiaDR3,185.0534,58.6879
6481502062263141504,1.308505102469397,0.060748897337848,1.013788,229.6837283026381,0.506422,0.304245723648051,0.044822,48.48111,0.318425665834448,NS,,NSGaiaDR3,314.4933,-47.70061
5681911574178198400,1.281529132227619,0.077926570917136,0.660917,943.7606474969027,31.07053,0.595661007672048,0.018452,38.08714,0.230161803709225,NS,,NSGaiaDR3,142.12711,-17.59473
4638295715945158144,1.257908067788954,0.048261449902645,0.97368,915.3986226676622,5.847497,0.648553727256618,0.011452,85.1027,1.242499261913741,NS,,NSGaiaDR3,30.66461,-74.31647
2995961897685517312,1.256510683394521,0.075158048364644,0.93894,189.7632973404004,0.342963,0.366263239467653,0.07018,39.85081,1.215124730942337,NS,,NSGaiaDR3,88.4715,-13.83202
2032579979951732736,1.255052744631574,0.055159912026939,0.897359,215.4466163636317,0.396621,0.145824517608359,0.02264,63.06238,1.22015420309451,NS,,NSGaiaDR3,293.69861,30.01015
2196619383835483648,1.252404686686419,0.107120791957323,0.854038,582.230716142507,5.027458,0.245817916099151,0.058995,28.29102,1.914974308073647,NS,,NSGaiaDR3,317.15168,64.61542
3389767036738482432,1.199770180155875,0.07473485715373,0.862008,717.2313897113473,12.022688,0.141764902481986,0.031093,55.49234,0.606703611733115,NS,,NSGaiaDR3,83.31553,14.70634
3184078579032750464,1.195538876785747,0.049583879354308,1.017443,614.8946644912102,3.158794,0.153390328407806,0.020897,87.36731,0.973983897283701,NS,,NSGaiaDR3,70.35709,-11.49274
1525829295599805184,1.193717416775548,0.115095812118461,0.37754,328.2036917776257,0.756386,0.369971912713267,0.019991,61.31105,0.121320612612349,NS,,NSGaiaDR3,198.37091,41.865
5331513195692864768,1.192513250339627,0.059859996969486,0.750554,870.4420523773397,22.484852,0.455975921422264,0.029751,71.95023,0.484388090303238,NS,,NSGaiaDR3,132.15146,-44.92805
4466767229088016256,1.185972787129379,0.072023698878539,1.004453,776.6040441530886,5.304716,0.154207935692706,0.027775,116.07076,2.677147923538393,NS,,NSGaiaDR3,245.63225,16.79671
5039979680444075392,1.181636157819967,0.048876906418899,0.950886,553.3047797429405,0.975304,0.181200827048915,0.014483,83.79675,0.190170250511997,NS,,NSGaiaDR3,19.7898,-25.44418
2469926638416055168,1.170637770991652,0.140419070188844,0.516587,582.1272644608122,4.066905,0.742939694013264,0.064793,18.15152,0.390045946482681,NS,,NSGaiaDR3,17.3663,-10.57971
1683575679079854848,1.168151142280972,0.057752442176328,0.947869,795.5664209871641,7.923424,0.621275213853682,0.029772,49.55928,0.15274566453028,NS,,NSGaiaDR3,181.35301,69.24107
5362481146844816640,1.166805159612236,0.107734690245067,0.654624,980.9450346928791,95.298187,0.370130344008736,0.090802,11.52012,0.825175518885446,NS,,NSGaiaDR3,164.15221,-47.99924
2919995917769953408,1.161986434914885,0.100599374331532,0.691084,456.7740510281445,1.597652,0.752408352938811,0.050494,23.19308,0.249345505395465,NS,,NSGaiaDR3,100.03266,-26.35886
5355633933885075328,1.139206864971418,0.044601336069555,0.96925,574.7398061433263,2.275454,0.111304617082041,0.021654,76.76796,1.498460931576463,NS,,NSGaiaDR3,155.25348,-54.824
1579254496872812032,1.122551384849143,0.05199263259875,0.867429,601.4623670644385,2.74236,0.30780174457177,0.026733,64.75066,0.18506166770978,NS,,NSGaiaDR3,197.70823,60.28273
5283631903842076032,1.113276314615741,0.069188047508308,0.805625,90.7540776405836,0.098784,0.313509289982637,0.041172,31.28716,2.190851753218383,NS,,NSGaiaDR3,98.16813,-66.24075
5333771489506466432,1.110469129294832,0.075008284609691,0.806268,636.7617429803634,8.839819,0.113887603128354,0.055958,42.93077,4.146424038909969,NS,,NSGaiaDR3,170.27867,-63.23136
220012968211559296,1.061268322897716,0.084972307107372,0.706157,196.3405944551676,0.81427,0.411673794846755,0.082159,25.26768,0.396160292326515,NS,,NSGaiaDR3,57.98016,36.22553
4618063808640529920,1.051362284923668,0.070086760471514,0.589752,160.9182364222016,0.351983,0.195696625254397,0.039116,42.44588,4.389633737777209,NS,,NSGaiaDR3,34.94352,-82.80186
5327240562221030528,1.041689116734908,0.042020915608774,0.86904,162.437942962467,0.158475,0.08642335844966,0.024076,71.90108,1.157022795891145,NS,,NSGaiaDR3,138.69627,-47.47697
2574867704662509568,1.013964888028217,0.067748389997816,0.688968,67.5465397715723,0.033214,0.563880148707679,0.02995,45.86265,0.136203019193757,NS,AstroSpectroSB1,NSGaiaDR3,29.14757,12.46741
1820819950320873472,0.984859756569442,0.081030257255158,0.471088,285.3833998151071,0.998663,0.132298277025544,0.036385,46.41503,2.532490156389208,NS,,NSGaiaDR3,297.14826,17.06555
4526711950202650240,0.951482515843094,0.093069422239278,0.622963,549.37112538301,1.695213,0.819068754133072,0.036674,19.35653,0.164955827511794,NS,,NSGaiaDR3,274.18647,18.66189
1449731030688880512,0.949907017454718,0.049502278499689,0.740307,465.3880099118855,1.721478,0.286477261351454,0.027182,74.29005,0.351641312247072,NS,,NSGaiaDR3,202.64992,28.45977
4847718871053268480,0.93976759268582,0.052571700701215,0.705694,565.0247439878617,4.808462,0.329439621226082,0.036823,49.65079,0.473296823903727,NS,,NSGaiaDR3,51.83057,-43.71388
1109902566711892352,0.924990076408051,0.07177437684417,0.621545,661.0143780364061,6.152047,0.357869419565167,0.031244,34.53264,1.999287823568994,NS,,NSGaiaDR3,107.26355,70.87299
988173469736683136,0.923992299765275,0.097883954489731,0.553161,892.819143563354,31.357195,0.639700229299039,0.04259,22.01286,1.023917537873745,NS,,NSGaiaDR3,109.04385,55.84803
41408333753757056,0.901258000223044,0.058896192419414,0.575586,875.9230941755561,21.202158,0.527043894938887,0.02548,36.23845,0.115434627954734,NS,,NSGaiaDR3,54.12654,14.31804
347695336533949440,0.877704948840798,0.158155820676449,0.401691,836.6169219627163,13.318941,0.82210187013423,0.053097,11.24259,0.336499284386105,NS,,NSGaiaDR3,25.68797,41.58748
3353857674171392896,0.843899072972985,0.092707352634205,0.454744,591.993915902124,4.09055,0.504628242109668,0.057597,20.58712,0.235681370414867,NS,,NSGaiaDR3,104.66652,14.52039
3619399009406031360,0.834113602872051,0.038879727294271,0.633156,300.1781565050023,0.577423,0.022079572023311,0.021113,124.07854,4.12665654851318,WD,,NSGaiaDR3,210.4264,-7.28843
6148133675775194496,0.810273859961529,0.042459484358771,0.609627,599.5883940729731,2.437307,0.13584822753129,0.023868,91.47292,1.340751347548797,WD,,NSGaiaDR3,184.78066,-42.152
6345215740573418240,0.768704971396743,0.042291269083101,0.510639,459.2676260756612,0.361689,0.024640110471319,0.005315,319.69852,0.538918508943366,WD,,NSGaiaDR3,338.79012,-82.55964
513410735478322944,0.758934364369473,0.112678036772404,0.350079,964.7960888606726,89.356049,0.198312619663789,0.042639,7.86563,0.825378226007937,WD,,NSGaiaDR3,35.93552,60.49443
1258132677052807424,0.745529175835315,0.068949340505225,0.514057,620.0065279783782,6.540203,0.224764176999931,0.038828,33.53066,0.355498443751566,WD,,NSGaiaDR3,209.30485,25.16966
4429564978284010624,0.744993000137931,0.038800176236049,0.560116,521.7854683479596,1.929802,0.058725688102403,0.021715,95.29243,0.476340257802478,WD,,NSGaiaDR3,236.9446,6.40114
6476764747694402560,0.724947210546165,0.056224419628163,0.538751,847.2070147336176,24.149059,0.078206531448188,0.041192,23.19922,3.956439602536086,WD,,NSGaiaDR3,316.53008,-52.30866
6565536670821170048,0.705310793872853,0.068784629479449,0.319737,812.5246161119455,4.275336,0.056226504119577,0.011467,144.19408,1.050872381964676,WD,,NSGaiaDR3,324.6563,-44.49614
780762798862741248,0.704640389785882,0.042017186179252,0.480167,147.3346307397053,0.164024,0.023933116644274,0.019717,128.95952,2.428075043672762,WD,,NSGaiaDR3,158.87055,42.64594
778976951460413184,0.689786665045917,0.107140445570567,0.421204,906.1444518117991,49.419842,0.21368364823045,0.114423,22.14771,0.415636522042744,WD,,NSGaiaDR3,166.66145,44.03214
3737275314557968512,0.679770645273414,0.063760315954407,0.425197,836.406957173699,66.491295,0.064841779399186,0.085267,11.91306,1.81968205129422,WD,,NSGaiaDR3,194.7653,12.35424
1569917409771276928,0.675519830073627,0.060490427553817,0.520976,916.5244907718496,36.96294,0.152708117971266,0.058768,31.90019,0.993356434969503,WD,,NSGaiaDR3,191.0177,53.30302
5270266446649786112,0.67476811984132,0.079758594004953,0.527351,835.6747562991526,58.98069,0.117705183094096,0.073663,9.22595,3.104592320179749,WD,,NSGaiaDR3,126.51749,-68.37356
4111830204091975808,0.668782782928428,0.044223474720264,0.539285,776.3841717740495,9.906514,0.084237204402346,0.029347,71.41409,1.784966659269077,WD,,NSGaiaDR3,256.27042,-26.65462
4690033098152050944,0.664061276662213,0.047880871648497,0.55827,846.0507583743195,19.361988,0.031779432348475,0.043353,45.05784,5.003829242420856,WD,,NSGaiaDR3,8.10109,-71.61938
2089665008721347072,0.662615108795478,0.036229691229325,0.547972,613.956931954358,4.691932,0.012409893723096,0.030344,62.83355,4.570479531549842,WD,,NSGaiaDR3,300.11066,54.13781
339403953708089728,0.660015068952727,0.062446874569455,0.491087,531.3266696335046,5.257716,0.176947041008443,0.144693,37.14484,1.295249396967478,WD,,NSGaiaDR3,34.81545,42.64287
2616906015627057536,0.649339557092879,0.091601154789993,0.493943,878.8328568363262,96.957291,0.473147503846746,0.17528,7.35617,0.869583331025678,WD,,NSGaiaDR3,328.39216,-10.91177
2977891458442799744,0.64911648046219,0.050329713936731,0.539209,843.1170299622223,39.326332,0.038855862895694,0.05265,20.87894,5.176676879697659,WD,,NSGaiaDR3,71.76384,-19.10556
2764969554255024384,0.648197135577168,0.057377456439964,0.493378,848.189804484581,26.376257,0.257478409121076,0.068921,34.51527,0.64597979335259,WD,,NSGaiaDR3,353.92854,13.09521
