source_id,Class_shahaf,M2_shahaf,M2_v2,class_v2,tier_v2,filter29,filter30,filter31,filter32,phot_g_mean_mag,bp_rp,significance,period,eccentricity,parallax,nss_parallax,plx_used,plx_source,M1_used,logg_used,logg_source,rv_amp_robust,sini_implied_v2,K_pred_i90_v2,first_fail_main,nss_solution_type
4373465352415301632,BH,12.806249189164856,12.731754631333096,dormant_BH_candidate,Tier-2 (RV inconclusive — needs follow-up),PASS,PASS,NO_DATA,NO_DATA,13.771998405456543,1.174783706665039,13.565509796142578,185.7656578920495,0.48893589298452034,2.069988584035135,2.0954515888832432,2.0954515888832432,NSS,0.9091377854347229,4.229700088500977,gspphot,,,,F#5,Orbital
6802561484797464832,BH,3.078434851754412,3.0714730799617147,dormant_BH_candidate,Tier-2 (RV inconclusive — needs follow-up),PASS,PASS,NO_DATA,NO_DATA,12.883955001831055,0.7735795974731445,6.821434020996094,574.8310585133289,0.8303541866051125,1.7012722253116257,1.4550273741504063,1.4550273741504063,NSS,1.174448013305664,4.479300022125244,gspphot,,,,F#2,Orbital
6588211521163024640,BH,2.407129600947613,2.7314992908029625,dormant_NS_candidate,Tier-2 (RV inconclusive — needs follow-up),PASS,PASS,NO_DATA,NO_DATA,14.190253257751465,0.7452707290649414,10.419976234436035,943.3326302158465,0.9737359163639909,1.2478093474081131,0.9962129673562496,0.9962129673562496,NSS,1.5,4.571400165557861,gspphot,,,,F#2,Orbital
6328149636482597888,BH,2.454031510741937,2.5548424472173705,dormant_NS_candidate,Tier-2 (RV inconclusive — needs follow-up),PASS,PASS,NO_DATA,NO_DATA,13.33588981628418,0.817138671875,89.91028594970703,736.0178501588972,0.13536632602311333,1.2058649148347207,1.231583665886212,1.231583665886212,NSS,1.2109044790267944,4.100800037384033,gspphot,,,,F#5,Orbital
6601396177408279040,BH,2.571133938005425,2.5446863210667976,dormant_NS_candidate,Tier-2 (RV inconclusive — needs follow-up),PASS,PASS,NO_DATA,NO_DATA,14.070855140686035,0.8201427459716797,10.821394920349121,533.497769932878,0.7906384201067765,1.4911391392540274,1.482519434388983,1.482519434388983,NSS,0.9590221643447876,4.524400234222412,gspphot,,,,F#2,Orbital
4744087975990080896,NS,1.556266202517077,2.3370308200754852,dormant_NS_candidate,Demoted (failed F#30 K-giant chromatic),PASS,FAIL,NO_DATA,NO_DATA,17.066120147705078,1.8008556365966797,22.479469299316406,631.2568824918063,0.613342905824446,2.5481637166411213,1.986623427046373,1.986623427046373,NSS,1.5,,NONE,,,,F#5,Orbital
5590962927271507712,NS,1.523707062516542,2.1807019282875064,dormant_NS_candidate,Demoted (failed F#30 K-giant chromatic),PASS,FAIL,NO_DATA,NO_DATA,15.882135391235352,1.3755617141723633,18.8236141204834,817.8959331238286,0.7245813454476847,2.9393047717846774,1.9457633884090826,1.9457633884090826,NSS,1.5,,NONE,,,,F#5,Orbital
1525829295599805184,NS,1.193717416775548,2.058734707100962,dormant_NS_candidate,Demoted (failed F#30 K-giant chromatic),PASS,FAIL,NO_DATA,NO_DATA,16.176252365112305,1.7374658584594727,61.3110466003418,328.20369177762575,0.3699719127132666,4.264315742581003,4.040958178128576,4.040958178128576,NSS,1.5,,NONE,,,,F#5,Orbital
1058875159778407808,NS,1.775437829826004,2.0460856354085477,dormant_NS_candidate,Tier-2 (RV inconclusive — needs follow-up),PASS,PASS,NO_DATA,NO_DATA,14.520771026611328,0.7493410110473633,32.974021911621094,835.6823615515086,0.41747346135190017,1.2576305653640287,0.9006385762523137,0.9006385762523137,NSS,1.5,4.5630998611450195,gspphot,,,,F#5,Orbital
1581117310088807552,NS,1.312907289328358,1.984504284019295,dormant_NS_candidate,Demoted (failed F#30 K-giant chromatic),PASS,FAIL,NO_DATA,NO_DATA,14.508785247802734,1.5626802444458008,175.57049560546875,927.3139036948771,0.5201167202199002,7.4552098202805395,4.567308179279272,4.567308179279272,NSS,1.5,,NONE,,,,F#5,Orbital
4922744974687373440,NS,1.449055960524064,1.9317775133646204,dormant_NS_candidate,Tier-2 (RV inconclusive — needs follow-up),PASS,PASS,NO_DATA,NO_DATA,14.47603988647461,1.1015853881835938,15.422578811645508,562.3805772557849,0.8134732610861813,2.444594855555545,2.1754145984334397,2.1754145984334397,NSS,1.5,,NONE,,,,F#5,Orbital
1522897482203494784,NS,1.325236059756487,1.823298939212449,dormant_NS_candidate,Demoted (failed F#30 K-giant chromatic),PASS,FAIL,PASS,PASS,11.052850723266602,1.2417936325073242,156.6041717529297,45.51653693310744,0.04589676879736954,11.73700276563473,12.447919346427884,12.447919346427884,NSS,1.5,,NONE,87.39154052734375,0.8939723361309162,48.878213002413226,F#3,AstroSpectroSB1
1350295047363872512,NS,1.652824257836509,1.8145618605949165,dormant_NS_candidate,Tier-2 (RV inconclusive — needs follow-up),PASS,PASS,NO_DATA,NO_DATA,13.52313232421875,0.7164516448974609,34.107887268066406,657.2419539332093,0.6560022398995309,0.7439223300399264,1.1171896830519994,1.1171896830519994,NSS,1.4254578351974487,3.9504001140594482,gspphot,,,,F#4,Orbital
5580526947012630912,NS,1.82800326661295,1.795899074732941,dormant_NS_candidate,Tier-2 (RV inconclusive — needs follow-up),PASS,PASS,NO_DATA,NO_DATA,13.359832763671875,0.7405328750610352,12.875833511352539,654.3255682460206,0.7606769356475582,1.0630664640157195,1.1263296751921539,1.1263296751921539,NSS,1.1264716386795044,4.107100009918213,gspphot,,,,F#5,Orbital
