bin,pairs,stars,median_delta,median_noise,frac_gt3sig
<4 d,44,11,0.064728342387466,0.20622463806736446,0.0
4 d-5 wk,43,5,0.07513572204125953,0.20696408991129114,0.023255813953488372
5 wk-1 yr,196,11,0.09290691808034313,0.22461519629056775,0.030612244897959183
1-3 yr,328,14,0.13277243589743587,0.1942004506266815,0.003048780487804878
3-10 yr,582,11,0.12966488497243067,0.16546313635643564,0.02577319587628866
10-30 yr,231,6,0.09319718107291802,0.16495321591181625,0.08225108225108226
