name,dt_yr,delta,noise,sig,bin
GALEX J0039-0356,0.8761122518822724,0.44614804574588407,0.21340091237735317,2.090656692961875,5 wk-1 yr
GALEX J0039-0356,1.0403832991101984,0.2862426035502958,0.22443005910003702,1.275420078300236,1-3 yr
GALEX J0039-0356,1.7111567419575633,0.38252223966509685,0.19305182868186987,1.9814484135006838,1-3 yr
GALEX J0039-0356,0.16427104722792607,0.7097313100375886,0.23272276630009994,3.049685775573749,5 wk-1 yr
GALEX J0039-0356,0.8350444900752909,0.06646140779275922,0.19859307871470216,0.3346612491376769,5 wk-1 yr
GALEX J0039-0356,0.6707734428473648,0.6509461426491994,0.2103713984750893,3.094271119399721,5 wk-1 yr
Gaia J0611-6931,5.749486653152713e-05,0.011563080735081608,0.1707146863337601,0.06773336836688387,<4 d
Gaia J0611-6931,1.1360684462696797,0.08830455259026687,0.16935462742547294,0.5214180086642547,1-3 yr
Gaia J0611-6931,3.0799342915811185,0.11512044113379115,0.1690330867776639,0.6810527058836342,3-10 yr
Gaia J0611-6931,4.1723586584531285,0.19892771307080787,0.168203123423056,1.182663609465057,3-10 yr
Gaia J0611-6931,1.1360109514031482,0.09984214680347282,0.16954053584148968,0.5888983794224839,1-3 yr
Gaia J0611-6931,3.079876796714587,0.12664137729792818,0.16922364307701582,0.7483669243563802,3-10 yr
Gaia J0611-6931,4.172301163586597,0.21036981973610852,0.16840868195616507,1.2491625567787856,3-10 yr
Gaia J0611-6931,1.9438658453114388,0.026884212477982675,0.1676883051397888,0.16032252491055585,1-3 yr
Gaia J0611-6931,3.0362902121834487,0.11111111111111106,0.16673871659529158,0.6663785914869436,3-10 yr
Gaia J0611-6931,1.09242436687201,0.08428984491369496,0.16633109597458803,0.5067593910796614,1-3 yr
HE 1349-2305,0.004963723477075759,0.3935418768920282,0.4440534317454816,0.8862489258220503,<4 d
HE 1349-2305,0.005234770705007255,0.055459272097053626,0.39031255826885936,0.142089386882734,<4 d
HE 1349-2305,6.970633812457234,0.1159678858162354,0.3966263811488003,0.29238570939316394,3-10 yr
HE 1349-2305,8.029831622176593,0.20651162790697664,0.4076742673688678,0.5065603704639097,3-10 yr
HE 1349-2305,10.877779603011646,0.26985645933014357,0.41529129228017764,0.6498004276672482,10-30 yr
HE 1349-2305,10.948580424366885,0.2419659735349715,0.4118369473543495,0.5875285719005222,10-30 yr
HE 1349-2305,11.07969609856264,0.2504743833017077,0.41320370456971733,0.6061765190671147,10-30 yr
HE 1349-2305,11.16439698836414,0.08252853380158029,0.3923135762419727,0.2103636957765591,10-30 yr
HE 1349-2305,11.65527446954141,0.05891980360065472,0.3751950784732759,0.15703778375880648,10-30 yr
HE 1349-2305,11.753727583846677,0.11408199643493756,0.39616690627521706,0.2879644781729568,10-30 yr
HE 1349-2305,11.81376317590691,0.3118908382066276,0.42045378322189303,0.7417957707899332,10-30 yr
HE 1349-2305,11.885407255304598,0.16423357664233565,0.402315693592058,0.40822065670862445,10-30 yr
HE 1349-2305,11.967003422313494,0.235626767200754,0.41111778052303294,0.5731368925493432,10-30 yr
HE 1349-2305,12.045984941820677,0.20856610800744885,0.4077748840617347,0.5114736492105119,10-30 yr
HE 1349-2305,12.046329911019846,0.3438735177865611,0.42443719495659477,0.8101870473951451,10-30 yr
HE 1349-2305,12.215805612594124,0.05891980360065472,0.37514152930829636,0.15706019994452183,10-30 yr
HE 1349-2305,12.657363449691989,0.0652528548123981,0.3743816083030406,0.17429503310317432,10-30 yr
HE 1349-2305,12.717442847364824,0.12926391382405739,0.3986765331187159,0.32423256220492375,10-30 yr
HE 1349-2305,12.796624229979477,0.044827586206896516,0.38772553944225907,0.11561680015038664,10-30 yr
HE 1349-2305,13.93561943874059,0.3236749116607775,0.34394048431286234,0.9410782574997758,10-30 yr
HE 1349-2305,13.984824093086933,0.33777154870357395,0.34226626752932454,0.9868677715212895,10-30 yr
HE 1349-2305,14.091244353182764,0.04306632213608958,0.38740441196067715,0.11116631821028657,10-30 yr
HE 1349-2305,14.140405201916504,0.046128500823723266,0.3766781040177335,0.12246132793944295,10-30 yr
HE 1349-2305,0.0002710472279314964,0.33993743482794586,0.45321859211837995,0.7500518309256712,<4 d
HE 1349-2305,6.965670088980159,0.2807775377969763,0.46287309374886304,0.606597232781293,3-10 yr
HE 1349-2305,8.024867898699517,0.19090909090909097,0.4795577335782531,0.3980940719787993,3-10 yr
HE 1349-2305,10.87281587953457,0.12705882352941167,0.4912639161327826,0.25863658892274355,10-30 yr
HE 1349-2305,10.943616700889809,0.15527230590961769,0.485963670196108,0.3195142259234284,10-30 yr
HE 1349-2305,11.074732375085564,0.1466821885913854,0.48797648717899983,0.3005927384726211,10-30 yr
HE 1349-2305,11.159433264887063,0.3135593220338983,0.45649381012072954,0.6868862514279676,10-30 yr
HE 1349-2305,11.650310746064335,0.4498539435248296,0.4313455438311859,1.0429085218529284,10-30 yr
HE 1349-2305,11.748763860369602,0.2826321467098166,0.46224071324774735,0.6114393185403687,10-30 yr
HE 1349-2305,11.808799452429835,0.08423586040914563,0.49925145362060547,0.16872431677116098,10-30 yr
HE 1349-2305,11.880443531827522,0.23307436182019983,0.47147807102404204,0.49434825529417825,10-30 yr
HE 1349-2305,11.962039698836419,0.161662817551963,0.48484700455736135,0.3334305791979725,10-30 yr
HE 1349-2305,12.041021218343602,0.18885096700796353,0.47974932440673906,0.3936450921353517,10-30 yr
HE 1349-2305,12.04136618754277,0.05140758873929019,0.5054451225097536,0.10170755725968683,10-30 yr
HE 1349-2305,12.210841889117049,0.4498539435248296,0.4312795978625895,1.0430679905896179,10-30 yr
HE 1349-2305,12.652399726214913,0.45586808923375366,0.43017743068898884,1.0597210748681483,10-30 yr
HE 1349-2305,12.712479123887748,0.26768226332970624,0.4658428350546356,0.5746192560808874,10-30 yr
HE 1349-2305,12.791660506502401,0.35025906735751294,0.44969284143919264,0.7788851302069812,10-30 yr
HE 1349-2305,13.930655715263514,0.6950819672131148,0.38697164914587306,1.7962090213774193,10-30 yr
HE 1349-2305,13.979860369609858,0.7077922077922076,0.3846566844401202,1.8400621552240053,10-30 yr
HE 1349-2305,14.086280629705689,0.3519668737060041,0.4492433034711655,0.7834660438708019,10-30 yr
HE 1349-2305,14.135441478439429,0.4376840039254171,0.433511845948993,1.0096240922028115,10-30 yr
HE 1349-2305,6.965399041752227,0.060606060606060615,0.4033555009743064,0.15025470201761598,3-10 yr
HE 1349-2305,8.024596851471586,0.15148609779482264,0.4149634567043561,0.36505888734860353,3-10 yr
HE 1349-2305,10.87254483230664,0.21520236920039504,0.42298342053115556,0.5087725871859413,10-30 yr
HE 1349-2305,10.943345653661877,0.18713450292397657,0.41934559387135134,0.4462536524978643,10-30 yr
HE 1349-2305,11.074461327857632,0.19569471624266144,0.4207819579329353,0.4650739238060475,10-30 yr
HE 1349-2305,11.159162217659132,0.02710027100271009,0.3988330514178362,0.06794890971640807,10-30 yr
HE 1349-2305,11.650039698836403,0.11428571428571424,0.38091472049800046,0.3000296605400267,10-30 yr
HE 1349-2305,11.74849281314167,0.05871559633027528,0.4028750309313468,0.14574146279192193,10-30 yr
HE 1349-2305,11.808528405201903,0.2575452716297787,0.4284254576135246,0.6011437160256381,10-30 yr
HE 1349-2305,11.88017248459959,0.10902255639097745,0.40933143260652827,0.26634298689633223,10-30 yr
HE 1349-2305,11.961768651608487,0.1807580174927115,0.4185880075305913,0.43182798895522906,10-30 yr
HE 1349-2305,12.04075017111567,0.15355086372360857,0.4150705401880886,0.36993920034418065,10-30 yr
HE 1349-2305,12.04109514031484,0.2897959183673469,0.4326281278914939,0.6698499234890934,10-30 yr
HE 1349-2305,12.210570841889117,0.11428571428571424,0.3808591004596551,0.3000734763795428,10-30 yr
HE 1349-2305,12.652128678986982,0.12060301507537682,0.38006511918612074,0.31732197717496047,10-30 yr
HE 1349-2305,12.712208076659817,0.07393715341959341,0.40550425503957077,0.1823338534693756,10-30 yr
HE 1349-2305,12.79138945927447,0.010638297872340356,0.3940245318806385,0.026999074960040823,10-30 yr
HE 1349-2305,13.930384668035583,0.3774403470715835,0.3483588144313882,1.083481546714022,10-30 yr
HE 1349-2305,13.979589322381925,0.39139784946236555,0.3466208009123707,1.129181654511597,10-30 yr
HE 1349-2305,14.086009582477757,0.012400354295836918,0.39368888059278306,0.031497852510250036,10-30 yr
HE 1349-2305,14.135170431211497,0.10152284263959385,0.38246491864768556,0.2654435418509938,10-30 yr
HE 1349-2305,1.0591978097193586,0.09108910891089107,0.42253955149916966,0.2155753433914223,1-3 yr
HE 1349-2305,3.9071457905544125,0.15510204081632667,0.43099837606027847,0.35986687985718635,3-10 yr
HE 1349-2305,3.9779466119096503,0.12688821752265858,0.427160323955644,0.2970505695557871,3-10 yr
HE 1349-2305,4.109062286105405,0.13549039433771484,0.42867318596250864,0.31606920790600773,3-10 yr
HE 1349-2305,4.193763175906906,0.03351955307262564,0.40557445094884725,0.08264710213921556,3-10 yr
HE 1349-2305,4.684640657084175,0.17458945548833185,0.3867961830224704,0.45137326362444824,3-10 yr
HE 1349-2305,4.783093771389443,0.0018921475875117856,0.40982034163925224,0.004617017251860485,3-10 yr
HE 1349-2305,4.843129363449676,0.1977107180020812,0.4367459957071831,0.452690396581533,3-10 yr
HE 1349-2305,4.914773442847363,0.04849660523763336,0.416610080942841,0.11640766139858989,3-10 yr
HE 1349-2305,4.99636960985626,0.12048192771084347,0.4263609748890867,0.28258197819860403,3-10 yr
HE 1349-2305,5.075351129363442,0.09316154608523303,0.4226533858507116,0.22042067851347885,3-10 yr
HE 1349-2305,5.075696098562611,0.2302006335797254,0.4411889501713937,0.5217733433493671,3-10 yr
HE 1349-2305,5.24517180013689,0.17458945548833185,0.38673823950070496,0.4514408911664232,3-10 yr
HE 1349-2305,5.686729637234754,0.1808785529715762,0.3859078135393794,0.46870922698516104,3-10 yr
HE 1349-2305,5.7468090349075895,0.013346043851286994,0.4125802850585137,0.03234774984314679,3-10 yr
HE 1349-2305,5.8259904175222434,0.07123287671232871,0.4005281224077973,0.1778473788160199,3-10 yr
HE 1349-2305,6.964985626283355,0.43555555555555564,0.3528591584951169,1.2343609201278054,3-10 yr
HE 1349-2305,7.014190280629698,0.44933920704845803,0.3510539982638293,1.2799717686472951,3-10 yr
HE 1349-2305,7.12061054072553,0.0729927007299269,0.4001766153323991,0.182401214696908,3-10 yr
HE 1349-2305,7.169771389459269,0.16187989556135765,0.3884181940631135,0.41676702594177145,3-10 yr
HE 1349-2305,2.8479479808350536,0.0642398286937903,0.4450422741815989,0.1443454530514495,1-3 yr
HE 1349-2305,2.9187488021902914,0.035902851108764504,0.4408554083825122,0.08143906239120711,1-3 yr
HE 1349-2305,3.049864476386046,0.04453870625662778,0.44249655391709825,0.10065322738077663,3-10 yr
HE 1349-2305,3.1345653661875468,0.12451361867704272,0.41739747766687585,0.2983094660107573,3-10 yr
HE 1349-2305,3.6254428473648166,0.2646264626462646,0.397116815025425,0.6663693216549447,3-10 yr
HE 1349-2305,3.7238959616700846,0.09297725024727987,0.4219990770923341,0.22032571940183723,3-10 yr
HE 1349-2305,3.783931553730317,0.10710382513661207,0.45132314327211326,0.23731073119828175,3-10 yr
HE 1349-2305,3.8555756331280038,0.042639593908629425,0.4293700003873124,0.09930734301457127,3-10 yr
HE 1349-2305,3.937171800136902,0.029473684210526437,0.4399822711109696,0.06698834508968832,3-10 yr
HE 1349-2305,4.016153319644084,0.002076843198338666,0.4359434372112842,0.004764019872908659,3-10 yr
HE 1349-2305,4.016498288843253,0.13984461709211982,0.4561846657255181,0.30655264764261714,3-10 yr
HE 1349-2305,4.185973990417532,0.2646264626462646,0.3970556070054664,0.6664720456714804,3-10 yr
HE 1349-2305,4.627531827515396,0.2708520179372197,0.3961613959942139,0.6836910932663807,3-10 yr
HE 1349-2305,4.687611225188231,0.07776669990029902,0.42497687289655645,0.1829904280914322,3-10 yr
HE 1349-2305,4.766792607802884,0.1620591039084842,0.41193608702492013,0.39340836846537414,3-10 yr
HE 1349-2305,5.905787816563997,0.5214723926380368,0.36075262889829207,1.4455123840138582,3-10 yr
HE 1349-2305,5.95499247091034,0.5349544072948328,0.358829362093224,1.4908323114200766,3-10 yr
HE 1349-2305,6.061412731006172,0.1638095238095237,0.4115585332657493,0.39802242103858776,3-10 yr
HE 1349-2305,6.110573579739911,0.2520398912058023,0.3988652820181179,0.6318922768373552,3-10 yr
HE 1349-2305,0.07080082135523773,0.028353326063249897,0.45038717152552377,0.06295322748028824,4 d-5 wk
HE 1349-2305,0.20191649555099248,0.019715224534501807,0.4521214347713286,0.04360603815316401,5 wk-1 yr
HE 1349-2305,0.28661738535249304,0.1883767535070141,0.4255731730883743,0.4426424535643742,5 wk-1 yr
HE 1349-2305,0.777494866529763,0.32747456059204455,0.40421382649356175,0.8101518036450951,5 wk-1 yr
HE 1349-2305,0.8759479808350309,0.15698267074413874,0.43043143888951335,0.3647100480140214,5 wk-1 yr
HE 1349-2305,0.9359835728952633,0.04293785310734452,0.46149819791292895,0.0930401316874603,5 wk-1 yr
HE 1349-2305,1.0076276522929501,0.10680628272251322,0.4382227351393905,0.24372601911797234,1-3 yr
HE 1349-2305,1.089223819301848,0.03478260869565221,0.4494602938698762,0.0773875004534264,1-3 yr
HE 1349-2305,1.1682053388090297,0.06216505894962489,0.44518069057985643,0.1396400613617219,1-3 yr
HE 1349-2305,1.168550308008199,0.07577497129735916,0.4666658883318774,0.16237520931350033,1-3 yr
HE 1349-2305,1.3380260095824776,0.32747456059204455,0.4041503090770509,0.8102791294157139,1-3 yr
HE 1349-2305,1.779583846680342,0.3336405529953918,0.40321050135535463,0.8274599790280514,1-3 yr
HE 1349-2305,1.8396632443531775,0.14182939362795485,0.4335662172255348,0.3271227969179556,1-3 yr
HE 1349-2305,1.9188446269678308,0.2257114818449461,0.41981289566306895,0.5376478049547491,1-3 yr
HE 1349-2305,3.0578398357289434,0.5808477237048667,0.3661268632971352,1.5864657361496908,3-10 yr
HE 1349-2305,3.107044490075286,0.594090202177294,0.36412045314545255,1.6315760266836128,3-10 yr
HE 1349-2305,3.2134647501711178,0.22745098039215692,0.4194166689297007,0.542303149210983,3-10 yr
HE 1349-2305,3.262625598904857,0.3150046598322461,0.40605276591153805,0.7757727228506861,3-10 yr
HE 1349-2305,0.13111567419575473,0.008639308855291582,0.44775390419683603,0.019294770574448585,5 wk-1 yr
HE 1349-2305,0.2158165639972553,0.16023738872403553,0.421863475954658,0.37983233405410494,5 wk-1 yr
HE 1349-2305,0.7066940451745253,0.29981718464351,0.4009939723870321,0.7476850159586236,5 wk-1 yr
HE 1349-2305,0.8051471594797932,0.12877263581488926,0.42660519475812336,0.30185435479261047,5 wk-1 yr
HE 1349-2305,0.8651827515400257,0.07126948775055686,0.45688044212261353,0.15599154872869384,5 wk-1 yr
HE 1349-2305,0.9368268309377125,0.07851239669421485,0.4342056071204428,0.18081847725295858,5 wk-1 yr
HE 1349-2305,1.0184229979466102,0.006430868167202435,0.4451592204736568,0.014446220299244583,1-3 yr
HE 1349-2305,1.0974045174537919,0.03382663847780111,0.44098895409929295,0.07670631693460674,1-3 yr
HE 1349-2305,1.0977494866529611,0.10407239819004524,0.46190906511921054,0.2253092784900985,1-3 yr
HE 1349-2305,1.2672251882272398,0.29981718464351,0.4009314576194777,0.7478015978682948,1-3 yr
HE 1349-2305,1.7087830253251044,0.3060109289617486,0.4000123587594448,0.7650036861630423,1-3 yr
HE 1349-2305,1.7688624229979397,0.1135902636916835,0.42966928535513954,0.2643667293969975,1-3 yr
HE 1349-2305,1.848043805612593,0.19767441860465107,0.416238918710964,0.4749061409654392,1-3 yr
HE 1349-2305,2.9870390143737056,0.5547785547785548,0.36368978681677294,1.525416920926769,1-3 yr
HE 1349-2305,3.036243668720048,0.5681293302540414,0.3617211476644144,1.570627910262857,3-10 yr
HE 1349-2305,3.14266392881588,0.19941916747337837,0.41585107573487184,0.4795446714210718,3-10 yr
HE 1349-2305,3.1918247775496194,0.28729281767955794,0.40279177622537676,0.7132539307823581,3-10 yr
HE 1349-2305,0.08470088980150056,0.1688182720953326,0.42332941046144995,0.39878701532055694,4 d-5 wk
HE 1349-2305,0.5755783709787705,0.3082568807339449,0.4022770806195467,0.7662799985005326,5 wk-1 yr
HE 1349-2305,0.6740314852840384,0.13737373737373731,0.4281142225769855,0.3208810409213493,5 wk-1 yr
HE 1349-2305,0.7340670773442709,0.06263982102908282,0.4586789934476766,0.13656570700621895,5 wk-1 yr
HE 1349-2305,0.8057111567419577,0.0871369294605809,0.43578491239096234,0.19995398413978685,5 wk-1 yr
HE 1349-2305,0.8873073237508554,0.015069967707211928,0.44684242209148234,0.033725463300184694,5 wk-1 yr
HE 1349-2305,0.9662888432580372,0.04246284501061556,0.4426322360775365,0.09593256331013651,5 wk-1 yr
HE 1349-2305,0.9666338124572064,0.09545454545454543,0.46375789405412887,0.20582840028897528,5 wk-1 yr
HE 1349-2305,1.1361095140314852,0.3082568807339449,0.4022143070456211,0.7663995917951791,1-3 yr
HE 1349-2305,1.5776673511293495,0.3144424131627056,0.40128741148547475,0.7835840451578365,1-3 yr
HE 1349-2305,1.637746748802185,0.12219959266802437,0.4312028875686133,0.2833923338432651,1-3 yr
HE 1349-2305,1.7169281314168383,0.20622568093385205,0.4176544837012493,0.4937710212189808,1-3 yr
HE 1349-2305,2.855923340177951,0.5627435697583788,0.3646736287562383,1.543143033615238,1-3 yr
HE 1349-2305,2.9051279945242934,0.576061776061776,0.36269036404957883,1.5883018496268346,1-3 yr
HE 1349-2305,3.0115482546201253,0.20796890184645278,0.41726376480939104,0.4984111235766048,3-10 yr
HE 1349-2305,3.0607091033538647,0.2957486136783733,0.40409047252643904,0.7318871237653912,3-10 yr
HE 1349-2305,0.4908774811772699,0.14127659574468085,0.38275386306629017,0.3691056038282566,5 wk-1 yr
HE 1349-2305,0.589330595482538,0.031627906976744176,0.4050842696883519,0.07807735166087006,5 wk-1 yr
HE 1349-2305,0.6493661875427703,0.23084780388151174,0.43112494482874586,0.5354545280909472,5 wk-1 yr
HE 1349-2305,0.7210102669404571,0.08198284080076257,0.41165855824037917,0.1991525237594853,5 wk-1 yr
HE 1349-2305,0.8026064339493548,0.15384615384615388,0.42109137164220817,0.3653510002975637,5 wk-1 yr
HE 1349-2305,0.8815879534565366,0.12658227848101272,0.4175059307531193,0.3031867792935945,5 wk-1 yr
HE 1349-2305,0.8819329226557059,0.2632124352331605,0.4354145686583175,0.6045099410527786,5 wk-1 yr
HE 1349-2305,1.0514086242299845,0.14127659574468085,0.38269708793460405,0.3691603625915817,1-3 yr
HE 1349-2305,1.492966461327849,0.14758269720101785,0.3818906210328751,0.3864527932156605,1-3 yr
HE 1349-2305,1.5530458590006844,0.046860356138706656,0.4077640316137197,0.11492027865542122,1-3 yr
HE 1349-2305,1.6322272416153376,0.03773584905660377,0.39607888328352603,0.09527356960757545,1-3 yr
HE 1349-2305,2.77122245037645,0.40350877192982465,0.3497362052884419,1.1537517872850318,1-3 yr
HE 1349-2305,2.8204271047227927,0.41739130434782606,0.34797617534758873,1.1994824183894184,1-3 yr
HE 1349-2305,2.9268473648186246,0.03949730700179529,0.3957369795649475,0.09980696533646301,1-3 yr
HE 1349-2305,2.976008213552364,0.12853470437017994,0.3843283475385173,0.33443982259804095,1-3 yr
HE 1349-2305,0.09845311430526797,0.17271157167530224,0.3863601479962172,0.44702222154908494,4 d-5 wk
HE 1349-2305,0.15848870636550036,0.3691148775894538,0.4090198654453671,0.9024375312126658,5 wk-1 yr
HE 1349-2305,0.23013278576318721,0.22261484098939924,0.3921087431326727,0.5677375087606144,5 wk-1 yr
HE 1349-2305,0.3117289527720849,0.293527803099362,0.40032515210011876,0.7332234848585096,5 wk-1 yr
HE 1349-2305,0.3907104722792667,0.2666666666666668,0.3972064613937857,0.6713553091028311,5 wk-1 yr
HE 1349-2305,0.3910554414784359,0.40076335877862584,0.4127259504986601,0.9710156540784971,5 wk-1 yr
HE 1349-2305,0.5605311430527147,0.0,0.3666462810753837,0.0,5 wk-1 yr
HE 1349-2305,1.002088980150579,0.006339144215530909,0.3659322131258921,0.01732327460701047,1-3 yr
HE 1349-2305,1.0621683778234146,0.18782608695652175,0.3887251034460591,0.483184865838193,1-3 yr
HE 1349-2305,1.1413497604380678,0.1036789297658863,0.3784562095972864,0.27395224899654996,1-3 yr
