name,gaia,dataset,identifier,date_utc,mjd,snr_pix,ew_A,ew_err_A,cover_min,cont_med,cont_rms,v_gauss_kms,fwhm_gauss_kms,hole,year,err
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:17:26.636,2019-04-29,58602.084,32.6,3.03,0.42,1.0,1.002,0.09,91.0,57.0,,2019.322611909651,1.1261478588533569
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:12:21.852,2019-04-28,58601.175,31.5,4.35,0.46,1.0,1.002,0.095,224.0,31.0,,2019.3201232032857,1.1835645314050265
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:17:26.238,2019-04-29,58602.078,31.3,4.1,0.43,1.0,1.004,0.086,125.0,45.0,,2019.322595482546,1.1631852818876278
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:17:26.380,2019-04-29,58602.198,30.4,3.26,0.47,1.0,0.996,0.095,-143.0,68.0,,2019.3229240246403,1.1520312495761562
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:17:26.578,2019-04-29,58602.09,33.5,4.64,0.4,1.0,1.004,0.087,48.0,43.0,,2019.3226283367555,1.1727301479880186
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:17:26.645,2019-04-29,58602.066,32.3,4.24,0.42,1.0,1.013,0.096,-400.0,141.0,,2019.3225626283368,1.16454969838131
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:12:22.281,2019-04-28,58601.156,33.4,0.9,0.42,1.0,1.013,0.09,,,,2019.3200711841205,1.0883473710171767
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:12:22.290,2019-04-28,58601.104,18.5,7.44,0.75,1.0,1.012,0.169,-623.0,1157.0,,2019.3199288158796,1.4546600977547983
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:17:26.337,2019-04-29,58602.172,29.8,0.29,0.46,1.0,0.999,0.111,,,,2019.32285284052,1.1011089864314068
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:17:26.699,2019-04-29,58602.178,29.3,1.82,0.48,1.0,1.012,0.11,,,,2019.3228692676248,1.1240658343709231
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:12:22.363,2019-04-28,58601.092,17.7,1.64,0.76,1.0,1.007,0.165,,,,2019.31989596167,1.2666870173803788
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:17:26.454,2019-04-29,58602.072,31.4,4.56,0.43,1.0,1.01,0.09,164.0,41.0,,2019.3225790554416,1.180184731302689
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:17:26.476,2019-04-29,58602.184,29.6,0.18,0.48,1.0,0.999,0.093,,,,2019.3228856947296,1.109380007030954
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:17:26.525,2019-04-29,58602.152,29.9,1.39,0.46,1.0,0.998,0.095,,,,2019.3227980835045,1.1094687918098465
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:12:22.399,2019-04-28,58601.148,31.3,-0.44,0.45,1.0,1.011,0.108,,,,2019.320049281314,1.09746799497753
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:17:26.712,2019-04-29,58602.166,30.6,4.39,0.46,1.0,0.994,0.091,-14.0,149.0,,2019.3228364134152,1.1850405056368327
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:17:26.747,2019-04-29,58602.103,33.0,5.25,0.41,1.0,1.004,0.095,-47.0,48.0,,2019.322663928816,1.2015510808950238
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2018-05-04T12:05:41.678,2018-03-12,58189.08,66.0,3.21,0.25,1.0,1.002,0.048,-39.0,181.0,,2018.1918685831624,1.079602241568625
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:17:26.118,2019-04-29,58602.115,30.5,2.59,0.45,1.0,1.004,0.101,-108.0,36.0,,2019.322696783025,1.1267568504340233
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:17:26.434,2019-04-29,58602.098,34.0,3.1,0.4,1.0,0.996,0.079,-10.0,42.0,,2019.322650239562,1.120758671614902
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:17:26.439,2019-04-29,58602.109,31.7,4.8,0.43,1.0,1.004,0.087,-78.0,63.0,,2019.3226803559205,1.1896638180595391
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:12:22.139,2019-04-28,58601.088,18.5,0.6,0.72,1.0,1.002,0.175,,,,2019.319885010267,1.2336936410632908
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:17:26.520,2019-04-29,58602.121,31.3,4.62,0.43,1.0,0.997,0.083,-127.0,38.0,,2019.32271321013,1.1825159618373022
SDSS J1144+0529,3897228138702625280,ESO XSHOOTER,ADP.2019-05-08T10:17:26.548,2019-04-29,58602.129,31.7,1.1,0.43,1.0,1.007,0.087,,,,2019.322735112936,1.094074951728628
SDSS J1344+0324,3713387458076349568,SDSS-DR17,595758314856409088,2001-04-26,52025.0,11.6,-0.12,1.18,1.0,1.004,0.06,,,,2001.315537303217,1.546785052940453
SDSS J1344+0324,3713387458076349568,DESI-DR1,39627872729564957,2021-06-03,59368.171,24.2,-0.02,0.64,1.0,0.998,0.054,,,,2021.4200438056123,1.1872674509140728
SDSS J1344+0324,3713387458076349568,BOSS-DR17,5388572442120968192,2011-03-30,55650.319,16.5,4.13,1.13,1.0,1.016,0.066,,,,2011.241119780972,1.5644388770418614
SDSS J1344+0324,3713387458076349568,DESI-DR1,39627872729564957,2022-03-31,59669.365,41.4,0.53,0.39,1.0,1.001,0.029,,,,2022.244668035592,1.0746669251447167
SDSS J0006+2858,2860923998433585664,ESO XSHOOTER,ADP.2023-08-07T08:12:32.011,2023-07-26,60151.367,198.6,48.55,0.08,1.0,1.004,0.027,-136.0,647.0,,2023.5643175906912,4.957562405053516
SDSS J0006+2858,2860923998433585664,ESO XSHOOTER,ADP.2022-08-12T12:28:10.694,2022-07-31,59791.299,194.9,52.1,0.08,1.0,1.009,0.032,-109.0,638.0,,2022.57850513347,5.305704477258416
SDSS J0006+2858,2860923998433585664,ESO XSHOOTER,ADP.2025-07-13T14:05:25.398,2025-07-06,60862.379,224.3,43.23,0.08,1.0,1.004,0.026,-103.0,659.0,,2025.510962354552,4.437874378573597
SDSS J0006+2858,2860923998433585664,ESO XSHOOTER,ADP.2019-09-04T15:31:40.925,2019-08-15,58710.293,67.2,44.33,0.21,1.0,1.005,0.047,-119.0,646.0,,2019.6188720054756,4.549240486059183
SDSS J0006+2858,2860923998433585664,ESO XSHOOTER,ADP.2019-09-04T15:31:41.032,2019-08-15,58710.272,57.5,46.45,0.24,1.0,1.001,0.056,-119.0,670.0,,2019.6188145106091,4.75748095109166
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2020-01-30T12:50:57.500,2019-12-05,58822.116,47.3,22.16,0.29,1.0,1.004,0.056,5.0,448.0,,2019.925026694045,2.4484190817750138
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2023-09-07T06:51:41.361,2023-08-15,60171.376,195.0,29.99,0.08,1.0,1.003,0.02,-22.0,520.0,,2023.619099247091,3.1623410631998565
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2023-10-27T06:22:50.668,2023-10-19,60236.303,205.5,33.84,0.1,1.0,1.0,0.026,-72.0,508.0,,2023.7968596851472,3.530078752662609
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2023-11-20T10:05:35.207,2023-11-15,60263.168,203.4,33.15,0.1,1.0,1.002,0.019,-60.0,467.0,,2023.8704120465432,3.463989751716942
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2022-12-21T13:51:49.762,2022-12-16,59929.067,200.6,32.28,0.07,1.0,1.003,0.018,14.0,387.0,,2022.955693360712,3.3800715968748354
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2025-08-19T18:31:18.671,2025-08-13,60900.346,172.3,24.62,0.09,1.0,1.002,0.024,45.0,389.0,,2025.6149103353864,2.6588614104537305
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2025-10-23T14:44:11.105,2025-09-22,60940.287,205.4,30.66,0.17,1.0,1.003,0.023,30.0,349.0,,2025.7242628336755,3.229435864048085
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2022-10-21T12:18:45.944,2022-10-17,59869.226,200.8,30.05,0.08,1.0,1.006,0.019,-22.0,406.0,,2022.791857631759,3.168031723326015
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2020-01-30T12:50:57.477,2019-12-05,58822.108,48.6,23.39,0.28,1.0,1.008,0.054,-5.0,467.0,,2019.925004791239,2.559164121349
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2023-01-18T08:54:55.737,2023-01-14,59958.118,175.6,33.23,0.09,1.0,1.005,0.021,3.0,459.0,,2023.0352306639288,3.4713727832083956
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2020-02-04T15:00:49.655,2020-01-05,58853.053,43.3,23.89,0.32,1.0,1.003,0.067,17.0,472.0,,2020.0097275838464,2.6095442130762994
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2023-09-18T07:59:51.126,2023-09-11,60198.325,162.7,30.7,0.11,1.0,1.004,0.022,-33.0,519.0,,2023.6928815879537,3.2306346125800114
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2020-01-30T12:50:57.057,2019-12-05,58822.122,46.8,22.75,0.3,1.0,0.997,0.067,-5.0,471.0,,2019.92504312115,2.503123049312598
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2020-02-04T15:00:49.804,2020-01-05,58853.058,44.1,21.06,0.31,1.0,1.009,0.059,15.0,448.0,,2020.0097412731009,2.351879248600999
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2020-01-30T12:50:57.212,2019-12-05,58822.102,47.6,22.75,0.29,1.0,1.011,0.055,0.0,450.0,,2019.9249883641344,2.5019442439830666
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2023-12-27T08:54:23.931,2023-12-17,60295.14,183.3,33.89,0.08,1.0,1.003,0.022,-27.0,504.0,,2023.9579466119096,3.5343628845946196
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2024-01-15T08:22:07.935,2024-01-07,60316.13,191.2,40.14,0.3,1.0,1.002,0.02,15.0,547.0,,2024.0154140999316,4.147553013524963
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2022-10-06T14:23:40.140,2022-09-23,59845.253,191.3,31.65,0.08,1.0,1.0,0.021,-17.0,398.0,,2022.726223134839,3.320184482826218
SDSS J0347+1624,43629828277884160,ESO XSHOOTER,ADP.2022-11-24T10:45:16.022,2022-11-17,59900.191,202.7,31.83,0.08,1.0,1.003,0.019,-3.0,412.0,,2022.8766351813829,3.3373475995167174
Gaia J0510+2315,3415788525598117248,ESO XSHOOTER,ADP.2023-11-20T10:05:35.220,2023-11-15,60263.249,488.0,0.54,0.12,1.0,1.001,0.01,,,,2023.8706338124573,1.0086208405540706
Gaia J0510+2315,3415788525598117248,ESO XSHOOTER,ADP.2022-11-24T10:46:49.084,2022-11-18,59901.24,470.0,1.43,0.03,1.0,1.002,0.008,-50.0,350.0,,2022.8795071868583,1.0106181276822617
Gaia J0510+2315,3415788525598117248,LAMOST DR11,78710062,2012-11-17,56248.0,7.9,2.52,1.71,1.0,0.996,0.06,,,,2012.8774811772755,1.996898595322256
Gaia J0510+2315,3415788525598117248,LAMOST DR11,293612131,2015-01-08,57030.0,21.9,3.26,0.65,1.0,1.004,0.036,-200.0,442.0,,2015.018480492813,1.2364368160160877
Gaia J0510+2315,3415788525598117248,LAMOST DR11,679016243,2018-10-09,58400.0,23.0,2.37,0.62,1.0,1.001,0.029,,,,2018.769336071184,1.200237059917748
Gaia J0510+2315,3415788525598117248,LAMOST DR11,939916243,2021-11-10,59528.0,6.3,-5.59,2.44,1.0,1.011,0.077,,,,2021.8576317590691,2.695566916253425
Gaia J0611-6931,5279484614703730944,ESO XSHOOTER,ADP.2021-09-01T08:13:27.998,2021-08-22,59448.349,18.2,87.03,0.75,1.0,1.002,0.154,101.0,886.0,,2021.6395592060233,8.792309651053017
Gaia J0611-6931,5279484614703730944,ESO XSHOOTER,ADP.2022-11-24T10:42:36.573,2022-11-13,59896.216,150.7,54.66,0.11,1.0,1.003,0.044,54.0,925.0,,2022.8657522245037,5.557810360204818
Gaia J0611-6931,5279484614703730944,ESO XSHOOTER,ADP.2023-12-27T08:54:23.944,2023-12-17,60295.224,169.6,59.47,0.1,1.0,1.002,0.05,52.0,924.0,,2023.958176591376,6.031319009967886
Gaia J0611-6931,5279484614703730944,ESO XSHOOTER,ADP.2021-01-11T12:10:27.057,2020-12-03,59186.219,98.1,53.21,0.15,1.0,1.008,0.055,37.0,903.0,,2020.9218863791923,5.416229407992243
Gaia J0611-6931,5279484614703730944,ESO XSHOOTER,ADP.2019-11-05T13:31:01.421,2019-10-15,58771.291,78.2,48.15,0.19,1.0,1.012,0.057,41.0,948.0,,2019.7858754277893,4.921414938815869
Gaia J0611-6931,5279484614703730944,ESO XSHOOTER,ADP.2019-11-05T13:31:01.223,2019-10-15,58771.27,78.9,48.71,0.19,1.0,1.007,0.054,45.0,948.0,,2019.7858179329223,4.9762175394570525
Gaia J0644-0352,3105360521513256832,ESO XSHOOTER,ADP.2024-01-11T07:24:24.320,2024-01-06,60315.137,292.9,3.1,0.05,1.0,1.001,0.017,-117.0,248.0,,2024.0126954141,1.0481412118603104
Gaia J0644-0352,3105360521513256832,ESO XSHOOTER,ADP.2023-01-18T08:54:55.821,2023-01-14,59958.27,250.2,1.29,0.06,1.0,1.001,0.015,299.0,135.0,,2023.0356468172488,1.0100697995683268
Gaia J0644-0352,3105360521513256832,ESO XSHOOTER,ADP.2019-10-11T08:18:36.061,2019-09-15,58741.342,108.7,3.82,0.13,1.0,0.998,0.026,-28.0,671.0,,2019.7038795345657,1.0783431735769462
Gaia J0644-0352,3105360521513256832,ESO XSHOOTER,ADP.2024-02-22T10:06:16.275,2024-02-16,60356.073,259.8,2.53,0.05,1.0,1.003,0.018,-38.0,633.0,,2024.124772073922,1.0327192261210207
Gaia J0644-0352,3105360521513256832,ESO XSHOOTER,ADP.2019-10-11T08:18:36.036,2019-09-15,58741.363,114.0,3.31,0.12,1.0,0.997,0.022,-63.0,561.0,,2019.703937029432,1.0601702693435615
Gaia J0644-0352,3105360521513256832,ESO XSHOOTER,ADP.2023-02-21T09:01:37.392,2023-02-16,59991.106,288.3,2.04,0.05,1.0,1.0,0.015,300.0,139.0,,2023.1255468856948,1.0218199450000964
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-06-01T07:51:00.574,2023-05-12,60076.404,136.5,1.39,0.1,1.0,1.003,0.02,-197.0,334.0,,2023.3590800821355,1.0145545820703783
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-06-01T07:51:00.626,2023-05-12,60076.396,133.8,1.57,0.1,1.0,1.002,0.021,-87.0,630.0,,2023.3590581793292,1.0171769757520075
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-06-22T06:14:22.803,2023-06-15,60110.334,148.2,1.09,0.09,1.0,1.003,0.019,-256.0,218.0,,2023.451975359343,1.0099410873907448
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-09-25T06:34:00.048,2023-09-17,60204.076,148.7,1.87,0.09,1.0,1.003,0.019,-3.0,722.0,,2023.7086269678305,1.0213074953215608
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-10-06T14:20:08.332,2022-09-20,59842.117,143.7,1.06,0.09,1.0,1.003,0.019,-166.0,203.0,,2022.7176372347708,1.0096217113354882
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-10-07T08:43:27.098,2022-10-02,59854.093,139.6,1.1,0.1,1.0,1.003,0.018,-257.0,236.0,,2022.7504257357973,1.0109896141899777
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2025-05-26T05:56:57.201,2025-05-24,60819.332,453.6,2.3,0.03,1.0,1.003,0.011,-134.0,637.0,,2025.393106091718,1.0265476121447072
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-06-15T06:19:08.169,2023-06-08,60103.41,150.9,1.42,0.09,1.0,1.0,0.019,23.0,1019.0,,2023.4330184804928,1.0140335300176222
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-07-03T12:26:23.840,2023-06-22,60117.315,146.3,1.34,0.09,1.0,1.001,0.022,12.0,896.0,,2023.471088295688,1.012944223538493
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-07-24T08:36:57.995,2023-07-18,60143.204,141.1,1.57,0.09,1.0,1.003,0.017,-79.0,696.0,,2023.541968514716,1.0162425891488704
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2021-07-06T09:48:03.736,2021-06-28,59393.251,184.1,1.45,0.07,1.0,1.002,0.018,-66.0,723.0,,2021.4887091033536,1.0128795584865953
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2021-07-06T09:48:03.788,2021-06-28,59393.272,195.9,1.44,0.07,1.0,1.004,0.018,-200.0,42.0,,2021.4887665982203,1.012736885869178
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-06-01T08:10:31.660,2023-05-23,60087.389,153.0,1.46,0.09,1.0,1.003,0.021,-115.0,887.0,,2023.3891553730325,1.0146013995653662
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-07-03T12:26:24.122,2023-06-22,60117.308,148.5,2.22,0.09,1.0,1.003,0.019,-28.0,1008.0,,2023.4710691307323,1.0282917873833284
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-07-12T08:20:10.130,2022-07-03,59763.322,143.6,1.44,0.09,1.0,1.002,0.018,-46.0,601.0,,2022.5019082819983,1.0143155327608862
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-08-12T12:17:58.235,2022-07-26,59786.121,118.1,1.66,0.11,1.0,1.002,0.022,-601.0,17.0,,2022.5643285420945,1.0196352288931567
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-10-06T14:20:08.354,2022-09-20,59842.124,139.6,0.96,0.1,1.0,1.001,0.018,-8.0,687.0,,2022.717656399726,1.0095622813873346
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-07-24T08:36:57.962,2023-07-18,60143.196,134.6,1.53,0.1,1.0,1.003,0.021,-95.0,661.0,,2023.5419466119097,1.016567262900001
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-08-11T07:15:45.190,2023-08-05,60161.214,140.3,7.34,0.09,1.0,1.004,0.021,-45.0,528.0,,2023.5912772073923,1.243726658072424
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-09-07T06:58:11.458,2023-08-18,60174.238,137.2,1.35,0.1,1.0,1.004,0.02,-50.0,546.0,,2023.6269349760437,1.014014299701932
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-05-04T10:31:23.684,2022-04-30,59699.357,116.5,7.61,0.12,1.0,1.005,0.025,-114.0,437.0,,2022.3267816564,1.262347416522092
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-04-17T14:39:09.621,2023-04-11,60045.395,126.6,1.87,0.11,1.0,1.004,0.024,-70.0,788.0,,2023.2741820670776,1.0232638955811937
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2019-08-06T11:24:36.086,2019-07-13,58677.296,228.6,1.77,0.06,1.0,1.002,0.014,-118.0,635.0,,2019.5285311430528,1.0173146022740458
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2019-08-06T11:24:36.358,2019-07-13,58677.276,219.4,1.44,0.06,1.0,1.002,0.015,-59.0,613.0,,2019.528476386037,1.0120948572144806
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-06-09T06:00:06.085,2022-05-26,59725.38,366.4,3.47,0.04,1.0,1.003,0.011,-60.0,532.0,,2022.3980287474333,1.0592492624495895
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-06-09T06:12:47.644,2022-05-31,59730.306,134.2,1.52,0.1,1.0,1.001,0.021,-30.0,509.0,,2022.4115154004107,1.0164172371619835
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-07-12T08:20:10.288,2022-07-03,59763.329,145.5,1.75,0.09,1.0,1.002,0.018,-138.0,532.0,,2022.501927446954,1.0191785908269462
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-08-26T11:00:23.244,2022-08-14,59805.173,131.7,0.21,0.1,1.0,1.003,0.022,,,,2022.6164900752908,1.0052069438677789
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-09-07T06:58:11.425,2023-08-18,60174.23,143.5,1.93,0.09,1.0,1.005,0.023,-56.0,698.0,,2023.6269130732376,1.0224231022429022
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2019-11-05T13:21:38.980,2019-10-10,58766.067,189.6,1.78,0.07,1.0,1.002,0.017,19.0,830.0,,2019.7715728952771,1.0181276933666032
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-05-04T10:31:23.768,2022-04-30,59699.364,122.4,8.7,0.11,1.0,1.005,0.027,-121.0,460.0,,2022.3268008213552,1.3300375934536588
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-08-26T11:00:23.475,2022-08-14,59805.166,137.9,1.3,0.1,1.0,1.001,0.021,-120.0,569.0,,2022.6164709103357,1.0133607452432722
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-11-03T07:18:03.097,2022-10-25,59877.049,142.1,1.74,0.1,1.0,1.002,0.019,9.0,586.0,,2022.8132758384668,1.019939213875023
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-09-25T06:34:00.081,2023-09-17,60204.084,150.3,1.52,0.09,1.0,1.004,0.018,8.0,623.0,,2023.7086488706368,1.0154821514925805
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-05-11T09:34:46.783,2023-05-02,60066.37,466.5,1.18,0.03,1.0,1.002,0.011,-105.0,743.0,,2023.3316084873377,1.007384732860291
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-06-01T08:10:31.651,2023-05-23,60087.397,152.1,1.07,0.09,1.0,1.002,0.018,-186.0,343.0,,2023.3891772758384,1.0097271908788037
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-06-22T06:14:22.679,2023-06-15,60110.342,151.7,1.25,0.09,1.0,1.003,0.018,23.0,630.0,,2023.4519972621492,1.0117929630117024
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-06-09T06:12:47.556,2022-05-31,59730.299,137.0,1.97,0.1,1.0,1.001,0.021,-17.0,536.0,,2022.4114962354552,1.0241137632118806
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-08-26T10:57:21.047,2022-08-13,59804.209,110.2,1.08,0.12,1.0,1.005,0.03,120.0,194.0,,2022.613850787132,1.012948172415549
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-10-06T14:39:33.993,2022-09-30,59852.031,155.3,1.04,0.09,1.0,1.003,0.019,-22.0,405.0,,2022.7447802874744,1.0094136912089116
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-04-17T14:39:09.840,2023-04-11,60045.388,118.5,1.49,0.12,1.0,1.003,0.025,-59.0,791.0,,2023.2741629021216,1.01813604199046
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-08-11T07:15:45.223,2023-08-05,60161.222,145.0,7.64,0.09,1.0,1.004,0.019,-30.0,505.0,,2023.5912991101984,1.261663980622416
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2019-11-05T13:21:39.108,2019-10-10,58766.087,199.7,2.06,0.07,1.0,1.003,0.012,150.0,907.0,,2019.7716276522929,1.023394352143884
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-06-09T05:55:46.466,2022-05-24,59723.319,136.5,4.78,0.1,1.0,1.001,0.021,-228.0,333.0,,2022.392386036961,1.1128719602901316
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-08-12T12:17:58.422,2022-07-26,59786.114,111.1,1.69,0.12,1.0,1.007,0.024,41.0,774.0,,2022.564309377139,1.021254620552583
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-10-06T14:39:34.010,2022-09-30,59852.039,154.8,1.4,0.09,1.0,1.001,0.016,319.0,33.0,,2022.7448021902808,1.013755394560246
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2022-11-03T07:18:03.061,2022-10-25,59877.057,138.8,1.22,0.1,1.0,1.002,0.022,-37.0,523.0,,2022.8132977412731,1.0123655466282917
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-09-12T07:37:28.833,2023-09-06,60193.105,124.7,2.23,0.11,1.0,1.006,0.026,-36.0,818.0,,2023.6785900068448,1.0304508721913916
Gaia J2100+2122,1837948790953103232,ESO XSHOOTER,ADP.2023-09-25T06:40:14.062,2023-09-20,60207.155,151.0,1.93,0.09,1.0,1.003,0.019,-32.0,577.0,,2023.717056810404,1.0224231022429022
WD J1930-5028,6646693887514073984,ESO XSHOOTER,ADP.2025-05-26T05:56:57.188,2025-05-24,60819.25,164.6,11.67,0.1,1.0,1.0,0.024,-74.0,1935.0,,2025.3928815879535,1.5400938283104704
WD J1930-5028,6646693887514073984,ESO XSHOOTER,ADP.2019-06-06T08:34:05.531,2019-05-26,58629.365,44.7,12.9,0.34,1.0,1.002,0.06,138.0,1960.0,,2019.3973032169747,1.667243233604503
WD J1930-5028,6646693887514073984,ESO XSHOOTER,ADP.2022-04-14T08:13:38.997,2022-04-11,59680.359,165.7,11.73,0.1,1.0,1.001,0.02,-56.0,1868.0,,2022.274767967146,1.5446452667198385
WD J1930-5028,6646693887514073984,ESO XSHOOTER,ADP.2019-06-06T08:34:05.915,2019-05-26,58629.372,49.3,13.24,0.3,1.0,1.01,0.057,-216.0,1919.0,,2019.3973223819305,1.6861126889979805
WD J1930-5028,6646693887514073984,ESO XSHOOTER,ADP.2023-04-24T13:33:00.076,2023-04-17,60051.267,187.3,12.84,0.09,1.0,0.998,0.022,-30.0,1998.0,,2023.2902587268993,1.6299558276223316
WD J1930-5028,6646693887514073984,SDSS-V visit,sdss_id 111809939,2023-08-13,60169.0,16.5,13.02,0.84,1.0,0.998,0.049,-234.0,1768.0,,2023.6125941136208,1.8441268936816688
WD J0529-3401,4823042355496728832,ESO XSHOOTER,ADP.2020-11-13T10:46:21.656,2020-03-02,58910.046,62.0,5.71,0.24,1.0,1.002,0.05,142.0,53.0,,2020.1657659137577,1.176282704114959
