bin,stars,star_median_delta
<4 d,11,0.040737066809837574
4 d-5 wk,5,0.09981766341785792
5 wk-1 yr,11,0.08370269930141319
1-3 yr,14,0.186729555748893
3-10 yr,11,0.1861461556772197
10-30 yr,6,0.142424838560481
