mjd,band,psfFlux_nJy,psfFluxErr,diffmag,diffmag_err,scimag,snr,reliability,extendedness,isDipole,isNeg,flags_bad,flags_cr,flags_streak,flags_sat,ra,dec,elephant_ks_sci,elephant_ks_tmpl,cats_class,cats_score,snn_score,xm_tns,xm_simbad,xm_gaia,xm_vsx,zphot_ls8,zphot_err,pstar_ls8
61217.3685039615,z,4373.7383,308.48932,22.298,0.077,21.954,13.623392,0.9987179,0.13782912,False,False,False,False,False,False,334.2496297225,-18.2079611512,,,-1,0.0,0.72043693,,nan,nan,,,,
61217.3933786508,i,5388.645,200.18826,22.071,0.04,21.761,26.337751,0.9991923,0.40273312,False,False,False,False,False,False,334.2496172919,-18.207941865,,,11,0.86304045,0.7185985,,nan,nan,,,,
61228.366647362,z,11406.893,322.716,21.257,0.031,21.006,34.688656,0.9999987,0.038674075,False,False,False,False,False,False,334.2496216396,-18.2079495874,0.8792965,0.9286432,11,0.97797203,0.77562314,,nan,nan,,,,
61228.3978552934,i,18169.252,254.37479,20.752,0.015,20.581,70.23311,1.0,0.27785718,False,False,False,False,False,False,334.2496211314,-18.2079493341,0.34188443,0.99974877,11,0.98231274,0.77668107,,nan,nan,,,,
61232.3570780141,i,21708.37,287.85767,20.558,0.014,20.453,74.42534,0.99999964,0.0002309142,False,False,False,False,False,False,334.2496264835,-18.2079431505,,,11,0.9893555,0.81912625,,nan,nan,,,,
61235.3293955577,i,18139.844,215.40314,20.753,0.013,20.499,82.63732,0.99999964,0.3790766,False,False,False,False,False,False,334.2496219117,-18.207947501,0.6732412,0.99567837,11,0.9927044,0.82988876,,Fail,Fail,,,,
61235.3556491221,z,10964.588,449.8612,21.3,0.045,21.124,23.81145,0.99999976,0.0008737583,False,False,False,False,False,False,334.2496164443,-18.207956187,0.32065326,0.9351005,11,0.9930862,0.8225326,,Fail,Fail,,,,
