mjd,band,psfFlux_nJy,psfFluxErr,diffmag,diffmag_err
61217.3933786508,i,5480.8564,203.74376,22.053,0.04
61228.366647362,z,11529.212,326.00793,21.246,0.031
61228.3978552934,i,18479.85,258.67014,20.733,0.015
61232.3570780141,i,22070.266,292.83554,20.54,0.014
61235.3293955577,i,18313.11,217.50987,20.743,0.013
61235.3556491221,z,11064.5625,455.131,21.29,0.045
