ra,dec,ls_id,z_phot_median,z_phot_std,z_phot_l68,z_phot_u68,z_spec,sep_as
334.2494164267012,-18.20774501178061,10995355585871906,-99,-99,-99,-99,-99,1.0145106654389577
334.2480166991251,-18.2073548817746,10995355584827169,-99,-99,-99,-99,-99,5.886589250862445
334.2518782423587,-18.20678404346009,10995355585871946,-99,-99,-99,-99,-99,8.789608983528998
