ra,dec,type,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,shape_r,ref_cat,ls_id,sep_as
334.2494164267012,-18.20774501178061,REX,22.879623,inf,22.29391,22.622196,22.845518,,0.72324216,,10995355585871906,1.0145106654389577
334.2480166991251,-18.2073548817746,REX,23.737488,inf,23.105825,23.0015,,,0.5397551,,10995355584827169,5.886589250862445
334.2518782423587,-18.20678404346009,REX,23.710474,inf,24.007875,23.25002,22.541641,,0.69561964,,10995355585871946,8.789608983528998
