mjd_tai,jd_tai,band,source,flux_nJy,fluxerr_nJy,mag_AB,magerr,extra
61217.3685039615,2461217.8685039617,z,LSST_diaSource_psfDiffFlux,4373.7383,308.48932,22.2979,0.0766,rel=0.99872;snr=13.6;visit=2026062500562
61217.3933786508,2461217.893378651,i,LSST_diaSource_psfDiffFlux,5388.645,200.18826,22.0713,0.0403,rel=0.99919;snr=26.3;visit=2026062500605
61217.3933786508,2461217.893378651,i,LSST_diaForcedSource_psfDiffFlux,5480.8564,203.74376,22.0529,0.0404,visit=2026062500605
61228.366647362,2461228.866647362,z,LSST_diaSource_psfDiffFlux,11406.893,322.716,21.2571,0.0307,rel=1.00000;snr=34.7;visit=2026070600783
61228.366647362,2461228.866647362,z,LSST_diaForcedSource_psfDiffFlux,11529.212,326.00793,21.2455,0.0307,visit=2026070600783
61228.3978552934,2461228.8978552935,i,LSST_diaSource_psfDiffFlux,18169.252,254.37479,20.7517,0.0152,rel=1.00000;snr=70.2;visit=2026070600845
61228.3978552934,2461228.8978552935,i,LSST_diaForcedSource_psfDiffFlux,18479.85,258.67014,20.7333,0.0152,visit=2026070600845
61232.3570780141,2461232.857078014,i,LSST_diaSource_psfDiffFlux,21708.37,287.85767,20.5584,0.0144,rel=1.00000;snr=74.4;visit=2026071000460
61232.3570780141,2461232.857078014,i,LSST_diaForcedSource_psfDiffFlux,22070.266,292.83554,20.5405,0.0144,visit=2026071000460
61235.3293955577,2461235.8293955578,i,LSST_diaSource_psfDiffFlux,18139.844,215.40314,20.7534,0.0129,rel=1.00000;snr=82.6;visit=2026071300658
61235.3293955577,2461235.8293955578,i,LSST_diaForcedSource_psfDiffFlux,18313.11,217.50987,20.7431,0.0129,visit=2026071300658
61235.3556491221,2461235.855649122,z,LSST_diaSource_psfDiffFlux,10964.588,449.8612,21.3,0.0445,rel=1.00000;snr=23.8;visit=2026071300710
61235.3556491221,2461235.855649122,z,LSST_diaForcedSource_psfDiffFlux,11064.5625,455.131,21.2902,0.0447,visit=2026071300710
