###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57298.366202 -20.498  1.074   -23   25 o  0   1.15 334.24962 -18.20795  7994.05  5302.14 3.98 3.45 -87.8 -0.468 18.94 20.42 02a57298o0254o
57298.392637 -22.143  5.167    -5   26 o  0   1.12 334.24962 -18.20795  7994.81  5304.21 3.94 3.40 -85.3 -0.473 18.85 20.25 02a57298o0294o
57304.325317 -20.056  0.750   -34   26 c  0   1.30 334.24962 -18.20795  9451.22  3834.71 5.04 4.18  59.4 -0.364 18.97 21.10 02a57304o0189c
57304.345767 -20.119  0.593   -32   19 c  0   2.22 334.24962 -18.20795  9446.83  3831.82 4.82 3.70  65.7 -0.414 19.11 21.16 02a57304o0220c
57304.362046 -20.243  0.741   -29   22 c  0   1.36 334.24962 -18.20795  7996.16  5301.03 4.55 3.47  79.5 -0.407 19.08 21.11 02a57304o0244c
57304.388974 -19.309  0.344   -69   24 c  0   1.14 334.24962 -18.20795  7999.63  5301.21 4.43 3.20 -89.9 -0.446 19.06 21.07 02a57304o0283c
57308.308997 -22.649  6.000    -3   19 c  0   1.20 334.24962 -18.20795  9500.30  3836.08 4.73 4.29  52.3 -0.453 19.34 21.30 02a57308o0173c
57308.338205   0.000 20.735     0   18 c  0   1.27 334.24962 -18.20795  9496.56  3837.65 4.73 4.23  51.8 -0.437 19.30 21.23 02a57308o0217c
57308.356251 -21.749  2.500    -7   18 c  0   1.31 334.24962 -18.20795  8050.70  5306.04 4.32 4.00  80.9 -0.447 19.30 21.22 02a57308o0244c
57308.380388 -22.480  5.750    -4   21 c  0   0.95 334.24962 -18.20795  8048.49  5306.40 4.31 4.05 -88.2 -0.442 19.27 21.17 02a57308o0280c
57311.303437  22.238  4.500     5   21 c  0   1.35 334.24962 -18.20795  9486.16  3839.39 4.91 4.33  51.9 -0.467 19.27 21.18 02a57311o0183c
57311.327826  20.098  0.600    33   20 c  0   1.42 334.24962 -18.20795  9485.70  3842.14 4.81 4.33  54.2 -0.455 19.29 21.21 02a57311o0219c
57311.355884 -21.312  2.000   -11   22 c  0   0.81 334.24962 -18.20795  8034.36  5310.73 4.46 4.02 -87.3 -0.455 19.26 21.20 02a57311o0260c
57311.380227 -20.885  1.353   -16   22 c  0   1.04 334.24962 -18.20795  8035.24  5314.67 4.30 3.95 -84.2 -0.454 19.27 21.17 02a57311o0296c
57321.273934 -19.823  1.237   -43   53 o  0   1.43 334.24962 -18.20795  9525.48  3846.13 4.36 3.80  57.8 -0.508 18.01 18.74 02a57321o0138o
57321.295222 -20.744  2.875   -18   53 o  0   1.26 334.24962 -18.20795  9534.43  3847.18 4.40 3.88  68.6 -0.537 18.08 18.86 02a57321o0168o
57321.318790  19.558  0.984    54   54 o  0   1.06 334.24962 -18.20795  8083.78  5314.42 4.02 3.17 -86.0 -0.526 18.08 18.83 02a57321o0200o
57321.340819  19.289  0.713    70   50 o  0   1.39 334.24962 -18.20795  8077.96  5313.43 3.98 3.19 -86.1 -0.529 18.04 18.75 02a57321o0232o
57329.271895 -20.590  1.750   -21   37 o  0   1.08 334.24962 -18.20795  9587.45  3862.30 4.75 4.20  43.7 -0.508 18.78 20.40 02a57329o0118o
57329.290201  19.662  0.658    50   33 o  0   1.38 334.24962 -18.20795  9587.51  3865.09 4.67 4.19  44.5 -0.500 18.77 20.34 02a57329o0147o
57329.314894  19.734  0.805    46   37 o  0   0.86 334.24962 -18.20795  8139.97  5334.82 4.22 3.73 -89.1 -0.499 18.62 20.15 02a57329o0186o
57329.340688  20.230  1.103    29   32 o  0   1.19 334.24962 -18.20795  8142.35  5335.89 4.08 3.56 -88.6 -0.508 18.72 20.24 02a57329o0226o
57332.320394 -22.998  7.000    -2   16 c  0   1.58 334.24962 -18.20795  9590.51  3873.78 4.00 3.75  81.4 -0.406 19.32 21.12 02a57332o0068c
57333.270867  21.181  1.312    12   16 c  0   1.13 334.24962 -18.20795  9590.38  3867.02 4.07 3.83  76.0 -0.395 19.43 21.36 02a57333o0137c
57333.292936  20.818  0.913    17   16 c  0   1.17 334.24962 -18.20795  9590.91  3866.16 3.96 3.78  76.7 -0.403 19.39 21.24 02a57333o0169c
57333.316501  21.082  1.368    13   18 c  0   1.07 334.24962 -18.20795  8142.83  5334.86 3.86 3.64  85.2 -0.395 19.25 20.96 02a57333o0203c
57333.343532 -20.800  1.167   -17   20 c  0   0.99 334.24962 -18.20795  8147.16  5338.97 3.81 3.58  85.0 -0.401 19.14 20.75 02a57333o0242c
57353.281629 -21.896 14.167    -6   90 o  0   1.16 334.24962 -18.20795  9595.38  3871.03 3.87 3.44  74.8 -0.486 17.76 18.48 02a57353o0172o
57353.286122  18.701  0.784   120   94 o  0   0.82 334.24962 -18.20795  9596.00  3871.46 3.80 3.36  80.1 -0.495 17.64 18.28 02a57353o0179o
57353.291860  18.776  0.544   112   61 o  0   1.27 334.24962 -18.20795  9598.28  3870.64 3.94 3.58  71.0 -0.480 18.00 18.79 02a57353o0188o
