ndet,deltamjd,vrmag,rmag,gmag,class_star,sep
30,1454.0864,21.27496,21.02349,99.99,0.367937,2.946689129122135
39,1454.0872,19.751785,19.742622,22.191936,0.407499,3.740442940932164
10,708.8706,20.64441,21.03681,99.99,0.77023,4.203475089536824
29,1454.0872,21.124527,21.08995,23.122444,0.697539,4.979794196185326
