ra,dec,mjd,mag_auto,filter,class_star
249.40174399221323,-28.929218347148325,58640.24527782714,22.538454,g,0.91278
249.4003718156608,-28.931404327261966,58640.24527782714,19.563572,g,0.983056
249.40016616987918,-28.93438771301368,58640.24527782714,22.289238,g,0.927348
249.39974944451006,-28.929781986206365,58640.24527782714,21.542645,g,0.97565
249.39954742605966,-28.925506862035963,58640.24527782714,21.189568,g,0.976296
249.3978603637553,-28.925058307571803,58640.24527782714,18.096567,g,0.984409
249.3981750831828,-28.933663381486465,58640.24527782714,20.341019,g,0.982504
249.39801485964503,-28.929452214741737,58640.24527782714,19.970205,g,0.982546
249.39787239817517,-28.93505640647532,58640.24527782714,23.195967,g,0.631387
249.39746266179492,-28.93068383810807,58640.24527782714,21.176655,g,0.977855
249.3952701574549,-28.93529584294665,58640.24527782714,21.21071,g,0.957905
249.39499385097147,-28.929184299142825,58640.24527782714,20.07519,g,0.980815
249.39420050596246,-28.933592525538423,58640.24527782714,22.412199,g,0.862377
249.39264604291324,-28.929245652556045,58640.24527782714,20.795584,g,0.982217
249.3926157435247,-28.932371211863437,58640.24527782714,20.80947,g,0.980283
249.39191355636146,-28.931762041862513,58640.24527782714,21.210537,g,0.977962
249.3927520023645,-28.927864876556082,58640.24527782714,22.865225,g,0.773608
249.3914672994915,-28.92960795045249,58640.24527782714,21.111439,g,0.875013
249.39146035569576,-28.928691028143994,58640.24527782714,22.230078,g,0.813108
249.3914808409724,-28.92674839060338,58640.24527782714,22.78898,g,0.817415
249.4017324277701,-28.929233697224074,58616.308670793194,22.712126,g,0.558852
249.40036619466727,-28.931392390320173,58616.308670793194,19.607302,g,0.982207
249.40018407235252,-28.934387471048666,58616.308670793194,22.597658,g,0.746501
249.3997490112215,-28.929759658751244,58616.308670793194,21.471258,g,0.963413
249.39955417315548,-28.925500692229246,58616.308670793194,21.042898,g,0.978195
249.39785562769814,-28.92505590564702,58616.308670793194,18.080252,g,0.984429
249.39818004693214,-28.93367223503325,58616.308670793194,20.399029,g,0.982353
249.39785192410665,-28.935041986697197,58616.308670793194,22.44021,g,0.587683
249.39801708785086,-28.929449303354936,58616.308670793194,19.99193,g,0.981958
249.39745747383526,-28.930669043027134,58616.308670793194,21.172945,g,0.980184
