ndet,deltamjd,vrmag,rmag,gmag,class_star,sep
1,0,21.602093,99.99,99.99,0.601604,0.18808969359909405
1,0,99.99,99.99,99.99,0.852854,1.2419834160730434
11,1983.5691,20.368723,20.45034,21.07373,0.957887,3.0580072375436993
1,0,99.99,99.99,99.99,0.758294,4.521415930899352
