ndet,deltamjd,vrmag,rmag,gmag,class_star,sep
6,9.998205,99.99,99.99,99.99,0.814521,1.0126609252453838
9,257.13028,99.99,20.996964,99.99,0.033088,1.5763959180980058
27,1454.0835,15.299128,15.398409,16.644,0.986625,3.448411415069405
3,257.12958,99.99,99.99,99.99,0.634382,3.6945944417541337
16,1454.0858,21.341274,21.390024,99.99,0.687696,4.22742480519221
29,2185.1233,21.476286,21.554409,99.99,0.76585,4.807893734201536
