ra,dec,mjd,mag_auto,filter,class_star
246.13419158739123,-25.24880139248737,58235.36492871167,18.395905,i,0.98842
246.13335752807527,-25.25039382006939,58235.36492871167,23.101025,i,0.62884
246.13063877425418,-25.255800637409102,58235.36492871167,22.473396,i,0.661863
246.12917988661442,-25.25680784460299,58235.36492871167,22.411938,i,0.913163
246.12678512152752,-25.249501925938038,58235.36492871167,20.825174,i,0.978822
246.12395566681215,-25.25150359909177,58235.36492871167,22.586288,i,0.745888
246.13419634137946,-25.24880803653404,58235.12110080384,17.99944,z,0.983473
246.13059646926726,-25.255810443707954,58235.12110080384,21.338585,z,0.199784
246.12918955115768,-25.25679335371221,58235.12110080384,22.249218,z,0.612218
246.1282286433674,-25.252512230581207,58235.12110080384,19.347416,z,0.98246
246.12677724242343,-25.24950711374055,58235.12110080384,20.43574,z,0.981454
246.12406551946603,-25.251490223326424,58235.12110080384,22.25058,z,0.363766
246.13419444196646,-25.248803576420965,58235.36735898396,18.391222,i,0.98458
246.1333946452094,-25.250375167137445,58235.36735898396,23.052948,i,0.6789
246.13060673373545,-25.25579492831284,58235.36735898396,22.128887,i,0.053117
246.12822900376227,-25.2525099290376,58235.36735898396,19.824154,i,0.982773
246.12919411706113,-25.256814663253312,58235.36735898396,22.454971,i,0.812201
246.12678181609493,-25.249514003583545,58235.36735898396,20.86703,i,0.976023
246.13420050613436,-25.24880459246963,56784.26747407345,18.421669,i,0.979492
246.1282174396546,-25.252495941722056,56784.26747407345,19.744427,i,0.820655
246.13419675332574,-25.24880257176144,58233.428520750254,18.004965,z,0.983443
246.13062643688133,-25.255796136277592,58233.428520750254,21.25869,z,0.272362
246.12822438111417,-25.25250410497535,58233.428520750254,19.327879,z,0.981784
246.1291925351974,-25.256788396843774,58233.428520750254,22.079489,z,0.572201
246.12678538478252,-25.249502376455823,58233.428520750254,20.44052,z,0.970833
246.12400460630502,-25.251457809356296,58233.428520750254,22.319216,z,0.430407
246.13418812940066,-25.24880760013539,57265.06272791652,18.394623,i,0.982276
246.1282287628063,-25.252509766309135,57265.06272791652,19.82288,i,0.97644
246.12680164476836,-25.249513291667817,57265.06272791652,20.753656,i,0.756291
246.13419472882228,-25.24880535751669,57117.3247716967,19.10326,r,0.983905
246.12913883482295,-25.25678762020751,57117.3247716967,22.982386,r,0.378649
246.1282206430377,-25.252501608377884,57117.3247716967,20.626427,r,0.977613
246.12677878209647,-25.249524556818105,57117.3247716967,21.488653,r,0.954012
246.13419687121836,-25.24880287052217,57139.17223882908,19.082779,r,0.983293
246.12921010835797,-25.25679822221868,57139.17223882908,23.125877,r,0.375313
246.1282320712086,-25.2525069630299,57139.17223882908,20.552149,r,0.980017
246.12676595479226,-25.249501063327642,57139.17223882908,21.602343,r,0.951266
246.13419488594275,-25.248803861959395,57889.24069001386,17.701977,Y,0.983126
246.1306452903808,-25.255808649013215,57889.24069001386,20.822426,Y,0.082136
246.1292032952273,-25.256839896595462,57889.24069001386,21.635572,Y,0.523394
246.1282241992988,-25.25250483130852,57889.24069001386,19.015223,Y,0.982264
246.1267775523396,-25.24951589572191,57889.24069001386,20.124792,Y,0.960769
246.13419770962255,-25.248807004411326,57117.318813478574,18.403912,i,0.982911
246.12919459444325,-25.256854892564935,57117.318813478574,22.326778,i,0.564342
246.1267769155571,-25.249516103098216,57117.318813478574,21.023945,i,0.972559
246.1282256807562,-25.252505322478115,57117.318813478574,19.843382,i,0.983586
246.13419513211883,-25.248805288122245,58235.37710653618,18.392578,i,0.984036
246.13336290976795,-25.25039482326827,58235.37710653618,22.889233,i,0.707158
246.130974750428,-25.24653555146441,58235.37710653618,22.763527,i,0.545065
246.13066272404959,-25.25581445225863,58235.37710653618,22.150764,i,0.103832
246.12920324587606,-25.256816481684147,58235.37710653618,22.454056,i,0.8748
246.12823072047755,-25.25250868996101,58235.37710653618,19.82193,i,0.982581
246.12677144136296,-25.249521667611145,58235.37710653618,20.81377,i,0.980078
246.12401730405867,-25.251493459316283,58235.37710653618,22.546986,i,0.605193
246.13418901660586,-25.248803136422783,58235.12351516308,18.011868,z,0.983804
246.13062827734487,-25.2558202182817,58235.12351516308,21.345207,z,0.020032
246.12922181791635,-25.256800034996026,58235.12351516308,22.187561,z,0.659386
246.1282283023883,-25.252510033773657,58235.12351516308,19.305864,z,0.982316
246.12678459031926,-25.249525821015204,58235.12351516308,20.43918,z,0.980436
246.12399785681635,-25.251499957261515,58235.12351516308,22.09919,z,0.441504
246.13419020390785,-25.248806062644025,57889.24275872577,17.689594,Y,0.983166
246.13061402181026,-25.2557967770043,57889.24275872577,20.922743,Y,0.539157
246.12918243541114,-25.25680688108623,57889.24275872577,21.864119,Y,0.556868
246.12822903720857,-25.25251020703336,57889.24275872577,19.01302,Y,0.979534
246.12676919426673,-25.249516854263348,57889.24275872577,20.153988,Y,0.975559
246.13420069832623,-25.248802784561967,56784.27352065686,18.399204,i,0.983347
246.13059935660198,-25.25582760532745,56784.27352065686,22.007715,i,0.721355
246.12919267918926,-25.256790455174592,56784.27352065686,22.253683,i,0.606326
246.1282265335323,-25.252513705871383,56784.27352065686,19.82565,i,0.979315
246.12677499464039,-25.24951861673337,56784.27352065686,20.870037,i,0.978529
246.13419679554335,-25.248799499332065,56784.267821507994,18.386992,i,0.983127
246.13055367928177,-25.2557903875596,56784.267821507994,22.429834,i,0.394868
246.1291717209145,-25.25682269210392,56784.267821507994,22.158024,i,0.51112
246.12823131027207,-25.25251283497198,56784.267821507994,19.862589,i,0.981625
246.12679316064416,-25.249487949467596,56784.267821507994,20.896282,i,0.973188
246.13419964886526,-25.248803733551746,56784.27125860052,18.384096,i,0.994601
246.13065302471716,-25.255830045166036,56784.27125860052,22.156921,i,0.69274
246.12919904367877,-25.256828255973808,56784.27125860052,22.6999,i,0.515802
246.12822926279046,-25.252515108820536,56784.27125860052,19.806032,i,0.981304
246.12677240674162,-25.249520530881238,56784.27125860052,21.002695,i,0.969771
246.13419197984652,-25.248799984734195,56732.39664266864,19.0911,r,0.98163
246.12818843759777,-25.252501980382398,56732.39664266864,20.589762,r,0.934877
246.1267645491111,-25.249517092477255,56732.39664266864,21.704905,r,0.514811
246.12920087754713,-25.25679171199161,56855.09364121687,22.908503,r,0.673271
246.12822571966257,-25.252508993306137,56855.09364121687,20.615938,r,0.981455
246.12676893117518,-25.249515861710815,56855.09364121687,21.548355,r,0.980194
246.1341944021957,-25.24880082590081,56855.095697202254,19.088224,r,0.983639
246.1292261743498,-25.256789004845682,56855.095697202254,23.019312,r,0.630365
246.12822187523025,-25.252501304560504,56855.095697202254,20.615263,r,0.981945
246.12676857048405,-25.249525159387208,56855.095697202254,21.580534,r,0.969465
246.12392162252058,-25.25153837546948,56855.095697202254,23.660131,r,0.383003
246.12822042830473,-25.252502980164465,56353.31470670644,20.595467,r,0.949123
246.12680297425763,-25.249496521520506,56353.31470670644,21.635513,r,0.51147
246.1341856406121,-25.24880828147331,58233.42813904397,17.961302,z,0.966909
246.12825784741077,-25.25250580623641,58233.42813904397,19.018282,z,0.821796
246.1341962634709,-25.2488000152191,57117.320282554254,18.411297,i,0.982787
246.12823231006396,-25.25250160400412,57117.320282554254,19.804111,i,0.984507
246.12678444016018,-25.24950759758196,57117.320282554254,20.954538,i,0.973792
246.13420006986118,-25.24880865749374,57117.32102298457,18.056105,z,0.983242
246.13072099194,-25.255804069534157,57117.32102298457,21.058151,z,0.240426
246.12916892590678,-25.256803669386024,57117.32102298457,21.799633,z,0.622629
246.1267940247056,-25.24951796196065,57117.32102298457,20.573025,z,0.969135
246.13419956385087,-25.248800989506258,56784.27238756791,18.409828,i,0.98344
246.129205532736,-25.256803949824178,56784.27238756791,22.172426,i,0.58088
246.12822273754387,-25.252505171545288,56784.27238756791,19.777338,i,0.981285
246.12678064000602,-25.249511322312337,56784.27238756791,21.008736,i,0.97582
246.13419986665434,-25.248813931093967,57117.31370990677,19.358393,r,0.925839
246.13419022652718,-25.248800107851906,57265.06317989901,18.053284,z,0.982822
246.12821799173798,-25.252509959483913,57265.06317989901,19.303242,z,0.952981
246.12681454579908,-25.24947956705239,57265.06317989901,20.583372,z,0.539284
246.13419541258042,-25.248801030311355,58235.37465469865,18.411327,i,0.98453
246.13337148786582,-25.250384617086258,58235.37465469865,23.02447,i,0.592097
246.1306449193382,-25.25579554446868,58235.37465469865,22.21987,i,0.83311
246.1292110643779,-25.256816840771904,58235.37465469865,22.490473,i,0.891229
246.1282294520048,-25.252506968025596,58235.37465469865,19.784594,i,0.982579
246.12678924896966,-25.249509503903788,58235.37465469865,20.81228,i,0.980078
246.12399408465137,-25.251505536616204,58235.37465469865,22.523375,i,0.692105
246.13419900424626,-25.248798152268137,57117.326844722964,19.074377,r,0.983057
246.12918128546562,-25.25677980878662,57117.326844722964,22.97759,r,0.578363
246.1282325972409,-25.25251488201534,57117.326844722964,20.731476,r,0.977963
246.12677038470153,-25.249500625856736,57117.326844722964,21.639568,r,0.965293
246.1267839173763,-25.249520551518053,56784.27012930112,20.78593,i,0.971291
246.1341953461593,-25.248802887595218,56784.27012930112,18.395288,i,0.98326
246.12918300685055,-25.256787146839343,56784.27012930112,22.62544,i,0.449282
246.1282293846663,-25.252503101683118,56784.27012930112,19.819256,i,0.979116
246.13420238827487,-25.248793853589213,57117.31541323848,18.421589,i,0.976766
246.12822598213242,-25.2525238341471,57117.31541323848,19.46336,i,0.936313
246.13419244957217,-25.248800023091007,58715.98542657355,20.376673,g,0.982401
246.12822674576122,-25.25251510288187,58715.98542657355,22.098354,g,0.938047
246.12676928360577,-25.249509475818478,58715.98542657355,23.068491,g,0.537706
246.13419398212218,-25.24880309945829,57889.24690275267,17.713385,Y,0.986555
246.13060563489375,-25.255818501712938,57889.24690275267,20.725605,Y,0.007167
246.12822121024385,-25.252503899735597,57889.24690275267,18.997166,Y,0.981164
246.12679037401887,-25.24951078268242,57889.24690275267,20.170233,Y,0.975761
246.13419556664948,-25.248809429845135,57889.244824744295,17.715115,Y,0.98412
246.13063716988032,-25.255806407891303,57889.244824744295,20.804901,Y,0.037322
246.12822661841994,-25.252506442979826,57889.244824744295,19.035427,Y,0.983122
246.1267720962116,-25.249500746194002,57889.244824744295,20.293056,Y,0.980813
246.1341912718291,-25.24880001802276,58617.287207462825,20.353846,g,0.983373
246.12822180605426,-25.25251129589399,58617.287207462825,22.069328,g,0.974921
246.12678148463678,-25.24948216812447,58617.287207462825,22.798063,g,0.935734
246.13417884886607,-25.248831078762567,57265.06240612827,18.462862,i,0.980192
246.1281891138364,-25.252503282533173,57265.06240612827,19.937206,i,0.585618
246.1341942352346,-25.248808601952703,57117.32271912787,19.096083,r,0.984661
246.12914106651277,-25.25681686080411,57117.32271912787,22.961765,r,0.451013
246.12822912064934,-25.2525130302058,57117.32271912787,20.63634,r,0.979972
246.12675846941568,-25.24951123091757,57117.32271912787,21.5978,r,0.960689
246.13420848846323,-25.248799333379335,57889.238279725425,17.76254,Y,0.969491
246.1282167174577,-25.252484810196012,57889.238279725425,18.731869,Y,0.629944
246.13419368995588,-25.248798306496838,58235.372226962354,18.414322,i,0.999507
246.13063265850568,-25.255788680360325,58235.372226962354,22.392014,i,0.142504
246.12919381476428,-25.256788737106227,58235.372226962354,22.643013,i,0.895229
246.12822450181332,-25.252511601734053,58235.372226962354,19.832907,i,0.982922
246.12679892802424,-25.249503610416,58235.372226962354,20.866516,i,0.979333
246.12401073980175,-25.251489364528474,58235.372226962354,22.483131,i,0.565521
246.13418933806375,-25.248794893916045,57117.3150654058,18.46866,i,0.981454
246.12825195243545,-25.25249536804587,57117.3150654058,20.032381,i,0.731926
246.13419707976885,-25.248807408070114,57117.317437991966,19.098883,r,0.982123
246.1282293817939,-25.252503040069456,57117.317437991966,20.64384,r,0.971926
246.1267688989572,-25.249526497045462,57117.317437991966,21.526773,r,0.83414
246.13419350210742,-25.24880317298066,57117.31472537061,18.548637,i,0.984819
246.12822306553784,-25.25248256709224,57117.31472537061,19.857676,i,0.956878
246.12676711518725,-25.249511934734954,57117.31472537061,20.51186,i,0.658735
246.1341943896579,-25.248794652816617,57117.31812531687,19.066927,r,0.981596
246.12822454345206,-25.25250916661614,57117.31812531687,20.793251,r,0.969405
246.12676456014086,-25.249481081253425,57117.31812531687,21.706854,r,0.861298
246.13420909212888,-25.248787161733514,58235.11105786916,18.089352,z,0.955148
246.12822762177893,-25.25247576956586,58235.11105786916,19.498354,z,0.440742
246.13419542090986,-25.248801548353065,57139.1743011619,19.082472,r,0.983304
246.1292247031953,-25.256822805954876,57139.1743011619,22.909498,r,0.510055
246.12823631396284,-25.252507723767934,57139.1743011619,20.705805,r,0.978398
246.12678005466407,-25.249503224682037,57139.1743011619,21.590729,r,0.972826
246.13419969820788,-25.248798780789254,56353.316184840165,19.051989,r,0.981452
246.1282589173799,-25.252504504789528,56353.316184840165,20.72674,r,0.944819
246.12676513502998,-25.24948100599202,56353.316184840165,21.862272,r,0.529067
246.13419187914315,-25.248802841246572,57889.23862699978,17.695005,Y,0.983302
246.13419929221334,-25.248798928539394,57889.24897814868,17.71953,Y,0.983329
246.13057988639,-25.25577546104678,57889.24897814868,20.647865,Y,0.093384
246.1291648503271,-25.256787627890553,57889.24897814868,21.756367,Y,0.536687
246.1282250333118,-25.25250666500419,57889.24897814868,19.040604,Y,0.980582
246.12678493898287,-25.24952130843853,57889.24897814868,20.31496,Y,0.967667
246.13419801528036,-25.248800529069047,57117.322163424455,18.006977,z,0.983224
246.1282239812772,-25.252501263554628,57117.322163424455,19.36234,z,0.981122
246.1267760696302,-25.249509136621672,57117.322163424455,20.565748,z,0.974347
246.134199183273,-25.248803768011204,58235.11143093044,18.004923,z,0.983468
246.13062029912075,-25.255813535250137,58235.11143093044,21.099165,z,0.163444
246.1291761457499,-25.25679822477641,58235.11143093044,22.496307,z,0.475408
246.12822354015313,-25.252504635089835,58235.11143093044,19.291573,z,0.981867
246.12677561497622,-25.24951779433164,58235.11143093044,20.37997,z,0.851576
246.1341968094581,-25.248802365420353,57117.31676656287,19.091478,r,0.981448
246.128235735712,-25.252505765002038,57117.31676656287,20.607153,r,0.961126
246.12673975950298,-25.249513434194128,57117.31676656287,21.337343,r,0.742692
246.13418919722426,-25.248804556263654,57265.06173654692,19.102001,r,0.981717
246.1282235876188,-25.252514756353424,57265.06173654692,20.68151,r,0.976674
246.1267769529621,-25.249525000156975,57265.06173654692,21.725304,r,0.670652
246.13419153326876,-25.2488079818801,58235.11627305532,18.006037,z,0.983812
246.1306258950712,-25.25581792684407,58235.11627305532,21.23567,z,0.155217
246.1291816433058,-25.256807706509004,58235.11627305532,22.254824,z,0.51481
