gaia,set
1021305294133794944,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1021329998785662848,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1021698472619542656,shahaf2024_nonclassI
1022186209105957120,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1022224692012855808,shahaf2024_nonclassI
1022761249391412480,shahaf2024_nonclassI
1022840281085874432,shahaf2024_nonclassI
1023202364008521216,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1023920134646945536,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1024055928629332224,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1024735048857801984,unified:Demoted (failed F#31 phantom RV)|v3_acceleration
102509431858620160,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1025309917344450176,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1025578649154070528,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1025634655527588480,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1026155892758610560,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1026253199537620352,shahaf2024_nonclassI
1026311267495410432,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1026467432506362624,shahaf2024_nonclassI
1026818589032644608,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1026998221744875136,shahaf2024_nonclassI
1027366351981756544,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1028513829804043648,shahaf2024_nonclassI
1028887114002082432,amrf3_halbwachs2023;shahaf2024_nonclassI
1029140895030360448,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1029546992778444928,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1029783147259617536,shahaf2024_nonclassI
1030111248401012864,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
103079494277732096,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1032273227562355328,shahaf2024_nonclassI
1033143323512658304,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1033788599399355904,shahaf2024_nonclassI
1035551872453134080,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
103637496428550400,shahaf2024_nonclassI
1037151112116605184,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1037701722627124096,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
10378500708692608,shahaf2024_nonclassI
1037970591876449408,shahaf2024_nonclassI
1038210899590462336,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1038501484193283456,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1038830341249326848,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1039044161901202688,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1039264098586757376,shahaf2024_nonclassI
1039973004412665600,shahaf2024_nonclassI
1040415837017464576,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1041096194196479616,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1041180959671154304,shahaf2024_nonclassI
1041396979345990656,shahaf2024_nonclassI
1042689077307276800,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1042890287935118464,shahaf2024_nonclassI
1043242715771420160,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1043496668598137856,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1043525457762566784,unified:Tier-1 NS|v2_orbital
1043525668217359488,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1043641288737059072,shahaf2024_nonclassI
1044237017880991872,unified:Demoted (failed F#30 K-giant chromatic)|v2_orbital
1044484304918258688,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1044540070773515392,shahaf2024_nonclassI
1044640401209415552,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1045446652469241984,shahaf2024_nonclassI
1047200025622352896,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1047231709596507520,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1047241158525220096,shahaf2024_nonclassI
1047263423635651584,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1047279916309991808,shahaf2024_nonclassI
1047358806269280640,shahaf2024_nonclassI
1047618011843841920,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
