gaia,n,nnight,base,insts,chi2_const,dof,drv,set
1063513483939658112,1,1,0.0,BOSS,0.0,0,0.0,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1065890559359361280,1,1,0.0,BOSS,6.746522028001085e-31,0,0.0,shahaf2024_nonclassI
1068137686248687488,1,1,0.0,BOSS,0.0,0,0.0,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1070865505877849088,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1074993450485374336,1,1,0.0,BOSS,0.0,0,0.0,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1076202294800574848,1,1,0.0,BOSS,0.0,0,0.0,amrf3_halbwachs2023;shahaf2024_nonclassI
1084432242414471808,2,2,1.0134490740747424,BOSS,3.373037517473545,1,11.727596,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1084557861617891840,1,1,0.0,BOSS,0.0,0,0.0,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1086746576951523456,3,3,244.0,APOGEE,19.526356890250398,2,1.26661,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1087586191518555264,1,1,0.0,BOSS,0.0,0,0.0,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1088627119792254848,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1092528565005291392,1,1,0.0,BOSS,6.543522446725933e-32,0,0.0,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1095948870802554368,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1096043325723506560,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1098489704734299648,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1099256133058195584,1,1,0.0,BOSS,0.0,0,0.0,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1106478859303780352,6,6,322.0,APOGEE,1760.1910652003364,5,25.031413,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1106515727302894080,1,1,0.0,BOSS,0.0,0,0.0,amrf3_halbwachs2023;shahaf2024_nonclassI
1107690074438959872,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1108361635526058624,1,1,0.0,BOSS,0.0,0,0.0,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1109284057061077760,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1111046471120541440,1,1,0.0,BOSS,0.0,0,0.0,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1112097260640253952,3,3,32.0,APOGEE,0.01337029519766293,2,0.032219999999998805,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1112208242595193600,5,5,65.0,APOGEE,14.164179215565705,4,1.0251799999999989,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1114057479417337472,2,2,0.8951967592583969,BOSS,0.1474922767564701,1,2.9059000000000026,shahaf2024_nonclassI
1117948827162646272,4,4,53.0,APOGEE,9.628809560388769,3,0.8132799999999989,unified:Demoted (failed F#30 K-giant chromatic)|v2_orbital
1121517463949068544,1,1,0.0,BOSS,0.0,0,0.0,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1123032075576096384,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1123512596517432832,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1124695086913348608,1,1,0.0,BOSS,0.0,0,0.0,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1133382981119378688,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1134125804303241728,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1135012526071047552,1,1,0.0,BOSS,0.0,0,0.0,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1135446867524387968,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1138641567278397440,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1141632651223406080,2,2,0.9011689814797137,BOSS,0.017318878157497393,1,0.7796000000000021,shahaf2024_nonclassI
1145155142880498560,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1151463556484457856,1,1,0.0,BOSS,0.0,0,0.0,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
115316027903187200,3,3,35.0,APOGEE,17.207804356548227,2,1.2131100000000004,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
11538343743422848,1,1,0.0,BOSS,0.0,0,0.0,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1155001299570277248,2,2,1.0,APOGEE,0.0585140391262311,1,0.07090000000000884,unified:Tier-2 (NSS period non-significant — nee|v2_orbital
1163364601623866752,4,4,30.0,APOGEE,0.691138722196907,3,0.2093600000000002,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1165687251218629248,5,5,26.0,APOGEE,7447.322053737686,4,20.303204,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1166781883763095808,2,2,1.0,APOGEE,0.010935672877715475,1,0.029889999999998196,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1172340086840027264,6,6,54.0,APOGEE,2.165845949167341,5,0.34135000000000026,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1175696651025647744,3,3,29.0,APOGEE,56.675471932489586,2,2.08371,shahaf2024_nonclassI
1188712055495539456,3,3,271.0,APOGEE,1.176891744648219,2,0.2827940000000009,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1200081864721506432,2,2,5.0,APOGEE,0.18933337926369323,1,0.12729000000000035,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1200188792227404288,2,2,5.0,APOGEE,0.010961996044572358,1,0.030019999999999936,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1203388783381889920,4,4,372.9135648148149,BOSS,0.4649424164631517,3,4.257401,unified:Demoted (failed F#31 phantom RV)|v3_acceleration
1203775158640182784,4,4,372.9135648148149,BOSS,1.1211319263743773,3,8.508075999999999,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1204293303493341696,4,4,372.9135648148149,BOSS,1.4985119699939298,3,7.341473000000001,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1205631477863649024,2,2,1.0,APOGEE,0.25410007301130433,1,0.14905000000000257,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1205996687523207936,2,2,3.0,APOGEE,6.036255223665112,1,0.7443499999999972,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1206961405897239040,2,2,3.0,APOGEE,0.03036365936213028,1,0.050209999999999866,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1218689655912874240,4,4,28.0,APOGEE,6.371542945935873,3,0.6891499999999997,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1219216356342287232,2,2,1.0,APOGEE,7.012969145939886,1,0.8878125,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1219511918811625984,2,2,1.0,APOGEE,0.03367223681116051,1,0.052369000000000554,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1219699179386137856,1,1,0.0,APOGEE,0.0,0,0.0,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1219767692704426112,1,1,0.0,APOGEE,0.0,0,0.0,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1219810779816566272,1,1,0.0,APOGEE,0.0,0,0.0,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1220419840538742016,2,2,1.0,APOGEE,0.12019795944388781,1,0.10042999999999935,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1221223751039854976,1,1,0.0,APOGEE,0.0,0,0.0,shahaf2024_nonclassI
1224586474211820800,3,3,11.0,APOGEE,563.5393041442463,2,6.485302,shahaf2024_nonclassI
1230959067510534784,21,19,769.0,APOGEE,381.0453344339913,20,3.11923,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1245797011286917376,4,4,457.76049768518715,BOSS,0.7132317133064214,3,5.5016099999999994,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1251009594051549184,3,3,6.0,APOGEE,0.5135500213916169,2,0.21688999999999936,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1251112084855479424,4,4,3540.994155092594,APOGEE+BOSS,0.22839462985659412,3,0.3686300000000031,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1253494112373182336,1,1,0.0,BOSS,0.0,0,0.0,shahaf2024_nonclassI
1258321891836519936,3,3,26.0,APOGEE,2.4530257392943775,2,0.4571599999999947,shahaf2024_nonclassI
1260818131124415616,3,3,90.0,APOGEE,7.315833216225051,2,0.7357900000000015,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1261198630867505792,1,1,0.0,APOGEE,0.0,0,0.0,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1273054355513402624,3,3,4.0,APOGEE,0.01455584545905494,2,0.031929999999999126,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1273559993422647168,2,2,1.0,APOGEE,0.02798672193072177,1,0.049509999999997945,shahaf2024_nonclassI
1274274637324272128,2,2,1.0,APOGEE,0.08984709512002094,1,0.08684000000000225,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1274682629158229376,1,1,0.0,APOGEE,0.0,0,0.0,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1276083784927167232,5,5,1490.0,APOGEE,19.20006442418373,4,1.0522899999999993,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1276711193748202624,12,12,2649.0,APOGEE,10122.527952188651,11,22.325817,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1277223188209612544,2,2,1.0,APOGEE,0.31311660946801534,1,0.15997000000000128,unified:Tier-1 NS|v2_orbital
1277703949668952704,2,2,1.0,APOGEE,6.799251065119887,1,0.7525100000000009,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1283288399289507072,2,2,1.0,APOGEE,0.13983761826831148,1,0.11518799999999985,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1291809309463365632,3,3,31.0,APOGEE,2.04886359553964,2,0.3777900000000045,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1293624465721649024,4,4,669.0,APOGEE,705.449094555131,3,6.560870000000001,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1294712776074884480,2,2,1.0,APOGEE,0.44353054331572217,1,0.2201630000000001,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1296047548831206144,4,4,669.0,APOGEE,7295.091824711418,3,22.247346999999998,shahaf2024_nonclassI
1296557035031803264,2,2,1.0,APOGEE,0.112913644552037,1,0.09948999999999941,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1298756711122777856,2,2,1.0,APOGEE,0.0024172856513349295,1,0.014389999999998793,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1299173975785921536,2,2,1.0,APOGEE,0.02279416811861265,1,0.04302000000000206,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1299222350000381824,2,2,1.0,APOGEE,3.5043462216433466e-05,1,0.0017100000000027649,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1300552900806415488,2,2,1.0,APOGEE,0.08063164126589017,1,0.08246000000000109,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1301061081336480640,2,2,1.0,APOGEE,0.11340705945929602,1,0.10232999999999848,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1301730202881275008,4,4,8.0,APOGEE,33.96149316095364,3,1.434361,shahaf2024_nonclassI
1302984127173607936,6,6,62.0,APOGEE,127.16179913208926,5,2.6194600000000037,shahaf2024_nonclassI
1303474337560441984,2,2,1.0,APOGEE,0.23377356001385452,1,0.14260999999999768,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1304131845513982848,2,2,1.0,APOGEE,0.11916378321194314,1,0.10078999999999994,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1304531140033959680,2,2,1.0,APOGEE,8.196045200562402e-05,1,0.0027000000000043656,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1306074987500670080,3,3,359.0,APOGEE,1306.487470188294,2,9.1663,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1306529124460020864,2,2,1.0,APOGEE,0.34995018956009977,1,0.17515000000000214,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1309362703363311360,7,7,365.0,APOGEE,105.93006308178595,6,2.477330000000002,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1309833363059391488,3,3,4.0,APOGEE,1998.027206137975,2,14.315055,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1310248016382385536,7,7,365.0,APOGEE,1986.573818058106,6,10.424050000000001,shahaf2024_nonclassI
1311422878916387712,2,2,1.0,APOGEE,0.24118738894112707,1,0.14453999999999922,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1313843625562936064,2,2,1.0,APOGEE,0.06270115850429495,1,0.07369300000000001,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1314719111697056512,2,2,1.0,APOGEE,0.08340786235729317,1,0.0858000000000061,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1316059656889468416,3,3,39.0,APOGEE,14.12388556708082,2,1.1633160000000005,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1318672783711737088,5,5,714.0,APOGEE,230.07881441936505,4,10.761866000000001,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1318775068356153088,5,5,714.0,APOGEE,11329.677388092598,4,19.954540000000005,shahaf2024_nonclassI
1318779672566752512,5,5,714.0,APOGEE,3049.688425245156,4,10.6234,unified:Demoted (failed F#31 phantom RV)|v3_acceleration
1320301156135993600,4,4,7.0,APOGEE,0.10943669293142731,3,0.08112999999999992,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1320919773161836672,4,4,22.0,APOGEE,0.362713038438101,3,0.13293,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1321020584634470016,3,3,4.0,APOGEE,0.03225396608243891,2,0.051142999999999716,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1321037283467336832,3,3,4.0,APOGEE,0.00013310074610483152,2,0.0031800000000004047,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1325150625186519552,3,3,30.0,APOGEE,0.14228204520904075,2,0.17631000000000085,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1325174917521652352,5,5,31.0,APOGEE,3172.5641930463307,4,17.41263,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1325569298598561152,7,7,20.0,APOGEE,0.18960781664081133,6,0.12187000000000126,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1327043984207568896,2,2,1.0,APOGEE,0.002022485508405369,1,0.012789999999998969,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1330175049727668608,4,4,10.0,APOGEE,42.25145187770707,3,1.691360000000003,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1331062046373377408,2,2,1.0,APOGEE,0.08766382554382954,1,0.08550999999999931,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1332086928649703040,4,4,1861.0,APOGEE,118.60820659193222,3,2.4454009999999995,shahaf2024_nonclassI
1332520200653772672,2,2,2.0,APOGEE,0.019424934959867683,1,0.04024000000000072,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1333459428399066496,13,13,1751.0,APOGEE,776.234090483706,12,4.472080000000005,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1334453764867803776,4,4,4.0,APOGEE,0.03354240827360454,3,0.05237400000000014,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
1337662174157075072,3,3,2.0,APOGEE,5.518200486984519,2,0.641562,unified:Tier-2 (NSS period non-significant — nee|v2_orbital
1337725052478189824,4,4,21.0,APOGEE,1.1608871221610988,3,0.29000000000000625,unified:Demoted (RV-joint short-P mass is WD/low|v3_acceleration
1337762809534260480,4,4,4.0,APOGEE,1.8032819827526732,3,0.35663000000000267,unified:Demoted (failed F#31 phantom RV)|v3_acceleration
1338665439860900480,3,3,4.0,APOGEE,16.289059856656458,2,1.2130900000000011,shahaf2024_nonclassI
1339273027411131776,5,5,1097.0,APOGEE,0.9185132893223141,4,0.24317999999999884,unified:Demoted (failed F#30 K-giant chromatic)|v3_acceleration
1339432044280164224,2,2,1.0,APOGEE,0.1028018993609698,1,0.09497580000000005,unified:Tier-2 (P-degenerate compact-object cand|v3_acceleration
