source_id,nss_solution_type,period,period_error,t_periastron,t_periastron_error,eccentricity,eccentricity_error,a_thiele_innes,b_thiele_innes,f_thiele_innes,g_thiele_innes,a_thiele_innes_error,b_thiele_innes_error,f_thiele_innes_error,g_thiele_innes_error,arg_periastron,semi_amplitude_primary,semi_amplitude_primary_error,center_of_mass_velocity,parallax,parallax_error,significance,goodness_of_fit
1635085773186852992,Orbital,215.34928546919204,0.92327374,6.337395216228742,15.723879,0.1756369309413648,0.07202568,-0.1213952319735464,-0.1847945531117754,-0.1627624831955353,-0.3257827252556509,0.075594984,0.14604391,0.056112252,0.08421878,,,,,1.3660429693547291,0.012642719,24.808777,-2.2257934
1277223188209612544,AstroSpectroSB1,499.6184345992641,1.7952926,45.950412669761704,6.678584,0.2909768346096005,0.018043824,0.5663166616171433,0.8907744386344105,0.8851589797818236,-0.4133614092547455,0.07083084,0.034910437,0.04790542,0.080472395,,,,-30.612856861268337,1.3132382916143617,0.016038219,69.35422,4.324628
1310248016382385536,AstroSpectroSB1,99.80997397312854,0.022488553,-17.83193214609337,6.998668,0.0196507476948819,0.0068277516,1.3793604401606876,0.3146107790810536,-0.98163158800606,3.5884333330601903,0.4339697,1.5876486,0.60850877,0.1316946,,,,-13.868342687865,17.93982614656086,0.017531576,217.81235,4.457744
1114057479417337472,Orbital,928.1543480820362,27.63185,-435.9061204659748,25.387169,0.5039228448846426,0.08528544,-0.0432071698424911,0.8876067367878161,-0.6404678024988756,0.1720115789601263,0.08915523,0.037022185,0.07048426,0.12415879,,,,,1.0587450205345084,0.036124308,26.118025,3.1945596
1451543369448740224,Orbital,510.7697702738796,1.529556,-134.95716202822484,5.440195,0.2810144928511059,0.023003917,-0.7712890855030078,1.1914356379137443,0.7792967954629249,-0.2131883688983772,0.050958257,0.022542622,0.05434636,0.08695418,,,,,2.8779397407897096,0.016345613,84.45964,5.0647383
148974857672084480,Orbital,131.81017259677247,0.1891949,63.257960066227895,9.413755,0.0626863994353582,0.040722076,-0.3660896029578336,0.6329283575277124,-0.6420745600531678,-0.3740470627387307,0.29156393,0.16808875,0.1691787,0.2984944,,,,,3.243056995068707,0.018581573,32.517143,2.4574387
1552196958823967488,Orbital,325.0779608296007,1.2244147,10.896449221876026,6.4311266,0.2946475094245351,0.04671204,0.8511691185614644,0.0402548470709443,-0.1745525377587114,0.9254532650883434,0.03236032,0.11869079,0.11760662,0.028222334,,,,,2.2179596521153013,0.034097135,28.984465,4.8360176
1008950112036595328,AstroSpectroSB1,509.2035770631484,2.5395887,103.1472990213696,5.234097,0.5478236647719485,0.026094818,0.5213080007917673,1.0784230812369178,-0.7908778225797587,0.4705391269205561,0.049989652,0.046262912,0.041083183,0.06485513,,,,-48.149013094394334,1.7288094835295216,0.024821758,58.79518,2.419384
1512362202304836224,AstroSpectroSB1,179.01749138773695,0.13946944,62.82285068192429,0.777667,0.4804027516887511,0.014670376,-0.4899858493737772,1.058633015002365,1.3439632785625042,0.9747944400542092,0.03892857,0.02852624,0.030377083,0.034342356,,,,1.7811438852707766,4.390988217667487,0.011836136,79.7003,3.0826283
1379769037094732288,AstroSpectroSB1,491.0258272174401,0.99878323,-201.5985394039054,17.176626,0.0540613167331038,0.012896356,0.4329717876778439,2.1454297802053977,-0.3016310649319901,0.7614348879508805,0.06893396,0.16493708,0.09168189,0.4700215,,,,-17.003387434192156,4.273141793131709,0.014849086,150.85828,2.3919168
