filter,mag_psf,e_mag_psf,flags,nimaflags,use_in_clipped,date
u,,,512,0,-1,57030.48603009
v,16.176039,0.0396,0,0,1,58235.45439815
v,16.204037,0.0513,0,0,1,58740.76405093
v,16.106194,0.0125,0,0,1,58794.52796296
r,16.809809,0.0567,0,0,1,57030.4875
r,16.791769,0.0562,0,0,1,59124.70998843
r,16.795809,0.0295,0,0,1,58235.45516204
i,17.0446,0.0565,0,0,1,58235.45545139
i,17.1989,0.0217,0,0,1,58779.75524306
i,17.1201,0.0366,0,0,1,58163.50607639
z,17.2787,0.2139,0,0,1,58235.45581019
z,17.5435,0.021,16,0,-1,58779.75385417
z,17.4723,0.0547,0,0,1,59467.69574488
u,15.839528,0.0182,0,0,1,58235.45369213
u,15.750717,0.0403,16,0,-1,58240.38634259
u,15.843357,0.05,0,0,-1,59124.70855324
u,15.826562,0.0345,0,0,1,58794.52658565
v,16.0367,0.0755,0,0,1,58828.60596065
v,16.121235,0.0469,0,0,1,58163.50503472
v,16.076899,0.0275,16,0,-1,58240.38704861
v,16.073946,0.0343,0,0,1,59124.70925926
v,16.08958,0.0383,0,0,1,57038.45796296
g,16.469793,0.0084,0,0,1,58602.3712037
g,16.44207,0.0433,0,0,1,58828.60643519
g,16.440815,0.0192,0,0,1,58740.76451389
g,16.374807,0.0774,16,0,-1,58240.38751157
g,16.495628,0.0276,0,0,1,57030.48719907
g,16.51225,0.0273,0,0,1,57038.4584375
g,16.53673,0.0251,0,0,1,58235.45486111
r,16.824242,0.078,16,0,-1,58780.63563657
r,16.769604,0.0061,0,0,1,58602.37260417
r,16.741282,0.0433,0,0,1,58828.60671296
i,17.1518,0.0097,0,0,1,59467.69434037
z,17.484,0.0517,16,0,-1,58240.38846065
z,17.4255,0.0252,0,0,1,58163.50644676
z,17.5125,0.0393,0,0,1,58828.60736111
u,15.779498,0.0222,0,0,1,58828.6052662
u,15.779152,0.0293,0,0,1,57038.45725694
g,16.470867,0.0146,0,0,1,59124.70971065
r,16.760244,0.0064,0,0,1,59465.69113081
r,16.875563,0.0338,16,0,-1,58240.38780093
r,16.776693,0.023,0,0,1,58163.50578704
i,17.2157,0.0702,0,0,1,58740.76516204
i,17.1908,0.0553,0,0,1,58828.60700231
i,17.1436,0.0231,0,0,1,57709.73342593
i,17.1799,0.0426,0,0,1,59124.71027778
z,17.3894,0.0559,0,0,1,57709.73481481
z,17.3628,0.0552,0,0,1,57030.48813657
v,16.101421,0.022,0,0,1,57030.48673611
v,16.026812,0.0124,0,0,-1,58586.49795139
g,16.460878,0.0561,16,0,-1,58780.63424769
g,16.476831,0.0037,0,0,1,59465.68972184
g,16.431946,0.0511,0,0,1,58163.50549769
r,16.760612,0.0465,0,0,1,58740.76487269
i,17.1736,0.0709,0,0,1,57038.45908565
i,17.1404,0.0434,0,0,1,57030.48777778
i,17.1745,0.0093,16,0,-1,58779.75246528
i,17.0805,0.0225,16,0,-1,58240.38811343
z,17.4695,0.0116,0,0,1,58779.75663194
