mjd,filter,mag_auto,magerr_auto,ra,dec,exposure
58703.18788500689,i,18.261393,0.00687,312.83000051395237,-16.297461822362063,c4d_190808_043033_ooi_i_v1
58638.28052111389,g,17.32261,0.004923,312.82997488042463,-16.297443422904767,c4d_190604_064357_ooi_g_v1
58643.39804744767,g,17.329828,0.007764,312.83000474417855,-16.297462028651076,c4d_190609_093311_ooi_g_v1
58704.094231971074,i,18.260382,0.007039,312.82999933505846,-16.297458071215427,c4d_190809_021541_ooi_i_v1
