objID,obsTime,filterID,psfFlux,psfFluxErr,psfQfPerfect,infoFlag,infoFlag2,ra,dec
88443128302613411,56885.4139812,3,8.452109796053264e-06,1.5513400057898252e-06,0.6014090180397034,35651585,0,312.83025717,-16.29747072
88443128300544067,55768.425511,2,9.566770131641532e-06,1.1208200021428638e-06,0.7837809920310974,35651585,0,312.83004517,-16.29691226
88443128298723636,56054.6210117,5,0.0001336319983238,9.26489974517608e-06,0.997285008430481,35651585,0,312.82986484,-16.29736458
88443128298723636,56054.6261371,5,0.0001275929971598,1.2161300219304394e-05,0.9970020055770874,35651585,0,312.82989315,-16.29738466
88443128298723636,56874.3725715,3,0.0002030780015047,2.52808990808262e-06,0.9983980059623718,102760517,128,312.82991871,-16.29735256
88443128298723636,56874.3845229,3,0.000205290998565,2.4534099338779924e-06,0.9968370199203492,102760517,128,312.82992534,-16.29735159
88443128298723636,56874.3964565,3,0.0001920299982884,3.2949999422271503e-06,0.9962080121040344,102760517,128,312.82992197,-16.29735726
88443128298723636,56874.408406,3,0.0002044300053967,2.876799953810405e-06,0.9803969860076904,102760517,128,312.82992503,-16.29735854
88443128298723636,56885.3781378,3,0.0002053750067716,2.1555899820668856e-06,0.996694028377533,102760517,128,312.8299217,-16.29734472
88443128298723636,56885.3900843,3,0.0002070600021397,2.2935898869036464e-06,0.9346749782562256,102760517,128,312.82992116,-16.29734925
88443128298723636,56885.4020429,3,0.0002066799934254,2.823469912982546e-06,0.5093569755554199,102760453,128,312.82991638,-16.2973514
88443128298723636,55389.4458038,1,0.0003840099961962,2.631599954838748e-06,0.998852014541626,102760517,128,312.829862,-16.297247
88443128298723636,55389.4575388,1,0.0004038129991386,2.7662099455483258e-06,0.9997140169143676,102760517,128,312.82986321,-16.29724909
88443128298723636,55397.4397425,3,0.0002097010001307,2.485189952494693e-06,0.9988189935684204,102760517,128,312.82987195,-16.29727023
88443128298723636,55397.4505921,3,0.0002051350020337,2.4041100914473645e-06,0.9993630051612854,102760517,128,312.82987269,-16.29726617
88443128298723636,56873.3730972,3,0.0002000109961954,2.8674699024122674e-06,0.9992610216140748,102760517,128,312.82993866,-16.29736725
88443128298723636,56873.3861746,3,0.0002035520010394,2.921819941548165e-06,0.999144971370697,102760517,128,312.82993199,-16.29734802
88443128298723636,56873.3992445,3,0.0002111880021402,2.7768799100158503e-06,0.999343991279602,102760517,128,312.82993397,-16.29736259
88443128298723636,56873.4123054,3,0.0001997320068767,2.680149918887764e-06,0.996973991394043,102760517,128,312.82993395,-16.2973549
88443128298723636,56874.4244228,3,0.0002046510053332,2.670539970495156e-06,0.9981499910354614,102760517,128,312.82993063,-16.29735459
88443128298723636,56874.4373775,3,0.0002050710027106,2.5883700800477527e-06,0.998893976211548,102760517,128,312.82992655,-16.2973497
88443128298723636,56874.4502749,3,0.0002034570061368,2.8596800802915823e-06,0.9993889927864076,102760517,128,312.82992472,-16.29736354
88443128298723636,56874.4632475,3,0.0002053520001936,2.5665899556770455e-06,0.9989269971847534,102760517,128,312.82993151,-16.29735612
88443128298723636,56885.4296124,3,0.0002028869930654,2.0920899714838015e-06,0.9982230067253112,102760517,128,312.82993004,-16.29735712
88443128298723636,56885.4426921,3,0.0001958810025826,2.2630099465459352e-06,0.9965909719467164,102760517,128,312.82992528,-16.29735738
88443128298723636,56885.4557742,3,0.0002046909939963,2.305919906575582e-06,0.9974510073661804,102760517,128,312.82992811,-16.29735489
88443128298723636,56885.4688228,3,0.0002025540015893,2.164060106224497e-06,0.9978229999542236,102760453,128,312.82992663,-16.29735585
88443128298723636,56912.2881111,3,0.0002021959953708,2.4949899852799717e-06,0.4894750118255615,102760517,160,312.82993052,-16.29736523
88443128298723636,56912.3000375,3,0.0001986300048884,2.5011299840116408e-06,0.998753011226654,102760517,128,312.82992518,-16.29735096
88443128298723636,56912.3119659,3,0.0001960310037247,2.4462399323965656e-06,0.9995830059051514,102760517,128,312.82992559,-16.29736177
88443128298723636,56912.3239206,3,0.0002006260037887,2.518660039640963e-06,0.9985129833221436,102760517,128,312.82992626,-16.2973572
88443128298723636,56835.611639,4,0.0001580759999342,3.219799964426784e-06,0.9986249804496764,102760517,128,312.82992582,-16.29736208
88443128298723636,56940.2876067,3,0.0002024449931923,3.600890067900764e-06,0.9981669783592224,102760517,128,312.82993131,-16.29734882
88443128298723636,56940.2995073,3,0.0002019179955823,3.3240598895645235e-06,0.99795800447464,102760517,128,312.82991857,-16.29735283
88443128298723636,56940.3114471,3,0.0001978450018214,3.378469955350738e-06,0.9976829886436462,102760517,128,312.82992607,-16.29735755
88443128298723636,56940.3233561,3,0.0001918799971463,5.02065995533485e-06,0.9991639852523804,102760517,128,312.82991509,-16.29735736
88443128298723636,56428.6203901,5,0.0001390660036122,5.2655900617537554e-06,0.9991070032119752,102760453,128,312.82991782,-16.29731688
88443128298723636,56487.4229907,1,0.0003932949912268,2.6839600195671665e-06,0.9907010197639464,102760517,128,312.82990388,-16.29731491
88443128298723636,56487.4338446,1,0.0003938819863833,2.6590601009957027e-06,0.9986500144004822,102760517,128,312.8299063,-16.29731983
88443128298723636,56487.4392682,1,0.000402131001465,2.658540097399964e-06,0.99863600730896,102760517,128,312.82991108,-16.297316
88443128298723636,56475.502833,2,0.0002850210003089,2.3878299089119537e-06,0.987396001815796,102760517,128,312.82991982,-16.29732767
88443128298723636,56475.5124982,2,0.0002796229964587,2.4251401100627845e-06,0.9649980068206788,102760517,128,312.82991417,-16.29732589
88443128298723636,56475.5276924,3,0.0002078319957945,2.4786099857010413e-06,0.9461359977722168,1176502341,128,312.82991608,-16.29733093
88443128298723636,56475.5387585,3,0.0002034909994108,2.257530013594078e-06,0.9265390038490297,1176502341,128,312.82991057,-16.29733087
88443128298723636,56432.6093295,4,0.0001526870037196,2.7161800062458497e-06,0.9798669815063475,102760517,128,312.82990744,-16.29733148
88443128298723636,56219.1980091,5,0.0001147189977928,1.069189966074191e-05,0.98860901594162,35651585,0,312.82989786,-16.29730535
88443128298723636,56219.2030345,5,0.0001309740036958,1.0465299965289889e-05,0.98014098405838,35651585,0,312.82991004,-16.29730476
