mjd,filter,mag_auto,magerr_auto,ra,dec,exposure
57444.1371161798,r,16.94038,0.003431,113.76713273711012,-79.73632858445882,c4d_160226_031937_ooi_r_v1
57432.23535981262,r,16.945873,0.004276,113.76712376694181,-79.73633309356666,c4d_160214_054114_ooi_r_v1
57444.14008476166,g,16.352118,0.002419,113.7671566645575,-79.73631676041605,c4d_160226_032432_ooi_g_v1
57444.14181204233,g,16.355516,0.002429,113.76716828554477,-79.73631979233784,c4d_160226_032702_ooi_g_v1
57806.264805214014,g,16.391321,0.006733,113.76728455576134,-79.73631912997548,c4d_170222_062338_ooi_g_v1
57432.23398436606,g,16.374744,0.00567,113.76721032851037,-79.73631966743491,c4d_160214_053916_ooi_g_v1
57444.135851632804,r,16.931984,0.003425,113.76710551120316,-79.73633233804644,c4d_160226_031747_ooi_r_v1
57806.266174762975,r,16.93579,0.005048,113.76712983646529,-79.73633483122137,c4d_170222_062537_ooi_r_v1
