source_id,Name,HIP,v9_verdict,simbad_otype,wds_id,msc_id,vis_id
2778298280881817984,HD 5433,4387.0,CORROBORATED_real_companion,PM*,WDS J01066+1353,"",""
6386542083398391808,HD 222805,117105.0,CORROBORATED_kervella_only,**,WDS J23444-7029,"",** WSI 9
5247428421914452736,HD 83957B,47338.0,CORROBORATED_real_companion,*,WDS J09388-6640,"",** HDS 1
