name,hip,gaia_dr3_source_id,vmag,spectral_type,distance_pc,category,nss_pool,p_orb_d,m2_mj_marginalized_median,m2_marginalized_1sigma_lo,m2_marginalized_1sigma_hi,hgca_snrpma,kervella_m2_5au_mj,kervella_snrpma,penoyre_ruwe_value,gaia_rv_amplitude_robust_kms,archival_rv_summary,p_substellar_marginalized,filters_passed,status_tentative_only,notes,fp_risk_tier,P_real_companion,P_substellar_given_real,P_real_substellar
HD 75426,43197,5328000290404075264,6.72,F5IV/V (modern parameters indicate dwarf: Gaia logg=4.12 TIC lumclass=DWARF),43,filter_survivor_mass_ambiguous,nss_acceleration,,282,100,1343,,66.0,27.07,,1.92,Gaia DR3 rv_amplitude_robust = 1.92 km/s across 27 transits; 4 independent astrometric witnesses (HGCA 33-sigma + Kervella PMa 27-sigma + NSS Acceleration 60-sigma + Tycho-Gaia 25-yr DeltaPM 4.41-sigma) all consistent with single P~125yr companion,,35/35,TENTATIVE_LEANING_STELLAR_MASS_AMBIGUOUS,orvara joint HGCA + synthetic K_RV constraint posterior median 282 MJ (early M-dwarf regime) but 2-sigma low tail 100 MJ still includes substellar; never observed by any ESO public spectrograph; single CORALIE/FEROS epoch decisive,negligible,0.996,0.3,0.299
HD 120954,67777,6287148057608953600,8.76,G1V,124,filter_survivor_apparent_stellar_companion,nss_acceleration,25500,1637,1018,3621,,591.9,102,,,orvara joint HGCA + 3 RV epochs posterior; depends on prior; multi-decade ΔRV (Nordstrom 2004 to Gaia DR3) = +6.5 km/s,0.0,,TENTATIVE_STELLAR_COMPANION,Pipeline interpretation: P~70yr K-dwarf at edge-on inclination; 5 independent astrometric+RV signals mutually consistent; not a substellar candidate,negligible,0.999,0.0,0.0
