epoch_UT,archive_window,pred_RA_deg,pred_Dec_deg,pred_V,SMAA_3sigma_deg,SMIA_3sigma_arcmin,region_usable(<10arcmin),SSOIS_images_this_yr,outcome
2003-08-20,CFHT-MegaCam (first archival),330.87262,-13.91506,22.38,128.0,7.5,NO,5,UNUSABLE: 3-sigma region sky-spanning; no attribution possible
2005-08-20,CFHT,333.35798,-13.14024,22.39,299.4,25.78,NO,5,UNUSABLE: 3-sigma region sky-spanning; no attribution possible
2010-08-20,PS1 3pi,339.54617,-11.08594,22.42,914.3,95.86,NO,126,UNUSABLE: 3-sigma region sky-spanning; no attribution possible
2012-08-20,PS1/DECam,341.98512,-10.2328,22.43,1231.9,129.45,NO,127,UNUSABLE: 3-sigma region sky-spanning; no attribution possible
2013-08-20,DECam/DES,343.20567,-9.79668,22.43,1405.8,146.88,NO,60,UNUSABLE: 3-sigma region sky-spanning; no attribution possible
2014-08-20,DECam/HSC-era,344.4212,-9.35695,22.44,1589.3,164.68,NO,169,UNUSABLE: 3-sigma region sky-spanning; no attribution possible
2017-08-20,DECam,348.0284,-8.02305,22.45,2195.2,219.9,NO,88,UNUSABLE: 3-sigma region sky-spanning; no attribution possible
2019-08-20,ZTF/DECam,350.43292,-7.11007,22.46,2644.9,257.43,NO,64,UNUSABLE: 3-sigma region sky-spanning; no attribution possible
2022-08-20,DECam,354.0132,-5.72259,22.48,3384.3,314.71,NO,289,UNUSABLE: 3-sigma region sky-spanning; no attribution possible
2025-08-20,DECam,357.57145,-4.31554,22.49,4197.5,372.46,NO,20,UNUSABLE: 3-sigma region sky-spanning; no attribution possible
