sdss_id,gaia_dr3_source_id,ra,dec,g_mag,bp_mag,rp_mag,plx,classification,p_da,teff,logg,snr,bp_rp
63322351,1781896688895465344,333.8008,21.65149,16.24336,16.09888,16.54385,4.165982,DA,0.9703709,43186.86,7.86557,42.62692,-0.44496999999999787
88915700,4420062345960477952,227.2262,1.270463,17.95059,17.97071,18.09579,6.276296,DA,0.9840817,15965.39,8.440235,42.5093,-0.12508000000000052
75841710,3216947242193857024,83.58469,-2.241985,15.92076,15.78541,16.18838,10.67866,DA,0.8089114,30436.82,8.71717,42.44844,-0.40296999999999805
68390872,2183051788309026560,312.7513,54.84341,16.52085,16.40529,16.77666,5.921916,DA,0.996,26367.69,7.960961,42.43707,-0.37136999999999887
71622988,2789951759811539456,14.03342,21.59484,17.05499,16.95735,17.27217,4.258099,DA,0.992,26538.43,7.826514,42.43091,-0.31481999999999744
96251622,5302669707156440576,131.273,-58.7243,6.882867,6.828196,6.933498,3.113766,,-9999.0,-9999.0,-9999.0,42.40552,-0.105302
55554424,537563127588521600,1.281316,73.21982,14.27265,14.22181,14.32811,28.98247,DB,0.0005369151,-9999.0,-9999.0,42.35658,-0.10630000000000095
92219276,4719458434491666560,30.49179,-55.70434,17.28096,17.20898,17.4329,5.328104,DB,0.0,-9999.0,-9999.0,42.32224,-0.22391999999999967
58047390,940094265795095168,105.5742,36.60284,17.12529,17.0625,17.24772,5.858469,DA,1.0,19181.25,7.912098,42.30715,-0.18522000000000105
63924964,1830124258213491712,302.4843,22.87876,17.06132,16.97906,17.21114,5.423658,DB,0.002016592,-9999.0,-9999.0,42.3021,-0.23207999999999984
68422741,2186260266315620736,303.0997,55.72015,16.85993,16.74413,17.10751,4.589391,DA,0.9921995,27126.75,7.891366,42.30037,-0.3633800000000029
93577687,4927554479065656704,18.75453,-52.12926,16.48244,16.40315,16.66585,6.881276,DA,1.0,21066.54,7.935269,42.28447,-0.2626999999999988
79834052,3811876594386673408,169.4408,3.08165,15.39911,15.37242,15.48263,15.10919,DA,0.998,15452.09,8.040218,42.24986,-0.11021000000000036
68919182,2242491520044886144,295.2048,65.37144,17.30686,17.2398,17.50693,4.968676,DA,0.7235283,29461.01,9.319831,42.21533,-0.26713000000000164
75696628,3195244497569133184,58.8698,-7.801397,16.5917,16.53154,16.75106,7.396726,DA,1.0,18236.31,7.857576,42.19021,-0.21951999999999927
117443514,413040858770727168,21.6006,57.77315,16.31687,16.2899,16.41432,10.31321,DA,0.9521268,20325.06,8.1367,42.18839,-0.12442000000000064
79228458,3695495693769418112,187.8929,-1.535679,14.44892,14.35931,14.63394,13.06339,DA,0.998,19757.16,7.480141,42.15754,-0.27463000000000015
76551409,3332449083268903296,95.21771,13.40826,14.9062,14.74152,15.22959,6.093045,DA,0.9269894,54954.38,7.621759,42.1567,-0.48807000000000045
57274102,834234385783616640,159.4315,48.95571,15.46647,15.38103,15.65481,12.72655,DA,1.0,20945.74,8.176152,42.1368,-0.2737799999999986
56403870,675050253411876480,117.9336,22.5013,16.83241,16.76225,17.01698,5.900252,DA,1.0,20407.74,7.850023,42.01541,-0.25472999999999857
78926459,3644999350952415616,209.9761,-4.307566,17.57532,17.54872,17.70149,5.185256,DA,1.0,15756.86,7.870793,41.99239,-0.1527700000000003
76189588,3273625554777257472,58.66725,5.146119,16.28786,16.13658,16.59944,8.952785,DA,0.962599,-9999.0,-9999.0,41.97375,-0.4628600000000027
116633475,303751116649381248,24.8809,31.153,18.02349,17.95759,18.18166,4.770761,DA,0.994,-9999.0,-9999.0,41.95016,-0.2240700000000011
79160967,3683962671491515392,196.7566,-4.580925,17.75541,17.72211,17.95842,4.418257,DA,0.9861324,17182.4,7.800789,41.93653,-0.23630999999999958
