sdss_id,gaia_dr3_source_id,ra,dec,g_mag,bp_mag,rp_mag,plx,classification,p_da,teff,logg,snr,bp_rp,FUVmag,e_FUVmag,NUVmag,e_NUVmag,fuv_nuv,M_G,locus,locus_sd,resid,sig
111802846,6646012087227170688,295.1914,-51.16004,16.82841,16.78181,16.96,6.451027,DA,1.0,-9999.0,-9999.0,20.92633,-0.1781900000000007,16.3665,0.0244,16.5675,0.0172,-0.2010000000000005,10.87655429792667,-0.14999999999999858,0.15092868000000642,-0.05100000000000193,-0.3314858032035541
60325605,1299645082158650880,249.131,23.11521,17.3595,17.32626,17.47547,5.548213,DA,1.0,17560.15,7.940723,20.91985,-0.14921,17.1575,0.0449,17.3122,0.0195,-0.15470000000000184,11.080265628038106,-0.10844999999999949,0.1407728699999998,-0.046250000000002345,-0.3103170071320562
109786545,6365688956322115328,283.4868,-76.38797,16.42945,16.29165,16.4949,4.200185,DA,0.5792829,39607.22,7.502459,20.91053,-0.2032500000000006,14.8347,0.011,15.3526,0.0096,-0.5179000000000009,9.545792098072493,-0.2311999999999994,0.13321161000000292,-0.2867000000000015,-2.139403724900859
71711278,2806015766427247744,9.149614,23.71324,17.51972,17.49674,17.60777,6.307665,DA,0.966174,14725.48,8.124432,20.90182,-0.1110299999999995,17.7037,0.065,17.6484,0.0401,0.05530000000000257,11.5190630994774,-0.10844999999999949,0.1407728699999998,0.16375000000000206,1.0224392931744912
79426219,3730268741133644032,196.1113,6.917407,16.99073,16.88561,17.10973,4.120499,DA,0.9960065,23335.32,7.860352,20.89777,-0.2241199999999992,15.9293,0.0264,16.3424,0.0129,-0.4131000000000018,10.065479065388697,-0.2311999999999994,0.13321161000000292,-0.1819000000000024,-1.3334435849349864
110412688,6444799397757852800,292.2533,-62.39017,17.12308,17.04541,17.28594,5.322485,DB,0.05245866,-9999.0,-9999.0,20.89145,-0.2405299999999997,16.8148,0.0386,16.7246,0.0252,0.09020000000000294,10.753652230846393,-0.2311999999999994,0.13321161000000292,0.32140000000000235,2.280044374228817
62970439,1738236830208174848,313.9919,8.688194,17.12929,17.09217,17.2542,3.967353,DA,0.990452,16071.39,7.084632,20.88981,-0.1620300000000014,17.0546,0.0434,17.172,0.0168,-0.11739999999999995,10.12179422033347,-0.14999999999999858,0.15092868000000642,0.03259999999999863,0.2064065745531595
92961828,4825669157495006080,79.15443,-34.88498,18.17267,18.08771,18.36045,3.274786,DA,0.9684952,19353.44,7.770763,20.86913,-0.2727399999999988,17.1998,0.0411,17.6293,0.0295,-0.4295000000000009,10.748584625370704,-0.30079999999999885,0.12424188000000014,-0.12870000000000203,-0.9593929674705233
75701497,3196079744152166912,63.62649,-7.378633,18.33886,18.33369,18.46283,4.032525,DA,0.986228,-9999.0,-9999.0,20.8561,-0.1291399999999996,18.4421,0.0979,18.5389,0.0638,-0.09680000000000177,11.366745342584466,-0.10844999999999949,0.1407728699999998,0.011649999999997718,0.06367750828639782
75690097,3193968308166491904,59.34652,-9.836921,18.47885,18.40364,18.63781,3.185766,DA,0.9760783,21856.41,8.179648,20.837,-0.2341700000000024,17.4759,0.0448,17.9244,0.0307,-0.44849999999999923,10.994919364794278,-0.2311999999999994,0.13321161000000292,-0.21729999999999983,-1.5105268454160206
91723487,4665489314262634240,72.75953,-62.07995,18.09005,18.0708,18.24753,3.974666,DA,1.0,16914.61,8.133042,20.80499,-0.1767300000000027,17.7533,0.0479,17.9346,0.0351,-0.18130000000000024,11.086553198985838,-0.14999999999999858,0.15092868000000642,-0.03130000000000166,-0.19298247281233535
69537600,2368422198841374976,5.139135,-16.31549,16.89919,16.78952,17.13618,4.655236,DA,0.9960029,25360.17,7.814499,20.79529,-0.3466599999999999,15.6283,0.0241,16.0531,0.0109,-0.4248000000000012,10.238898513482297,-0.38175000000000026,0.09874116000000163,-0.04305000000000092,-0.4211402169352902
80476210,3937302936648921600,195.4163,16.14236,16.3507,16.25651,16.56549,6.740471,DA,0.998,-9999.0,-9999.0,20.78991,-0.3089800000000018,15.383,0.0244,15.7151,0.0124,-0.3321000000000005,10.494151222701898,-0.38175000000000026,0.09874116000000163,0.04964999999999975,0.48455892217783386
69634468,2395676205875096576,354.0293,-15.79245,16.94988,16.93217,17.07583,7.769564,DA,0.994174,13691.81,7.948957,20.78735,-0.1436600000000005,17.048,0.0246,17.0703,0.0167,-0.02230000000000132,11.401863242198331,-0.10844999999999949,0.1407728699999998,0.08614999999999817,0.5987686929754231
112094444,6669219930126192768,303.25,-47.41438,18.09674,18.08532,18.21127,3.252861,DA,0.9705687,15542.75,7.555607,20.77951,-0.1259499999999995,18.1724,0.0539,18.136,0.026,0.03640000000000043,10.658067527871374,-0.10844999999999949,0.1407728699999998,0.14484999999999992,0.9469502732308267
79165542,3684710236318608128,199.3208,-2.329293,18.44269,18.40269,18.54726,3.146924,DB,0.0004125964,-9999.0,-9999.0,20.77042,-0.1445700000000016,18.6057,0.0633,18.1665,0.0266,0.4391999999999996,10.932121272908676,-0.10844999999999949,0.1407728699999998,0.5476499999999991,3.4965639386109055
62987482,1740417367923657984,320.0105,8.354358,17.4267,17.33078,17.64105,4.148068,DA,0.968174,23155.43,7.792572,20.72111,-0.3102699999999991,16.2811,0.0192,16.7425,0.0146,-0.46140000000000114,10.515929336201587,-0.38175000000000026,0.09874116000000163,-0.07965000000000089,-0.7836130100066802
111936624,6655745926228714752,279.4426,-50.03817,18.15734,18.13638,18.32076,3.774009,DA:,0.3130158,21443.85,8.491529,20.71576,-0.1843800000000008,17.8972,0.0559,17.8831,0.0381,0.014100000000002666,11.041354657530462,-0.14999999999999858,0.15092868000000642,0.16410000000000124,0.9921633603009701
69945421,2465756706207578624,28.55796,-9.221212,17.23445,17.12309,17.45284,4.137324,DA,0.996,25680.85,7.926636,20.71141,-0.3297499999999971,15.9416,0.0191,16.3711,0.0149,-0.4294999999999991,10.318047662372571,-0.38175000000000026,0.09874116000000163,-0.04774999999999885,-0.46966019073911786
57387167,854598745583696512,157.1795,56.4147,18.63244,18.61486,18.76342,3.373866,DA,0.9900272,17113.41,8.001534,20.70719,-0.1485599999999998,18.5543,0.0969,18.5179,0.0559,0.03640000000000043,11.273079148502882,-0.10844999999999949,0.1407728699999998,0.14484999999999992,0.8055752294189027
89019843,4433072038123860480,245.5788,2.775798,18.00386,17.97289,18.14562,3.650613,DA,0.9565283,-9999.0,-9999.0,20.68863,-0.1727300000000013,17.5249,0.0531,17.5343,0.0371,-0.009400000000002962,10.815688980041978,-0.14999999999999858,0.15092868000000642,0.14059999999999562,0.856053048491858
98542966,5501583420886651520,99.56384,-52.3723,17.72549,17.66753,17.82037,4.369212,DA,0.9902061,-9999.0,-9999.0,20.6846,-0.1528400000000012,17.3112,0.0509,17.4175,0.0383,-0.10630000000000095,10.927505588844749,-0.14999999999999858,0.15092868000000642,0.04369999999999763,0.26675533082893044
80356531,3913970097316387200,170.9765,8.447271,18.20389,18.20352,18.3614,4.858938,DA,0.9823353,13673.4,8.587755,20.67815,-0.1578799999999987,17.9576,0.0548,18.0829,0.0385,-0.1252999999999993,11.636596787525708,-0.14999999999999858,0.15092868000000642,0.024699999999999278,0.14958778862463917
109623112,6337294377769035776,224.1524,-4.963333,18.7584,18.63456,18.79822,3.133604,DB,0.004339457,-9999.0,-9999.0,20.60877,-0.1636600000000001,18.4901,0.0721,18.5639,0.0473,-0.07379999999999853,11.238620564553816,-0.14999999999999858,0.15092868000000642,0.07620000000000005,0.4383716659317703
92572845,4770156292877742208,80.85018,-53.60303,18.23679,18.17741,18.42042,3.297191,DA,1.0,-9999.0,-9999.0,20.58869,-0.2430100000000017,17.883,0.0986,18.0394,0.0587,-0.15640000000000143,10.827510528623593,-0.2311999999999994,0.13321161000000292,0.07479999999999798,0.4254329665193897
93176996,4862042960646459392,55.42148,-33.91531,17.75879,17.74277,17.86388,4.051432,DA,0.9941013,17100.96,8.243298,20.5816,-0.1211100000000016,17.8652,0.0646,17.7807,0.0412,0.08450000000000202,10.79683277011841,-0.10844999999999949,0.1407728699999998,0.1929500000000015,1.2038794747314066
71686934,2801953101027001216,13.53271,21.63371,18.48738,18.45703,18.67027,4.061999,DA,0.9762523,17700.77,8.134598,20.57803,-0.2132399999999989,18.3048,0.0443,18.428,0.0263,-0.12320000000000064,11.531079060761796,-0.2311999999999994,0.13321161000000292,0.10799999999999876,0.7561602704465754
79445926,3733855386719140224,192.8425,8.353991,17.15584,17.08745,17.28915,5.676906,DA,0.9841014,19795.28,7.931491,20.57719,-0.2016999999999988,16.5324,0.0424,16.7716,0.0198,-0.2392000000000003,10.926398515499724,-0.2311999999999994,0.13321161000000292,-0.008000000000000895,-0.056660501984250294
69194393,2293219310057971840,285.7209,78.19844,17.5855,17.57172,17.71253,5.531928,DA,0.95257,17031.46,8.337423,20.57557,-0.1408100000000018,17.4925,0.0407,17.5772,0.022,-0.08470000000000155,11.299882594888654,-0.10844999999999949,0.1407728699999998,0.02374999999999794,0.16027738864001423
68789178,2225077802778333312,336.6693,67.45587,17.21505,17.13976,17.40718,6.751442,DA,0.9802886,22387.33,8.203506,20.57459,-0.2674200000000013,16.2302,0.0261,16.5706,0.0247,-0.3403999999999989,11.362032705458363,-0.30079999999999885,0.12424188000000014,-0.03960000000000008,-0.30618342871933396
68702519,2212827795840664704,341.2155,66.81072,18.02313,17.96071,18.13032,3.547594,DA,0.9503263,23750.68,7.843484,20.53943,-0.1696100000000022,17.4704,0.0696,17.8779,0.032,-0.40749999999999886,10.772799558548112,-0.14999999999999858,0.15092868000000642,-0.2575000000000003,-1.5213632136602473
114563905,6887340767670473856,311.8262,-14.19304,17.70366,17.65618,17.80865,5.173261,DB,0.0,-9999.0,-9999.0,20.53797,-0.152470000000001,18.0604,0.0572,17.5962,0.0294,0.4642000000000017,11.272481949362593,-0.14999999999999858,0.15092868000000642,0.6142000000000003,3.7437534787026485
57607296,882461882060471680,117.8725,34.02454,18.19309,18.12742,18.42779,3.011186,DA,0.9620255,23988.9,7.940584,20.53132,-0.3003700000000009,17.1279,0.0458,17.4875,0.0263,-0.35960000000000036,10.586777912865596,-0.38175000000000026,0.09874116000000163,0.022149999999999892,0.197806126820578
63499056,1803778752699746176,306.3694,12.7173,17.7467,17.6729,17.94744,4.316369,DA,1.0,-9999.0,-9999.0,20.53106,-0.2745400000000018,16.951,0.0307,17.3124,0.0185,-0.3613999999999997,10.922292823953416,-0.30079999999999885,0.12424188000000014,-0.060600000000000875,-0.46864533265051034
75966514,3232876893640834688,70.94377,2.817264,18.24384,18.20193,18.35799,3.055458,DA,0.9840691,21793.13,8.006748,20.52439,-0.1560600000000001,18.0017,0.0567,18.1125,0.0602,-0.11080000000000112,10.669221591656079,-0.14999999999999858,0.15092868000000642,0.03919999999999746,0.2277746017955124
80208251,3885451269657291904,161.5637,15.26034,18.29012,18.23249,18.41981,3.429321,DA,1.0,18351.49,7.884645,20.49459,-0.1873199999999997,17.8954,0.0721,18.0047,0.0267,-0.10930000000000106,10.966160694755025,-0.14999999999999858,0.15092868000000642,0.040699999999997516,0.24028315964462232
63294348,1777847050131304960,333.8053,18.90566,17.52166,17.46041,17.61511,5.273021,DB,0.0001908811,-9999.0,-9999.0,20.48285,-0.1547000000000018,17.8936,0.0496,17.3958,0.028,0.497799999999998,11.13195750464325,-0.14999999999999858,0.15092868000000642,0.6477999999999966,4.015660933065051
59168963,1108570336575480704,113.2133,69.1595,16.83916,16.81447,16.93681,8.842378,DA,0.5591189,15860.73,8.089422,20.47919,-0.1223400000000012,16.8856,0.0294,16.8915,0.0193,-0.00590000000000046,11.572005382415679,-0.10844999999999949,0.1407728699999998,0.10254999999999903,0.7067566327121796
62917920,1732008062477678976,316.5292,3.550116,17.37151,17.36923,17.50081,8.801116,DA,0.9800545,15507.89,8.460603,20.44339,-0.1315799999999996,17.0579,0.0424,17.2807,0.0318,-0.22279999999999944,12.09419872547343,-0.10844999999999949,0.1407728699999998,-0.11434999999999995,-0.7602077078166313
63343033,1784638900959979008,319.0732,16.44148,18.24296,18.16207,18.48248,3.17105,DA,0.996,22382.86,7.853719,20.42406,-0.320409999999999,17.2769,0.0708,17.7321,0.04,-0.45519999999999783,10.748975449417845,-0.38175000000000026,0.09874116000000163,-0.07344999999999757,-0.5742057607609968
93307679,4883191104733786496,60.90041,-33.17599,17.89544,17.83002,18.04163,7.540118,DC:,0.2533288,-9999.0,-9999.0,20.42113,-0.2116100000000003,18.7701,0.0894,17.584,0.0335,1.1860999999999997,12.282330712338172,-0.2311999999999994,0.13321161000000292,1.4172999999999991,8.647871812801991
111208893,6554199327253488256,343.9964,-35.76024,17.19705,17.13718,17.35653,5.982404,DA,1.0,-9999.0,-9999.0,20.411,-0.2193499999999986,16.7524,0.0264,16.9237,0.0193,-0.17129999999999868,11.081428690957438,-0.2311999999999994,0.13321161000000292,0.05990000000000073,0.43669399007819265
86411196,4217625620879509632,306.5075,-7.077268,17.41019,17.35024,17.5894,4.768929,DB,0.01856219,-9999.0,-9999.0,20.40947,-0.2391600000000018,17.1189,0.0427,17.0715,0.0261,0.047399999999999665,10.802294283444498,-0.2311999999999994,0.13321161000000292,0.27859999999999907,1.9578093069121152
63305656,1779535174141746560,330.8784,18.88055,17.88708,17.81787,18.0164,4.462495,DA,0.988174,16802.69,7.968187,20.40944,-0.1985300000000016,17.7667,0.0411,17.8836,0.0287,-0.11690000000000111,11.134968712577578,-0.14999999999999858,0.15092868000000642,0.033099999999997465,0.20812931796761672
