# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.9 on 2026-07-14 at 09:29:25
#
# Requested input R.A. = 332.39126 degrees
# Requested input Dec. = -14.8699 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2461235.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 341 15 3 ZTF_r 514442915915 0 3.4703 227.678 15.7486 26.105 1.9009e-05 0.0448778 0.0872385 3.44514e-05 618 30. 0.075076 0.077378 18.8132 26.105 1 2458268.9429167 341120259 1 12.0215056764552 88.4236928606568 0.151232460638886 1.02613850422942 87.2902661034434 128.501235677569 0.6838702414379 1.05095210668812 null null null null null 2458276.977755 2458443.640856 57
 1 341 15 3 ZTF_r 517438625915 0 3.2496 225.644 15.5407 26.0863 1.65176e-05 0.0429877 0.0894604 2.90817e-05 653 30. 0.07778 0.083129 18.8805 26.0863 1 2458271.9386227 341120259 1 80.1346604372627 88.3283097170083 1.00919544667585 0.953786065516323 1.09798402559557 132.79654634479 0.0083238536061803 1.05038146287513 null null null null null 2458276.977755 2458443.640856 57
 2 341 15 3 ZTF_g 517480795915 0 2.8944 135.611 18.0803 26.1932 2.40516e-05 0.0399664 -0.0828223 6.1244e-05 416 30. 0.064848 0.068836 18.9064 26.1932 1 2458271.9807986 341120159 1 -160.290441509535 105.245731095457 -1.69417370531015 0.94302388477281 -437.758654232782 165.041459548534 -2.67028045656519 1.05789815935152 null null null null null 2458279.972187 2458430.648079 57
 3 341 15 3 ZTF_r 522477755915 0 2.1331 244.098 9.55066 26.1596 5.6101e-06 0.0264103 0.104604 9.69239e-06 723 30. 0.048728 0.052954 19.9072 26.1596 1 2458276.9777546 341120259 1 18.5477824301096 40.0324353062606 0.515388570833147 0.981029483022447 78.1476456158569 74.0549957884558 1.06237227708494 1.03920423286241 null null null null null 2458276.977755 2458443.640856 57
 4 341 15 3 ZTF_g 525472185915 0 2.4081 144.053 6.89369 26.215 1.01972e-05 0.0348107 -0.0493006 1.89127e-05 688 30. 0.055959 0.066626 20.1716 26.215 1 2458279.9721875 341120159 1 -3.22013840977071 36.7058120795766 -0.0975875698956384 0.95167168450272 91.365143585401 62.4364925128293 1.47318482160467 1.0612313825867 null null null null null 2458279.972187 2458430.648079 57
 5 341 15 3 ZTF_g 528419355915 0 2.3827 109.167 4.65527 25.935 1.08659e-05 0.0367887 -0.0636663 1.90427e-05 717 30. 0.059295 0.065647 20.2961 25.935 1 2458282.9193519 341120159 1 -3.36376676444311 21.8877249662834 -0.170954309604455 1.01702627045578 47.551058865974 38.0842525172037 1.25698457549239 1.05094237971386 null null null null null 2458279.972187 2458430.648079 57
 6 341 15 3 ZTF_g 531439255915 0 2.3032 138.127 4.25579 26.1923 8.5663e-06 0.0326492 -0.0946932 1.47626e-05 720 30. 0.055201 0.064065 20.6909 26.1923 1 2458285.9392593 341120159 1 0.0748669080284044 21.783974841756 0.00382302881714949 0.905203644257536 13.5790633592965 39.1112904017904 0.349528716435952 1.03799555743526 null null null null null 2458279.972187 2458430.648079 57
 7 341 15 3 ZTF_g 534418225915 0 3.9532 137.957 5.17866 26.1924 1.54627e-05 0.0410672 -0.0557669 3.23574e-05 635 30. 0.071462 0.070109 19.9971 26.1924 1 2458288.9182292 341120159 1 -53.2806856695161 37.8071526338913 -1.56765551849891 1.04433057646515 -74.2274371192317 48.0677687015857 -1.5546251718656 1.16488201809004 null null null null null 2458279.972187 2458430.648079 57
 8 341 15 3 ZTF_r 534459755915 0 2.6553 246.498 6.19639 26.1657 5.4136e-06 0.0256148 0.115787 9.43463e-06 715 30. 0.051962 0.055272 20.1775 26.1657 1 2458288.9597569 341120259 1 -9.65709464336008 30.7107392338543 -0.349792922814941 1.03373705133977 51.8516622325082 48.6173437543587 1.07370913607852 1.07700412929609 null null null null null 2458276.977755 2458443.640856 57
