sdss_id,gaia_dr3,snowwhite_class,group,plx_ok,G,bp_rp,M_G,snr_cat,z_cat,template,v_kms,noise_scale,z_lines,z_abs,z_fake,ew_A,z_visits,visit_mjds,n3,nneg,ratio
63203321,1764314497240770176,DA,H,True,18.41,-0.43,10.03,5.3,15.15,n150,0.0,1.0,8.4/11.1/6.2,1.64,5.82,22.22,11.3/10.2,60467/60468,3,0,2.6030927835051547
56632357,710947968027922176,DA,H,True,17.32,0.842,14.32,46.4,10.55,n150,60.0,1.03,5.6/7.6/4.8,0.43,3.37,1.97,,59199,3,0,3.1305637982195846
109524105,6319857321648617984,DA,H,True,18.01,-0.17,8.66,19.2,13.53,n150,60.0,1.0,6.9/9.9/6.2,-0.21,3.86,6.26,4.3/16.7,60493/60494,3,0,3.505181347150259
87586203,4290244726057323136,DA,H,True,18.87,0.302,12.33,8.9,11.85,n150,-160.0,1.3,0.8/4.4/24.2,-1.62,4.58,29.64,4.9/12.0,59821/59840,2,0,2.5873362445414845
68390952,2183058449796474240,DA,H,True,19.12,0.729,13.07,6.3,10.77,n150,0.0,1.0,6.2/7.1/5.2,3.2,3.89,17.75,2.9/10.5,60231/60608,3,0,2.768637532133676
56914137,765404128955927424,DA,H,True,16.38,0.108,12.1,65.3,11.4,dp350,-300.0,1.0,4.4/4.0/11.9,0.57,4.48,1.69,3.3/12.5/4.3,59358/59362/60658,3,0,2.5446428571428568
75769364,3206369871613007104,DA,H,True,19.61,0.676,13.56,11.7,13.94,n150,80.0,1.39,5.6/10.7/7.8,3.87,2.82,13.17,13.2/9.2/7.2/4.3,59931/59933/59934/59935,3,0,3.602067183462532
56033526,620954483186339072,DA:,H,True,18.99,0.848,14.24,14.5,10.64,n150,80.0,1.0,3.4/9.0/5.7,-0.4,2.93,7.95,,60647,3,0,3.631399317406143
75938366,3229081173343283968,DA,H,True,19.68,-0.323,10.19,2.3,11.2,n60,400.0,1.0,1.2/3.2/25.6,2.43,3.62,88.06,,60234,2,0,3.0939226519337013
70254122,2527617665632689024,DA,H,True,18.91,-0.116,10.93,12.9,43.09,n150,-40.0,1.11,24.6/30.7/17.7,-1.28,3.99,29.94,32.3/17.0/14.4/27.5,59905/60225/60285/60530,3,0,10.799498746867169
67596813,2119384322683985024,DA,H,True,19.38,-0.248,9.17,3.8,10.54,n60,160.0,1.0,3.2/13.5/3.1,2.09,2.88,33.77,,60449,3,0,3.659722222222222
58212966,958453288184344960,DA,H,True,17.76,-0.137,10.84,56.5,22.33,dp250,0.0,1.07,17.2/12.8/8.8,-6.34,7.34,4.59,1.5/10.8/9.1/6.2/10.9/6.4/2.8/11.7/9.0,59242/59245/59266/59267/59268/59269/59270/59271/59294,3,0,3.042234332425068
79009083,3658759940837042560,DA,H,True,18.88,0.338,12.66,6.0,10.35,dp500,200.0,1.0,5.8/4.8/10.3,-0.76,3.98,37.8,,60466,3,0,2.600502512562814
92521129,4763181953183611520,DA,H,True,17.32,0.837,14.22,29.7,13.2,n150,80.0,1.67,5.3/7.5/10.4,-0.15,5.02,5.41,16.9/24.4/4.4,60286/60287/60335,3,0,2.6294820717131473
64867364,1941572921445210496,DA/DZ,H,True,18.42,1.098,13.31,17.8,10.88,n60,60.0,1.18,4.3/9.7/3.8,3.37,3.71,4.56,3.7/14.7,60581/60582,3,0,2.9326145552560647
79952654,3834895969825628800,DA,H,True,16.7,-0.148,9.07,21.9,18.62,n150,200.0,1.01,7.0/14.0/11.2,1.1,5.55,6.75,,59699,3,0,3.3549549549549553
71012808,2678454756699580032,DA/DC,H,True,17.49,1.885,8.96,44.9,20.74,n150,40.0,1.0,4.8/20.0/10.2,-0.39,3.42,2.93,7.9/20.6,60221/60612,3,0,6.064327485380117
71362037,2737135481820090240,DAO/DC,H,True,18.25,1.864,10.13,19.6,11.65,n60,40.0,1.0,4.4/9.2/6.4,4.46,2.17,0.67,,60492,3,0,2.6121076233183858
107259041,6059535750389657984,DA/DC,H,True,17.47,1.897,8.61,56.6,19.05,n60,100.0,1.0,7.4/14.3/11.2,1.71,4.66,1.57,4.6/5.0/19.8,60694/60695/60696,3,0,4.087982832618025
79590252,3762912386664639744,DAO/DA,H,True,15.61,1.872,8.62,47.9,11.77,n150,-20.0,1.0,4.7/9.9/5.5,0.96,1.63,1.44,,60680,3,0,7.220858895705522
58640149,1017130547266933632,DA/DC,H,True,19.55,0.946,14.31,36.2,13.69,n150,20.0,1.24,5.4/11.6/6.0,1.41,3.36,3.21,-9.7/15.9/15.2/-3.1/-3.1/1.5/2.9/-2.3/6.6/2.1/8.7/2.4/-0.9/5.5/-5.7,59232/59252/59257/59281/59284/59312/59615/59637/59638/59872/59931/60316/60319/60591/60595,3,0,4.074404761904762
88912343,4419568351706950016,DAO:,H,True,18.02,1.841,8.55,33.6,14.95,n60,100.0,1.0,3.3/13.7/7.5,3.77,4.04,1.63,,60357,3,0,3.7004950495049505
76300833,3298009248050632064,DA,H,True,19.61,0.313,10.44,4.4,12.41,n150,-40.0,1.14,5.3/8.5/8.7,-1.08,2.28,29.94,,60617,3,0,5.442982456140351
111615571,6630341950587510528,DA,H,True,18.28,0.688,13.26,17.8,11.79,n150,40.0,1.02,6.1/7.5/6.9,-0.17,4.34,6.86,6.4/8.8,60090/60091,3,0,2.716589861751152
80031952,3849018195957191424,DA:,H,True,17.84,1.405,8.72,38.4,18.15,n60,-60.0,1.11,7.9/13.7/10.1,4.23,4.34,2.86,10.9/15.4,59671/60030,3,0,4.182027649769585
98530935,5500131034745717120,DA/DC,H,True,17.26,1.995,8.57,38.7,18.42,n150,-60.0,1.0,8.7/14.3/8.4,0.8,3.74,2.7,,60289,3,0,4.925133689839573
70289727,2534319124579003008,DA,H,True,19.85,0.745,13.7,17.7,12.46,n150,20.0,1.26,5.3/8.8/7.3,2.44,2.92,4.69,3.7/12.3/-0.6/-1.4/10.5/-2.5,59203/59222/60230/60283/60532/60533,3,0,4.267123287671233
111844813,6649477958333669248,DA/DC,H,True,16.31,1.867,10.38,38.7,18.77,n150,-20.0,1.0,5.6/16.4/10.0,1.71,3.51,3.03,,60168,3,0,5.347578347578348
91801694,4678342025372057856,DAO/DA,H,True,17.28,1.998,8.56,42.9,25.28,n150,-20.0,1.04,7.7/20.6/15.0,-1.72,2.49,4.25,8.8/17.1/16.2,60315/60371/60397,3,0,10.152610441767068
68945571,2247282130863836800,DA:,H,True,18.11,1.51,10.14,22.5,15.69,n60,60.0,1.0,5.6/14.0/6.4,2.52,3.22,4.06,,60249,3,0,4.8726708074534155
57201193,820484511842780032,DA:,H,True,16.71,1.837,8.89,17.7,12.07,n150,80.0,1.0,4.4/11.0/5.2,4.66,3.1,2.38,,60063,3,0,2.5901287553648067
55011152,479973766540739968,DA/DC,H,True,17.71,1.918,8.78,30.5,13.73,n150,40.0,1.0,3.4/12.8/7.0,2.01,3.39,2.29,,59890,3,0,4.050147492625369
92932316,4821345091796910592,DA,H,True,18.85,-0.226,10.8,8.7,19.14,dp250,-140.0,1.0,10.9/10.1/12.9,-1.29,4.9,27.91,,60671,3,0,3.9061224489795916
74988302,3126919298834022528,DA,H,True,17.61,-0.043,10.12,46.1,18.7,n150,100.0,1.27,10.2/10.4/12.0,5.75,2.73,2.41,2.4/17.2/19.8,59209/59210/59219,3,0,3.252173913043478
63931575,1830622817995986432,DA,H,True,19.81,0.813,13.9,7.9,17.43,n150,80.0,1.17,7.3/12.3/10.6,-1.93,3.81,28.42,14.4/12.4,60575/60577,3,0,4.574803149606299
89636706,4499652140108783360,DA,H,True,18.82,-0.077,9.89,7.8,11.69,n60,20.0,1.0,7.0/9.0/3.0,3.04,2.66,4.97,,60117,2,0,3.845394736842105
56439370,680099824985004288,DAO/DAH,H,True,17.66,1.008,14.68,15.5,11.06,n150,120.0,2.23,2.9/7.3/10.2,0.89,4.05,23.47,3.8/3.0/-5.3,59203/59204/60372,2,0,2.7308641975308645
61262126,1430492287326093696,DA,H,True,18.2,0.864,14.28,18.8,11.81,n150,20.0,1.0,3.8/8.1/9.6,2.68,4.56,5.44,,60088,3,0,2.5899122807017547
116291844,254750556324356480,DA,H,True,18.82,0.667,13.1,13.4,12.37,n150,0.0,1.02,-0.3/16.9/4.3,4.13,2.63,3.7,,59238,2,0,2.9951573849878934
