obsTime_UTC,jd_tdb_mid,RA_deg,Dec_deg,sig_RA_arcsec,sig_Dec_arcsec,mag,band,frame_id,instrument,obscode
2006-05-02T08:34:12.556,2453857.857090,253.861466,-22.186202,0.161,0.103,24.46,CLEAR(HRC),J9FW91HPQ,ACS/HRC,250
2006-05-02T08:39:32.557,2453857.860793,253.861387,-22.186194,0.161,0.103,24.39,CLEAR(HRC),J9FW91HQQ,ACS/HRC,250
2006-05-02T08:44:52.556,2453857.864497,253.861323,-22.186188,0.161,0.103,24.31,CLEAR(HRC),J9FW91HRQ,ACS/HRC,250
2006-05-02T08:50:12.556,2453857.868201,253.861260,-22.186182,0.161,0.103,24.34,CLEAR(HRC),J9FW91HSQ,ACS/HRC,250
