sdss_id,snr,B,A,sHa,sHb,score,rec
98264702,17.741413116455078,5.0,0.03,1.5348837209302326,1.7674418604651163,1.6470633683372813,False
98264702,17.741413116455078,5.0,0.05,1.5348837209302326,1.8139534883720931,1.6685945222932184,False
98264702,17.741413116455078,5.0,0.08,1.744186046511628,2.0930232558139537,1.910660084320347,False
98264702,17.741413116455078,5.0,0.12,2.2790697674418605,2.558139534883721,2.4145762516125413,True
98264702,17.741413116455078,10.0,0.03,1.5348837209302326,1.6511627906976745,1.5919619618720773,False
98264702,17.741413116455078,10.0,0.05,1.5348837209302326,1.6511627906976745,1.5919619618720773,False
98264702,17.741413116455078,10.0,0.08,1.7674418604651163,1.7209302325581397,1.744031000860714,False
98264702,17.741413116455078,10.0,0.12,2.302325581395349,2.3488372093023258,2.3254651133719477,True
98264702,17.741413116455078,15.0,0.03,1.2093023255813955,1.558139534883721,1.3726841454301122,False
98264702,17.741413116455078,15.0,0.05,1.4651162790697674,1.558139534883721,1.5109121740261198,False
98264702,17.741413116455078,15.0,0.08,1.8372093023255816,1.6744186046511629,1.7539262916246328,False
98264702,17.741413116455078,15.0,0.12,2.3488372093023258,2.2325581395348837,2.2899597442030086,True
72161450,17.516456604003906,5.0,0.03,1.7608695652173914,1.0869565217391306,1.3834697892780279,False
72161450,17.516456604003906,5.0,0.05,1.7608695652173914,1.3695652173913044,1.5529409869292163,False
72161450,17.516456604003906,5.0,0.08,1.7608695652173914,1.8260869565217392,1.7931817936783723,False
72161450,17.516456604003906,5.0,0.12,2.2826086956521743,2.4130434782608696,2.34692011505825,True
72161450,17.516456604003906,10.0,0.03,1.7608695652173914,1.434782608695652,1.5894857748200792,False
72161450,17.516456604003906,10.0,0.05,1.7608695652173914,1.7173913043478264,1.738994559909572,False
72161450,17.516456604003906,10.0,0.08,1.7608695652173914,2.130434782608696,1.936857704989239,False
72161450,17.516456604003906,10.0,0.12,1.891304347826087,2.695652173913044,2.2579412474084846,True
72161450,17.516456604003906,15.0,0.03,1.7608695652173914,1.456521739130435,1.6014820640620013,False
72161450,17.516456604003906,15.0,0.05,1.7608695652173914,1.7173913043478264,1.738994559909572,False
72161450,17.516456604003906,15.0,0.08,1.7608695652173914,2.108695652173913,1.9269504394818466,False
72161450,17.516456604003906,15.0,0.12,2.239130434782609,2.6521739130434785,2.4369167665376135,True
57122839,15.756664276123047,5.0,0.03,1.488372093023256,1.7674418604651163,1.621915885968623,False
57122839,15.756664276123047,5.0,0.05,1.6976744186046513,1.7674418604651163,1.7322069255382395,False
57122839,15.756664276123047,5.0,0.08,2.046511627906977,1.8372093023255816,1.939038473086124,False
57122839,15.756664276123047,5.0,0.12,2.5116279069767447,2.2325581395348837,2.3679854997875083,True
57122839,15.756664276123047,10.0,0.03,1.2790697674418605,1.6976744186046513,1.4735820383665943,False
57122839,15.756664276123047,10.0,0.05,1.2790697674418605,1.6511627906976745,1.4532557953458598,False
57122839,15.756664276123047,10.0,0.08,1.2790697674418605,1.6046511627906979,1.4326411936057155,False
57122839,15.756664276123047,10.0,0.12,1.6511627906976745,1.5348837209302326,1.5919619618720773,False
57122839,15.756664276123047,15.0,0.03,1.488372093023256,2.116279069767442,1.7747706072873408,False
57122839,15.756664276123047,15.0,0.05,1.6976744186046513,2.3255813953488373,1.9869776151901237,False
57122839,15.756664276123047,15.0,0.08,2.046511627906977,2.674418604651163,2.339493272550566,True
57122839,15.756664276123047,15.0,0.12,2.558139534883721,3.1395348837209305,2.833966885338126,True
60247826,16.95954132080078,5.0,0.03,1.1764705882352942,1.196078431372549,1.186233997039543,False
60247826,16.95954132080078,5.0,0.05,1.1764705882352942,1.3137254901960786,1.2432052928743027,False
60247826,16.95954132080078,5.0,0.08,1.4313725490196079,1.647058823529412,1.5354330941530898,False
60247826,16.95954132080078,5.0,0.12,1.843137254901961,2.1764705882352944,2.002881430683019,True
60247826,16.95954132080078,10.0,0.03,1.4901960784313726,1.5882352941176472,1.5384349212496495,False
60247826,16.95954132080078,10.0,0.05,1.7254901960784317,1.5882352941176472,1.6554408564082694,False
60247826,16.95954132080078,10.0,0.08,2.0980392156862746,1.5882352941176472,1.8254259587274002,False
60247826,16.95954132080078,10.0,0.12,2.6274509803921573,2.0980392156862746,2.347870352927541,True
60247826,16.95954132080078,15.0,0.03,1.1568627450980393,1.5882352941176472,1.3554963084474017,False
60247826,16.95954132080078,15.0,0.05,1.1568627450980393,1.5882352941176472,1.3554963084474017,False
60247826,16.95954132080078,15.0,0.08,1.2941176470588236,1.7254901960784317,1.494318343784914,False
60247826,16.95954132080078,15.0,0.12,1.6666666666666667,2.2549019607843137,1.938599993459332,False
89702432,14.390359878540039,5.0,0.03,1.0952380952380953,0.7777777777777779,0.9229582069908974,False
89702432,14.390359878540039,5.0,0.05,1.0952380952380953,0.8888888888888888,0.9866838265346066,False
89702432,14.390359878540039,5.0,0.08,1.0952380952380953,1.0793650793650793,1.0872726215583308,False
89702432,14.390359878540039,5.0,0.12,1.2222222222222223,1.3492063492063493,1.284145623503548,False
89702432,14.390359878540039,10.0,0.03,0.9682539682539683,0.6825396825396826,0.8129401922096431,False
89702432,14.390359878540039,10.0,0.05,1.0476190476190477,0.7301587301587301,0.8746017342194229,False
89702432,14.390359878540039,10.0,0.08,1.126984126984127,0.9841269841269842,1.0531360263744998,False
89702432,14.390359878540039,10.0,0.12,1.3174603174603177,1.3174603174603177,1.3174603174603177,False
89702432,14.390359878540039,15.0,0.03,0.9365079365079366,0.9047619047619048,0.9204980741205067,False
89702432,14.390359878540039,15.0,0.05,0.9365079365079366,1.0476190476190477,0.9905067150363617,False
89702432,14.390359878540039,15.0,0.08,0.9365079365079366,1.2698412698412698,1.0905120023693757,False
89702432,14.390359878540039,15.0,0.12,1.0793650793650793,1.5873015873015874,1.3089224208310035,False
90424040,24.334211349487305,5.0,0.03,1.34,1.98,1.6288646352597873,False
90424040,24.334211349487305,5.0,0.05,1.34,2.3,1.7555625878902752,False
90424040,24.334211349487305,5.0,0.08,1.3599999999999999,2.7800000000000002,1.9444279364378614,False
90424040,24.334211349487305,5.0,0.12,2.04,3.4,2.6336286754210434,True
90424040,24.334211349487305,10.0,0.03,1.34,1.3199999999999998,1.3299624054837038,False
90424040,24.334211349487305,10.0,0.05,1.52,1.28,1.3948476619330155,False
90424040,24.334211349487305,10.0,0.08,1.98,1.56,1.757498221905217,False
90424040,24.334211349487305,10.0,0.12,2.56,2.12,2.329635164569766,True
90424040,24.334211349487305,15.0,0.03,1.2,1.52,1.3505554412907306,False
90424040,24.334211349487305,15.0,0.05,1.22,1.52,1.3617635624439361,False
90424040,24.334211349487305,15.0,0.08,1.7,1.8800000000000001,1.7877359984069237,False
90424040,24.334211349487305,15.0,0.12,2.34,2.42,2.379663841806233,True
116957813,14.370465278625488,5.0,0.03,1.282608695652174,1.173913043478261,1.2270578949278335,False
116957813,14.370465278625488,5.0,0.05,1.5217391304347827,1.173913043478261,1.3365587955599476,False
116957813,14.370465278625488,5.0,0.08,1.847826086956522,1.3043478260869565,1.5524844409875762,False
116957813,14.370465278625488,5.0,0.12,2.3043478260869565,1.7608695652173914,2.0143624188887608,True
116957813,14.370465278625488,10.0,0.03,1.065217391304348,1.173913043478261,1.118245317357538,False
116957813,14.370465278625488,10.0,0.05,1.0869565217391306,1.3260869565217392,1.200582719259485,False
116957813,14.370465278625488,10.0,0.08,1.3695652173913044,1.6521739130434783,1.5042472949570604,False
116957813,14.370465278625488,10.0,0.12,1.891304347826087,2.108695652173913,1.9970441295070291,False
116957813,14.370465278625488,15.0,0.03,1.065217391304348,1.173913043478261,1.118245317357538,False
116957813,14.370465278625488,15.0,0.05,1.2391304347826089,1.2608695652173914,1.2499527401273958,False
116957813,14.370465278625488,15.0,0.08,1.5217391304347827,1.6521739130434783,1.5856158720704756,False
116957813,14.370465278625488,15.0,0.12,2.0217391304347827,2.065217391304348,2.043362623925191,True
71073743,12.324935913085938,5.0,0.03,1.3269230769230769,1.1538461538461537,1.237362149395801,False
71073743,12.324935913085938,5.0,0.05,1.2692307692307692,1.2884615384615385,1.2788100052727922,False
71073743,12.324935913085938,5.0,0.08,1.5,1.5,1.5,False
71073743,12.324935913085938,5.0,0.12,1.923076923076923,1.7884615384615385,1.854548223267876,False
71073743,12.324935913085938,10.0,0.03,1.346153846153846,1.0769230769230769,1.2040366032691174,False
71073743,12.324935913085938,10.0,0.05,1.2692307692307692,1.0769230769230769,1.1691295502746664,False
71073743,12.324935913085938,10.0,0.08,1.173076923076923,1.2884615384615385,1.2294163237249698,False
71073743,12.324935913085938,10.0,0.12,1.4038461538461537,1.5961538461538463,1.4969149734937595,False
71073743,12.324935913085938,15.0,0.03,1.346153846153846,1.25,1.297186304156927,False
71073743,12.324935913085938,15.0,0.05,1.2692307692307692,1.3846153846153846,1.3256683030472374,False
71073743,12.324935913085938,15.0,0.08,1.173076923076923,1.5769230769230766,1.3600926700066862,False
71073743,12.324935913085938,15.0,0.12,1.3846153846153846,1.846153846153846,1.598816130063579,False
109945402,15.79566764831543,5.0,0.03,0.9655172413793103,1.0344827586206897,0.9994052928406509,False
109945402,15.79566764831543,5.0,0.05,0.9655172413793103,1.0344827586206897,0.9994052928406509,False
109945402,15.79566764831543,5.0,0.08,0.9655172413793103,1.3103448275862069,1.1247935469172476,False
109945402,15.79566764831543,5.0,0.12,1.3275862068965518,1.7758620689655173,1.5354510699170436,False
109945402,15.79566764831543,10.0,0.03,1.0,0.896551724137931,0.9468641529479986,False
109945402,15.79566764831543,10.0,0.05,1.017241379310345,1.120689655172414,1.067713393475244,False
109945402,15.79566764831543,10.0,0.08,1.2758620689655173,1.5,1.3833991121322422,False
109945402,15.79566764831543,10.0,0.12,1.6379310344827587,1.9482758620689657,1.7863766395182203,False
109945402,15.79566764831543,15.0,0.03,1.0,1.0517241379310345,1.025536024687107,False
109945402,15.79566764831543,15.0,0.05,1.0,1.2241379310344827,1.106407669457548,False
109945402,15.79566764831543,15.0,0.08,1.0,1.517241379310345,1.2317635241028795,False
109945402,15.79566764831543,15.0,0.12,1.206896551724138,1.9137931034482758,1.5197862669682076,False
73795394,13.745030403137207,5.0,0.03,1.4583333333333335,0.9791666666666667,1.194969199974999,False
73795394,13.745030403137207,5.0,0.05,1.4583333333333335,1.0625,1.244780770524138,False
73795394,13.745030403137207,5.0,0.08,1.4583333333333335,1.2291666666666667,1.3388557510883026,False
73795394,13.745030403137207,5.0,0.12,1.4583333333333335,1.625,1.5394127668259305,False
73795394,13.745030403137207,10.0,0.03,1.7083333333333333,0.9791666666666667,1.2933456829307297,False
73795394,13.745030403137207,10.0,0.05,1.8541666666666667,1.1041666666666667,1.430842069474398,False
73795394,13.745030403137207,10.0,0.08,2.1041666666666665,1.4583333333333335,1.751735250798159,False
73795394,13.745030403137207,10.0,0.12,2.4375,1.9166666666666665,2.161452058223823,True
73795394,13.745030403137207,15.0,0.03,1.4583333333333335,1.0,1.20761472884912,False
73795394,13.745030403137207,15.0,0.05,1.4583333333333335,1.1666666666666667,1.3043729868748775,False
73795394,13.745030403137207,15.0,0.08,1.4583333333333335,1.4583333333333335,1.4583333333333335,False
73795394,13.745030403137207,15.0,0.12,1.4583333333333335,1.875,1.6535945694153693,False
76253071,24.292238235473633,5.0,0.03,1.0,0.7419354838709676,0.8613567692141089,False
76253071,24.292238235473633,5.0,0.05,1.2419354838709677,0.9354838709677419,1.0778731901034595,False
76253071,24.292238235473633,5.0,0.08,1.6129032258064515,1.3064516129032258,1.4516129032258063,False
76253071,24.292238235473633,5.0,0.12,2.129032258064516,1.8548387096774193,1.9872119782272823,False
76253071,24.292238235473633,10.0,0.03,0.7258064516129032,0.9354838709677419,0.824002566093213,False
76253071,24.292238235473633,10.0,0.05,0.9032258064516128,1.2096774193548387,1.0452807578077195,False
76253071,24.292238235473633,10.0,0.08,1.3064516129032258,1.6129032258064515,1.4516129032258063,False
76253071,24.292238235473633,10.0,0.12,1.8548387096774193,2.032258064516129,1.941522836877956,False
76253071,24.292238235473633,15.0,0.03,0.8548387096774193,0.9838709677419354,0.9170883210212579,False
76253071,24.292238235473633,15.0,0.05,1.096774193548387,1.2580645161290323,1.174654287486008,False
76253071,24.292238235473633,15.0,0.08,1.4516129032258065,1.6774193548387097,1.560436983541655,False
76253071,24.292238235473633,15.0,0.12,1.9354838709677418,2.2419354838709675,2.083081843995218,True
57470422,13.304271697998047,5.0,0.03,0.9062499999999999,1.015625,0.9593800895630469,False
57470422,13.304271697998047,5.0,0.05,0.9062499999999999,1.015625,0.9593800895630469,False
57470422,13.304271697998047,5.0,0.08,0.9062499999999999,1.1093749999999998,1.0026819504459028,False
57470422,13.304271697998047,5.0,0.12,1.015625,1.4374999999999998,1.2082884330738253,False
57470422,13.304271697998047,10.0,0.03,0.9062499999999999,1.09375,0.9955957701296244,False
57470422,13.304271697998047,10.0,0.05,0.9062499999999999,1.25,1.0643366478704,False
57470422,13.304271697998047,10.0,0.08,0.9062499999999999,1.4999999999999998,1.1659223816361017,False
57470422,13.304271697998047,10.0,0.12,1.078125,1.8124999999999998,1.397891827896565,False
57470422,13.304271697998047,15.0,0.03,0.9062499999999999,1.015625,0.9593800895630469,False
57470422,13.304271697998047,15.0,0.05,0.9062499999999999,1.015625,0.9593800895630469,False
57470422,13.304271697998047,15.0,0.08,1.09375,1.21875,1.154559575119448,False
57470422,13.304271697998047,15.0,0.12,1.328125,1.546875,1.4333329548206863,False
59478697,57.37257766723633,5.0,0.03,1.8596491228070173,1.8596491228070173,1.8596491228070173,False
59478697,57.37257766723633,5.0,0.05,2.43859649122807,2.526315789473684,2.4820686573792834,True
59478697,57.37257766723633,5.0,0.08,3.4210526315789473,3.578947368421052,3.4991095028620336,True
59478697,57.37257766723633,5.0,0.12,4.87719298245614,5.0,4.938214749510262,True
59478697,57.37257766723633,10.0,0.03,2.31578947368421,1.1052631578947367,1.5998614898495434,False
59478697,57.37257766723633,10.0,0.05,2.982456140350877,1.719298245614035,2.2644495158263234,True
59478697,57.37257766723633,10.0,0.08,4.0,2.719298245614035,3.2980589719494313,True
59478697,57.37257766723633,10.0,0.12,5.350877192982456,4.12280701754386,4.696874922886861,True
59478697,57.37257766723633,15.0,0.03,1.8421052631578947,1.2105263157894737,1.4932906272748534,False
59478697,57.37257766723633,15.0,0.05,2.3859649122807016,1.8947368421052633,2.126211565970964,True
59478697,57.37257766723633,15.0,0.08,3.280701754385965,2.964912280701754,3.118812742198341,True
59478697,57.37257766723633,15.0,0.12,4.666666666666667,4.4035087719298245,4.5331785319286935,True
94651888,18.042694091796875,5.0,0.03,1.3148148148148147,0.8888888888888888,1.0810755199501054,False
94651888,18.042694091796875,5.0,0.05,1.5185185185185184,0.8888888888888888,1.1618064549154163,False
94651888,18.042694091796875,5.0,0.08,1.8148148148148149,1.0555555555555556,1.3840656993373923,False
94651888,18.042694091796875,5.0,0.12,2.222222222222222,1.537037037037037,1.8481444370184663,False
94651888,18.042694091796875,10.0,0.03,1.1481481481481481,1.0555555555555556,1.1008788109408778,False
94651888,18.042694091796875,10.0,0.05,1.3518518518518516,1.3148148148148147,1.3332047263078752,False
94651888,18.042694091796875,10.0,0.08,1.6481481481481481,1.6666666666666665,1.657381543352922,False
94651888,18.042694091796875,10.0,0.12,2.0555555555555554,2.1666666666666665,2.1103799903580645,True
94651888,18.042694091796875,15.0,0.03,1.3148148148148147,1.037037037037037,1.1676950200321812,False
