source_id,nss_solution_type,P_d,e,significance,ra,dec,l,b,a_phot_mas,parallax,G,bp_rp,ruwe,aen_sig,rv_amplitude_robust,rv_chisq_pvalue,rv_nb_transits,Teff,logg,M1_msun,fM_msun,M2_msun,in_sb2,cbias_risk,filter31,class,filter32,sini_implied,K_pred_i90
6773505034607787904,AstroSpectroSB1,640.834090929421,0.2313036562187832,303.8406982421875,314.5953929072014,-40.993654869488495,0.8258260240215186,-40.727063397484166,8.5347,7.0279942188547935,7.602612495422363,0.5146665573120117,19.64702796936035,12807.84375,31.234018325805664,0.0,22.0,6792.1298828125,3.9658000469207764,1.761,0.5818,2.0295,false,false,PASS,dormant_NS_candidate,FAIL,1.474,21.19
2362914573298241024,AstroSpectroSB1,605.0618212328716,0.28883441566158785,240.6261444091797,10.275420825640602,-19.67188747302502,104.7596304006862,-82.17638540521475,2.8898,2.68806040128635,11.967987060546875,0.8686790466308594,11.132627487182617,2931.50048828125,32.3065185546875,0.0,32.0,5810.25537109375,3.6263999938964844,1.022,0.4527,1.3753,false,false,PASS,dormant_NS_candidate,FAIL,1.6,20.19
247969700615202816,AstroSpectroSB1,747.5390204353558,0.18771948055947327,239.9351806640625,54.98245997262129,47.053619056347415,150.32403274166705,-6.659336762346512,4.8397,3.6280051155783255,11.658720970153809,1.1425151824951172,15.67354965209961,7122.5927734375,22.750064849853516,0.0,20.0,5268.61962890625,3.602099895477295,0.955,0.5667,1.5101,false,false,PASS,dormant_NS_candidate,FAIL,1.151,19.77
6511135584257748608,AstroSpectroSB1,762.9059647264496,0.15795241535856433,239.8817596435547,334.6555943249703,-52.02856597806997,341.2719185415754,-52.16289167021833,3.6659,2.6005444919339964,12.605457305908203,0.9193544387817383,16.670433044433594,6348.8447265625,21.491901397705078,8.827308874970186e-7,28.0,5657.6669921875,3.7395999431610107,0.934,0.6421,1.6061,false,false,PASS,dormant_NS_candidate,FAIL,1.056,20.36
2845078975022673280,AstroSpectroSB1,821.2874532290882,0.27503596766773886,222.02957153320312,349.7774338411595,27.647919111594387,99.05573883964239,-30.907866735631533,4.4617,3.6995183484647995,10.998274803161621,0.7716293334960938,11.742074966430664,4943.83203125,26.882553100585938,0.0,23.0,6002.12548828125,4.281499862670898,1.144,0.3469,1.2616,false,false,PASS,dormant_NS_candidate,FAIL,1.618,16.62
1848742357301319296,AstroSpectroSB1,523.4963434584372,0.24661091975385746,197.49192810058594,323.4893957558285,27.625086197822352,78.07359817513905,-17.579880447769956,2.9805,3.0572985470645673,10.904570579528809,0.8728847503662109,8.612479209899902,1792.1834716796875,37.04267501831055,0.0,33.0,,,1.0,0.451,1.359,false,false,PASS,dormant_NS_candidate,FAIL,1.772,20.91
823243942431149568,AstroSpectroSB1,668.382759855513,0.20141843035368334,194.2306671142578,149.73741357014373,47.75978451371803,169.4917313899017,50.73872846065784,2.8074,2.28021804362791,9.533764839172363,0.616826057434082,10.84548568725586,4555.97900390625,27.160932540893555,0.0,36.0,6314.208984375,3.784600019454956,1.852,0.5573,2.0343,false,false,PASS,dormant_NS_candidate,FAIL,1.327,20.46
4938126175990976000,AstroSpectroSB1,881.0822002271378,0.022317510924529004,184.92848205566406,32.409516796564716,-48.59906985138256,272.93911340594207,-63.72410885569846,3.5978,4.028735203613349,7.48488187789917,1.179520606994629,10.834590911865234,3870.70849609375,15.260995864868164,0.0,31.0,5041.9892578125,2.9156999588012695,2.702,0.1224,1.2387,false,false,PASS,dormant_NS_candidate,FAIL,1.384,11.03
169521744997530496,AstroSpectroSB1,708.2114213083216,0.22160679275947912,184.25100708007812,62.98888800847976,31.89932440259302,165.13741086097892,-14.08814543111572,2.393,2.0230811818623775,12.307682991027832,1.0584192276000977,11.771598815917969,3141.286376953125,29.893043518066406,0.0,34.0,5930.31787109375,3.594599962234497,1.149,0.4402,1.431,false,false,PASS,dormant_NS_candidate,FAIL,1.604,18.64
5551709778040603136,AstroSpectroSB1,489.16372191637396,0.20096300292539154,183.4842529296875,102.25808536379073,-47.562989623789754,257.02003118461136,-20.049287803132415,2.9612,3.6147240278914428,10.71431827545166,0.700587272644043,9.678478240966797,2154.404052734375,35.01001739501953,0.0,16.0,6054.72900390625,4.01639986038208,1.217,0.3065,1.2213,false,false,PASS,dormant_NS_candidate,FAIL,1.882,18.6
5819107879195547904,AstroSpectroSB1,477.2331210639142,0.31567970720144817,166.6051025390625,238.31328398775722,-70.21129740172421,317.24440053368517,-12.57364539275194,1.9587,1.962483222922842,10.122368812561035,1.1687755584716797,7.05491828918457,1709.688232421875,37.20270538330078,0.0,31.0,4876.4033203125,2.834399938583374,2.005,0.5824,2.1625,false,false,PASS,dormant_NS_candidate,FAIL,1.551,23.98
2056596062649654272,AstroSpectroSB1,628.3470381443825,0.14444206803455759,166.4969940185547,307.95082307431227,35.61220135607796,75.46497274550562,-2.36747751613717,2.6459,2.782787289451206,10.422988891601562,0.8688211441040039,7.701643943786621,1848.5423583984375,33.35688781738281,0.0,16.0,5899.2041015625,3.7232000827789307,1.473,0.2904,1.3105,false,false,PASS,dormant_NS_candidate,FAIL,2.005,16.64
6823778000467791616,AstroSpectroSB1,472.41683191294646,0.25248388874099,161.43328857421875,331.25452238483194,-19.093087412147707,35.76783880151569,-51.080117106503664,2.3113,2.301379560613202,11.98015308380127,0.8405246734619141,9.562853813171387,2003.0809326171875,36.0069465637207,0.0,18.0,5853.63037109375,4.18179988861084,1.102,0.6056,1.6692,false,false,PASS,dormant_NS_candidate,FAIL,1.506,23.91
6433005009545683456,AstroSpectroSB1,942.7518076163416,0.6664310129369819,161.43222045898438,280.47866200146194,-67.95309731487879,327.1958837810864,-24.1271606412418,5.5194,4.002210069921429,10.902472496032715,0.8725776672363281,11.842981338500977,3745.417236328125,40.352195739746094,0.0,47.0,5520.9970703125,3.907900094985962,0.984,0.3937,1.2542,false,false,PASS,dormant_NS_candidate,FAIL,1.89,21.35
