name,source_id,P_d,e,M2_msun,M2_MJ,K_obs,K_pred_i90,sini_implied,filter32
HD 140940,6015027554036714496,924.0406583095812,0.7510929972339393,0.16895787368722565,176.9576910905684,1.1935043334960938,2.776525875331538,0.4298552893383644,PASS (#32)
BD+56 1762,1607476280298633984,197.29462032385786,0.42075281129768916,0.06117154632368965,64.0678966990237,NaN,2.3296427437632867,,NO_RV
BD+35 228,321123400368013696,560.1810820327507,0.4043201016316578,0.04648958469158629,48.690773547563516,NaN,1.0596690549294718,,NO_RV
sid=4395581616493055488,4395581616493055488,1460.1124536505845,0.49113886286581115,0.10042593823406445,105.18090555757094,3.8959665298461914,1.9656138219307169,1.9820610164510304,FAIL (#32)
HD 101767,841536616165020416,485.5428821866423,0.4453427290797289,0.057605669541542726,60.333182782995685,3.0036139488220215,1.4856383837645974,2.0217665224904087,FAIL (#32)
sid=2814245885839870976,2814245885839870976,,,,,,,,NO_NSS
HD 343905,4521257204320883712,,,,,,,,NO_NSS
sid=4702272586713535488,4702272586713535488,,,,,,,,NO_NSS
sid=6501674149261991936,6501674149261991936,,,,,,,,NO_NSS
sid=3263449574661483520,3263449574661483520,,,,,,,,NO_NSS
sid=4543391129276881920,4543391129276881920,,,,,,,,NO_NSS
sid=3255968634985106944,3255968634985106944,254.7799875671601,0.1725648808862512,0.09136222538201194,95.68804402939944,NaN,2.8949062096559657,,NO_RV
sid=5448579916683166720,5448579916683166720,,,,,,,,NO_NSS
HD 156239,5923327700182691840,,,,,,,,NO_NSS
sid=3847285507365485568,3847285507365485568,,,,,,,,NO_NSS
sid=2121783289552546304,2121783289552546304,,,,,,,,NO_NSS
sid=2121783289552546304,2121783289552546304,495.7664852218739,0.331620471708667,0.10262348705914842,107.48250392442498,5.030830383300781,1.7951977720850412,2.8023822564450374,FAIL (#32)
sid=6201369829768494080,6201369829768494080,,,,,,,,NO_NSS
sid=1529010560697713152,1529010560697713152,,,,,,,,NO_NSS
sid=5917074949359384576,5917074949359384576,,,,,,,,NO_NSS
TYC 4291-119-1,2213545433332982528,,,,,,,,NO_NSS
sid=1518957932040718336,1518957932040718336,500.6943853626754,0.24846535143097565,0.06148164329524834,64.39267614199176,5.4284772872924805,1.5843402124464327,3.426333084678945,FAIL (#32)
HD 199695,1846430531030410496,,,,,,,,NO_NSS
sid=3905850581902839296,3905850581902839296,,,,,,,,NO_NSS
BD+37 3282,2094132083946332160,,,,,,,,NO_NSS
sid=4712905547052004352,4712905547052004352,,,,,,,,NO_NSS
sid=4973040553553277952,4973040553553277952,,,,,,,,NO_NSS
