source_id,nss_solution_type,P_d,e,significance,ra,dec,l,b,a_phot_mas,parallax,G,bp_rp,ruwe,aen_sig,rv_amplitude_robust,rv_chisq_pvalue,rv_nb_transits,Teff,logg,M1_msun,fM_msun,M2_msun,in_sb2,cbias_risk,filter31,class,filter32,sini_implied,K_pred_i90
1714530637958169600,AstroSpectroSB1,808.7203458102741,0.312019114145088,208.20770263671875,217.74340815045326,78.43484343614061,116.82900985339806,37.487481461808784,2.959,2.1203413193368714,11.157925605773926,0.9402351379394531,10.568462371826172,5235.59521484375,17.047605514526367,0.0,26.0,5300.74169921875,3.561500072479248,1.405,0.5544,1.7776,false,false,PASS,dormant_NS_candidate,PASS,0.863,19.76
5290497804200582528,Orbital,1040.3944515100245,0.23335136274772272,194.4667205810547,124.04373413980062,-59.715750030622495,274.0274720202292,-13.389582112638147,4.4768,2.174338864209601,9.123764991760254,1.1862459182739258,17.315296173095703,7188.61962890625,19.333969116210938,0.0,21.0,,,1.0,1.0757,2.2465,false,false,PASS,dormant_NS_candidate,PASS,0.873,22.14
544098964003017728,AstroSpectroSB1,1040.4937993712317,0.5381790064707972,188.03807067871094,46.76729651529747,71.92191622372802,133.11762572779637,11.786564995078034,6.3205,4.077563279792434,10.615900993347168,0.8466291427612305,23.127307891845703,16164.0625,17.307832717895508,0.0,22.0,5771.4990234375,3.138200044631958,1.079,0.4589,1.421,false,false,PASS,dormant_NS_candidate,PASS,0.9,19.23
6519991463228737152,Orbital,657.0902739463866,0.30830273071175124,179.03195190429688,340.6797142551309,-44.247879760679794,350.84571878539134,-59.0656349776677,6.1012,3.8903542157990674,5.823702812194824,1.123213291168213,14.220213890075684,18584.578125,16.904178619384766,0.0,47.0,,,1.0,1.1918,2.3949,false,false,PASS,dormant_NS_candidate,PASS,0.619,27.3
1007314764586492544,AstroSpectroSB1,501.8516413390819,0.23150259865943013,176.26036071777344,99.10357722009144,63.46610048604723,151.7695247133219,22.4521125788845,3.2181,3.5454559369585454,10.472908020019531,0.7319526672363281,6.652550220489502,1458.787109375,17.427091598510742,0.0,40.0,,,1.0,0.3961,1.2676,false,false,PASS,dormant_NS_candidate,PASS,0.862,20.23
1399377001618295680,AstroSpectroSB1,840.237459486311,0.23851558900118494,152.94320678710938,242.56691520806925,48.611311768715304,76.0816884072321,46.27195578324506,4.0808,2.7455740202156425,7.153803825378418,1.1169648170471191,10.821625709533691,3060.06494140625,17.270580291748047,0.0,16.0,,,1.0,0.6205,1.6217,false,false,PASS,dormant_NS_candidate,PASS,0.871,19.82
5242402412522691456,AstroSpectroSB1,474.33052256733555,0.2913420158464351,120.63821411132812,149.86760879629162,-71.18070688924907,289.89507990211257,-12.803641449081635,2.2849,2.0869838198641966,10.49743366241455,0.6917829513549805,8.33641242980957,1871.3333740234375,11.505613327026367,0.0,13.0,6362.13232421875,3.484299898147583,1.704,0.7782,2.3314,false,false,PASS,dormant_NS_candidate,PASS,0.438,26.25
1921518825784578176,AstroSpectroSB1,706.6773055545376,0.644653072554466,117.41494750976562,359.3438940484263,41.60740224581628,112.20527980397993,-20.135565539735257,3.8214,2.346734670652665,7.826645851135254,1.158449649810791,2.433727502822876,221.4228973388672,5.708656311035156,0.0,25.0,,,1.0,1.1535,2.3463,false,false,PASS,dormant_NS_candidate,PASS,0.174,32.79
5548150968152392576,AstroSpectroSB1,263.1049676280711,0.30423932566690065,115.3656997680664,124.3665723614972,-30.799052126006504,249.79832570336117,2.68190999071672,1.4101,2.5703864682257227,11.360273361206055,0.8215703964233398,5.611469268798828,1810.2342529296875,20.49376678466797,0.0,25.0,5856.37841796875,3.987600088119507,1.147,0.3182,1.2085,false,false,PASS,dormant_NS_candidate,PASS,0.861,23.81
594487558974210304,AstroSpectroSB1,476.41330347631356,0.4142575551853038,114.51651000976562,129.58507330122052,5.087199346557745,220.95131122833675,26.04646913439605,2.1648,2.3462101762754295,9.92119026184082,1.1482343673706055,7.22575044631958,1290.9171142578125,22.532590866088867,0.0,32.0,4785.15625,2.927799940109253,1.651,0.4617,1.7469,false,false,PASS,dormant_NS_candidate,PASS,0.973,23.15
