night_UT,MJD_UTC,RA_deg,Dec_deg,mag,filter,sigma_arcsec_per_axis,pix_SNR,aper_SNR_2as,FWHM_arcsec,comp_star_FWHM_arcsec,centroid_shift_vs_NSC_arcsec,transience,exposure,obscode
2013-03-02,56353.32383,246.129500,-26.251832,21.63,r,0.25,4.3,10.8,1.40,1.25,0.02,"excess+10.7SNR over static-star only on det-night; blended 1.0in from static red star",tu2037227,W84
2013-03-02,56353.32533,246.129491,-26.251832,21.57,r,0.25,4.5,12.2,1.60,1.27,0.11,"excess+10.1SNR over static-star only on det-night; blended 1.0in from static red star",tu2037424,W84
2014-06-27,56835.07565,249.498565,-29.939206,21.83,VR,0.15,5.8,15.4,1.74,1.50,0.16,"absent (SNR0.1) at fixed pos in +4.3h same-night frame c4d_140627_060845 -> moved",c4d_140627_015128,W84
2014-06-29,56837.08979,249.396348,-29.930352,21.60,VR,0.12,8.9,19.4,1.21,1.23,0.02,"empty (SNR<0) at pos in 3 non-det nights 2014-03/2015-03/2019-05",c4d_140629_021153,W84
2015-04-27,57139.22940,260.306990,-32.379144,21.53,VR,0.18,4.4,8.8,1.04,1.18,0.21,"empty (SNR~1) at pos in 3 non-det nights 2015-05/2016-08/2017-04; 2 same-night det",c4d_150427_053222,W84
2015-04-27,57139.23297,260.306891,-32.379149,21.66,VR,0.18,5.8,8.5,1.01,1.46,0.41,"empty (SNR~1) at pos in 3 non-det nights; 2 same-night det (6min apart)",c4d_150427_053734,W84
