ra,dec,type,flux_g,flux_r,flux_i,flux_z,flux_w1,flux_w2
326.828949340052,-13.47701960254576,REX,0.17084877,0.25324136,0.42745808,0.63431126,-0.29558796,-0.8218136
326.8283361757109,-13.47469060983648,PSF,0.48782673,0.56424046,4.7608194,2.093611,1.4246007,1.8357809
