mjd,jd,band,mag,magerr,source,note
56511.229767107405,2456511.7297671074,r,23.377096,0.107804,DECam/NSC-DR2,c4d_130807_053051_ooi_r_a1
56511.23242354812,2456511.732423548,r,23.118202,0.095654,DECam/NSC-DR2,c4d_130807_053441_ooi_r_a1
56511.23508157488,2456511.735081575,r,23.045296,0.091254,DECam/NSC-DR2,c4d_130807_053831_ooi_r_a1
56511.23772470513,2456511.737724705,r,23.321281,0.110916,DECam/NSC-DR2,c4d_130807_054219_ooi_r_a1
56511.24037769437,2456511.7403776944,r,23.443216,0.138813,DECam/NSC-DR2,c4d_130807_054608_ooi_r_a1
56531.397896,2456531.897896,i,18.65,0.02,PS1-DR2-detection,"3.5as SE of target, single epoch; PROBABLE ASTEROID"
57613.11856551282,2457613.618565513,z,22.31617,0.209405,DECam/NSC-DR2,c4d_160813_025301_ooi_z_ls9
57613.119840883184,2457613.619840883,z,22.29377,0.179311,DECam/NSC-DR2,c4d_160813_025444_ooi_z_ls9
57887.612681,2457888.112681,W1,16.16,0.361,NEOWISE-R-single,"SINGLE frame, 1.4as off; PROBABLE ASTEROID, ecl.lat=-0.12"
57956.17326361826,2457956.6732636183,g,23.29066,0.17571,DECam/NSC-DR2,c4d_170722_041151_ooi_g_ls9
57987.0942532951,2457987.594253295,g,23.45247,0.147047,DECam/NSC-DR2,c4d_170822_021543_ooi_g_ls9
58285.4004051,2458285.9004051,zr,21.2393017,0.257160187,ZTF-DR,oid=391204300017629
58303.4627431,2458303.9627431,zr,20.5009918,0.189369678,ZTF-DR,oid=391204300017629
58363.2721528,2458363.7721528,zr,20.4812393,0.179979473,ZTF-DR,oid=340214200010651
58366.3151968,2458366.8151968,zr,20.1456165,0.146642432,ZTF-DR,oid=340214200010651
58369.3621759,2458369.8621759,zr,20.3385696,0.172434106,ZTF-DR,oid=391204300017629
58369.3631019,2458369.8631019,zr,20.3601208,0.167873219,ZTF-DR,oid=340214200010651
58372.09764800966,2458372.5976480097,r,23.132608,0.124684,DECam/NSC-DR2,c4d_180911_022036_ooi_r_ls9
58372.106702204794,2458372.606702205,r,22.025906,0.072615,DECam/NSC-DR2,c4d_180911_023339_ooi_r_ls9
58373.3372685,2458373.8372685,zi,20.1506805,0.187168926,ZTF-DR,oid=391304300038171
58378.01707357261,2458378.5170735726,z,21.393673,0.089978,DECam/NSC-DR2,c4d_180917_002435_ooi_z_ls9
58406.02395952726,2458406.5239595273,z,21.488087,0.108436,DECam/NSC-DR2,c4d_181015_003430_ooi_z_ls9
58668.4612963,2458668.9612963,zi,20.5293007,0.205012441,ZTF-DR,oid=340314200012538
58696.3661574,2458696.8661574,zr,20.9165421,0.218986034,ZTF-DR,oid=340214200010651
58705.23448367976,2458705.7344836798,i,20.579052,0.03715,DECam/NSC-DR2,c4d_190810_053739_ooi_i_v1
58705.23875514185,2458705.738755142,i,20.62024,0.034133,DECam/NSC-DR2,c4d_190810_054348_ooi_i_v1
58724.3251505,2458724.8251505,zi,20.3803291,0.203612581,ZTF-DR,oid=391304300038171
58732.23034719983,2458732.7303472,zr,19.341192,0.1058014,ZTF-alert/ALeRCE,magpsf (difference image)
58732.2303472,2458732.7303472,zr,19.2748241,0.0779636279,ZTF-DR,oid=340214200010651
58732.30011569988,2458732.8001157,zg,19.79835,0.1954671,ZTF-alert/ALeRCE,magpsf (difference image)
58732.3143981,2458732.8143981,zi,19.6147079,0.145874366,ZTF-DR,oid=340314200012538
58732.3148495,2458732.8148495,zi,19.4890461,0.126790881,ZTF-DR,oid=391304300038171
