mjd_tai,kind,band,psfFlux_nJy,psfFluxErr_nJy,scienceFlux_nJy,scienceFluxErr_nJy,mag_diff,mag_sci,visit,reliability,extendedness,snr,cats_class,cats_score,snn_score,jd_tai
61217.4125539122,diaSource,i,82421.266,363.18637,97929.625,359.30136,19.10990179736916,18.922714771315267,2026062500640,1.0,0.05358032,223.17209,-1.0,0.0,0.78159666,2461217.912553912
61218.3324388684,diaSource,i,92821.92,391.7313,107518.73,390.03546,18.98087363135729,18.82128968525244,2026062600713,1.0,0.021617685,235.15907,11.0,0.9515826,0.817857,2461218.8324388685
61218.3324388684,forced,i,94154.95,397.35126,107514.82,390.0249,18.965392107302705,18.821329169589294,2026062600713,,,,,,,2461218.8324388685
61228.4234667494,diaSource,i,76747.53,405.9575,88539.08,400.31946,19.187338981797357,19.032162487601735,2026070600898,1.0,0.002213876,186.00728,11.0,0.9637699,0.8226652,2461228.9234667495
61228.4234667494,forced,i,77991.59,412.57294,88517.586,400.26614,19.16988056421962,19.032426096023006,2026070600898,,,,,,,2461228.9234667495
61230.3381647448,diaSource,i,89954.26,374.78857,107468.75,373.0493,19.01494566193325,18.82179450624473,2026070800378,1.0,0.12026665,236.94963,11.0,0.96726704,0.8161801,2461230.838164745
61230.3381647448,forced,i,90784.26,378.39966,107411.33,372.89923,19.00497360523086,18.822374764539134,2026070800378,,,,,,,2461230.838164745
61232.3481843158,diaSource,i,101297.734,439.79254,113010.47,426.4269,18.886000673921682,18.767203297207715,2026071000442,1.0,0.000157697,229.03362,11.0,0.9008733,0.8048703,2461232.848184316
61232.3481843158,forced,i,103958.125,451.40616,112977.02,426.36884,18.85785390520673,18.767524712134836,2026071000442,,,,,,,2461232.848184316
