mjd,survey,band,kind,mag,magerr,limit,note
56511.229767107405,NSC-DR2,r,direct_auto,23.377096,0.107804,,c4d_130807_053051_ooi_r_a1
56511.23242354812,NSC-DR2,r,direct_auto,23.118202,0.095654,,c4d_130807_053441_ooi_r_a1
56511.23508157488,NSC-DR2,r,direct_auto,23.045296,0.091254,,c4d_130807_053831_ooi_r_a1
56511.23772470513,NSC-DR2,r,direct_auto,23.321281,0.110916,,c4d_130807_054219_ooi_r_a1
56511.24037769437,NSC-DR2,r,direct_auto,23.443216,0.138813,,c4d_130807_054608_ooi_r_a1
57613.11856551282,NSC-DR2,z,direct_auto,22.31617,0.209405,,c4d_160813_025301_ooi_z_ls9
57613.119840883184,NSC-DR2,z,direct_auto,22.29377,0.179311,,c4d_160813_025444_ooi_z_ls9
57956.17326361826,NSC-DR2,g,direct_auto,23.29066,0.17571,,c4d_170722_041151_ooi_g_ls9
57987.0942532951,NSC-DR2,g,direct_auto,23.45247,0.147047,,c4d_170822_021543_ooi_g_ls9
58267.4818171002,ZTF-forced,g,forced_diff,,,19.0222,ZFPS req479166 snr=0.7
58268.44245370012,ZTF-forced,r,forced_diff,,,18.9458,ZFPS req479166 snr=1.0
58268.46127310023,ZTF-forced,g,forced_diff,,,18.9823,ZFPS req479166 snr=-3.5
58270.419398100115,ZTF-forced,r,forced_diff,,,18.7312,ZFPS req479166 snr=0.3
58270.46274309978,ZTF-forced,g,forced_diff,,,18.9777,ZFPS req479166 snr=-1.0
58271.43815970002,ZTF-forced,r,forced_diff,,,18.9221,ZFPS req479166 snr=-0.3
58271.48033560021,ZTF-forced,g,forced_diff,,,18.9146,ZFPS req479166 snr=-0.8
58276.45952549996,ZTF-forced,r,forced_diff,,,19.9602,ZFPS req479166 snr=0.4
58276.4599768999,ZTF-forced,r,forced_diff,,,19.7259,ZFPS req479166 snr=1.1
58279.459363400005,ZTF-forced,g,forced_diff,,,20.5342,ZFPS req479166 snr=0.3
58279.45981479995,ZTF-forced,g,forced_diff,,,20.2617,ZFPS req479166 snr=-0.3
58282.41844910011,ZTF-forced,g,forced_diff,,,20.292,ZFPS req479166 snr=1.3
58282.41890050005,ZTF-forced,g,forced_diff,,,20.2851,ZFPS req479166 snr=0.9
58282.46028940007,ZTF-forced,r,forced_diff,,,19.8412,ZFPS req479166 snr=0.8
58282.4607406999,ZTF-forced,r,forced_diff,,,19.839,ZFPS req479166 snr=-0.2
58285.40040510008,ZTF-forced,r,forced_diff,,,20.403,ZFPS req479166 snr=2.3
58285.438796299975,ZTF-forced,g,forced_diff,,,20.7039,ZFPS req479166 snr=-1.7
58285.44017359987,ZTF-forced,g,forced_diff,,,20.7437,ZFPS req479166 snr=-0.6
58288.4177778,ZTF-forced,g,forced_diff,,,20.1972,ZFPS req479166 snr=-2.0
58288.419155099895,ZTF-forced,g,forced_diff,,,20.1839,ZFPS req479166 snr=0.2
58291.41756939981,ZTF-forced,g,forced_diff,,,20.6707,ZFPS req479166 snr=-0.2
58291.41802080022,ZTF-forced,g,forced_diff,,,20.538,ZFPS req479166 snr=-1.0
58291.46094910009,ZTF-forced,r,forced_diff,,,20.4581,ZFPS req479166 snr=0.3
58291.48166669998,ZTF-forced,r,forced_diff,,,19.9315,ZFPS req479166 snr=0.2
58294.3761574002,ZTF-forced,g,forced_diff,,,19.4195,ZFPS req479166 snr=0.0
58294.37660880014,ZTF-forced,g,forced_diff,,,19.3461,ZFPS req479166 snr=0.4
58294.46099539986,ZTF-forced,r,forced_diff,,,20.4981,ZFPS req479166 snr=-0.9
58297.48208330013,ZTF-forced,g,forced_diff,,,18.8279,ZFPS req479166 snr=0.4
58298.417963000014,ZTF-forced,r,forced_diff,,,18.9932,ZFPS req479166 snr=1.0
58303.355208300054,ZTF-forced,r,forced_diff,,,19.5912,ZFPS req479166 snr=0.0
58303.377442100085,ZTF-forced,i,forced_diff,,,18.8701,ZFPS req479166 snr=0.6
