mjd,m,dm,uJy,duJy,filter,err,chiN,ra,dec,mag5sig,obs
59117.401860,19.652,0.345,50,17,o,0,1.12,334.24962,-18.20795,19.10,02a59117o0331o
59118.313376,-20.657,1.156,-20,23,o,0,1.33,334.24962,-18.20795,18.73,02a59118o0233o
59118.315215,-20.238,0.779,-29,23,o,0,1.32,334.24962,-18.20795,18.81,02a59118o0237o
59118.317959,21.768,3.725,7,27,o,0,0.67,334.24962,-18.20795,18.91,02a59118o0243o
59118.331663,-20.806,1.398,-17,24,o,0,1.00,334.24962,-18.20795,18.77,02a59118o0272o
59125.441511,-20.711,1.432,-19,27,o,0,0.93,334.24962,-18.20795,18.67,02a59125o0255o
59125.446102,21.443,2.649,10,26,o,0,1.34,334.24962,-18.20795,18.62,02a59125o0265o
59125.453455,21.978,5.044,6,30,o,0,0.87,334.24962,-18.20795,18.55,02a59125o0281o
59125.463677,20.602,1.514,21,32,o,0,1.57,334.24962,-18.20795,18.51,02a59125o0303o
59126.375867,-21.502,2.457,-9,22,o,0,0.64,334.24962,-18.20795,19.00,02a59126o0385o
59126.380012,-21.007,1.104,-14,16,o,0,1.62,334.24962,-18.20795,19.02,02a59126o0394o
59126.386058,-21.680,2.362,-8,18,o,0,1.09,334.24962,-18.20795,18.96,02a59126o0407o
59126.397048,22.652,7.136,3,22,o,0,0.92,334.24962,-18.20795,18.83,02a59126o0431o
59127.330468,20.962,0.866,15,13,o,0,1.14,334.24962,-18.20795,19.16,01a59127o0290o
59127.333839,-22.464,3.636,-4,14,o,0,1.23,334.24962,-18.20795,19.11,01a59127o0297o
59127.339036,-22.259,3.405,-4,15,o,0,0.91,334.24962,-18.20795,19.12,01a59127o0308o
59127.371428,-21.962,2.643,-6,16,o,0,0.69,334.24962,-18.20795,19.15,01a59127o0377o
59129.363698,-20.840,0.806,-17,14,o,0,1.46,334.24962,-18.20795,19.25,02a59129o0324o
59129.366933,-22.673,4.560,-3,14,o,0,1.40,334.24962,-18.20795,19.26,02a59129o0331o
59129.372461,21.357,1.671,10,17,o,0,0.91,334.24962,-18.20795,19.26,02a59129o0343o
59129.384415,20.496,0.640,23,15,o,0,1.19,334.24962,-18.20795,19.21,02a59129o0369o
59130.368613,20.464,0.652,24,15,o,0,1.11,334.24962,-18.20795,19.39,02a59130o0369o
59130.372766,-23.298,9.071,-2,16,o,0,0.85,334.24962,-18.20795,19.39,02a59130o0378o
59130.384445,20.911,0.944,16,15,o,0,1.18,334.24962,-18.20795,19.37,02a59130o0403o
59130.389976,-21.551,1.889,-9,16,o,0,0.72,334.24962,-18.20795,19.34,02a59130o0415o
59131.374736,-22.265,1.984,-4,9,o,0,0.86,334.24962,-18.20795,19.74,01a59131o0352o
59131.377514,-20.771,0.591,-18,11,o,0,0.64,334.24962,-18.20795,19.73,01a59131o0358o
59131.383056,-21.121,0.692,-13,9,o,0,0.91,334.24962,-18.20795,19.68,01a59131o0370o
59131.394673,22.523,3.500,4,12,o,0,0.62,334.24962,-18.20795,19.62,01a59131o0395o
59133.367970,-20.693,0.676,-19,13,c,0,1.58,334.24962,-18.20795,19.61,02a59133o0315c
59133.371645,22.158,2.667,5,13,c,0,1.15,334.24962,-18.20795,19.58,02a59133o0323c
59133.378087,20.410,0.650,25,16,c,0,0.99,334.24962,-18.20795,19.46,02a59133o0337c
59133.388649,-20.872,0.877,-16,14,c,0,0.55,334.24962,-18.20795,19.59,02a59133o0360c
59135.321696,-19.016,1.789,-90,161,o,0,0.90,334.24962,-18.20795,17.05,01a59135o0284o
59135.327222,-21.541,1.120,-9,10,o,0,0.69,334.24962,-18.20795,19.71,01a59135o0296o
59135.338294,-21.482,1.096,-9,10,o,0,1.17,334.24962,-18.20795,19.25,01a59135o0320o
59137.315844,22.881,4.500,3,12,c,0,1.44,334.24962,-18.20795,19.69,02a59137o0270c
59137.319500,-21.139,1.000,-13,13,c,0,0.90,334.24962,-18.20795,19.66,02a59137o0278c
59137.325446,-20.672,0.793,-20,16,c,0,0.79,334.24962,-18.20795,19.68,02a59137o0291c
59137.336421,23.101,4.474,2,9,c,0,1.41,334.24962,-18.20795,19.61,02a59137o0315c
59139.337654,-20.384,0.377,-26,10,o,0,0.86,334.24962,-18.20795,19.61,01a59139o0321o
59139.340876,-21.921,1.600,-6,10,o,0,0.84,334.24962,-18.20795,19.66,01a59139o0328o
59139.346401,-21.461,1.037,-10,10,o,0,0.99,334.24962,-18.20795,19.56,01a59139o0340o
59139.357013,-21.450,1.190,-10,11,o,0,0.84,334.24962,-18.20795,19.56,01a59139o0363o
59141.359218,18.696,4.083,121,493,c,0,0.83,334.24962,-18.20795,16.03,02a59141o0237c
59141.364752,15.860,1.330,1645,2187,c,0,1.04,334.24962,-18.20795,15.08,02a59141o0249c
59141.378047,-18.126,0.713,-204,145,c,0,1.15,334.24962,-18.20795,16.74,02a59141o0278c
59143.297862,20.977,1.635,15,24,o,0,1.51,334.24962,-18.20795,18.63,01a59143o0238o
59143.301088,-22.369,3.405,-4,14,o,0,1.37,334.24962,-18.20795,19.22,01a59143o0245o
59143.307538,-21.176,2.320,-12,28,o,0,0.66,334.24962,-18.20795,18.62,01a59143o0259o
59143.318138,24.481,38.250,1,22,o,0,1.03,334.24962,-18.20795,18.74,01a59143o0282o
59145.278907,-20.688,0.839,-19,16,o,0,1.44,334.24962,-18.20795,19.01,02a59145o0200o
59145.309977,-20.944,1.198,-15,18,o,0,0.92,334.24962,-18.20795,19.12,02a59145o0267o
59145.313179,21.989,2.805,6,16,o,0,0.77,334.24962,-18.20795,19.06,02a59145o0274o
59145.318704,21.322,1.897,11,20,o,0,0.87,334.24962,-18.20795,19.00,02a59145o0286o
59151.310993,-19.842,0.629,-42,26,o,0,1.23,334.24962,-18.20795,18.39,01a59151o0276o
59151.314681,-20.123,0.845,-32,27,o,0,1.26,334.24962,-18.20795,18.52,01a59151o0284o
59151.320201,22.685,9.111,3,28,o,0,0.92,334.24962,-18.20795,18.50,01a59151o0296o
59151.331267,-21.280,3.021,-11,34,o,0,1.09,334.24962,-18.20795,18.28,01a59151o0320o
59154.338259,23.668,16.083,1,20,o,0,1.21,334.24962,-18.20795,18.70,02a59154o0334o
59154.343755,-20.652,1.150,-20,23,o,0,1.12,334.24962,-18.20795,18.68,02a59154o0346o
59154.352461,24.333,34.000,1,23,o,0,1.12,334.24962,-18.20795,18.64,02a59154o0365o
59154.356148,22.179,5.826,5,28,o,0,1.01,334.24962,-18.20795,18.62,02a59154o0373o
59155.315297,16.399,3.285,1000,3287,o,0,1.66,334.24962,-18.20795,13.12,01a59155o0284o
59156.296402,-19.933,0.315,-39,12,o,0,1.25,334.24962,-18.20795,19.30,01a59156o0182o
59156.299166,-21.928,2.524,-6,16,o,0,0.90,334.24962,-18.20795,19.30,01a59156o0188o
59156.305159,-20.611,0.635,-21,13,o,0,1.15,334.24962,-18.20795,19.35,01a59156o0201o
59156.316231,21.102,0.966,13,13,o,0,1.12,334.24962,-18.20795,19.29,01a59156o0225o
59157.286388,-20.515,1.299,-23,29,o,0,0.99,334.24962,-18.20795,18.38,02a59157o0225o
59157.289170,-19.530,0.620,-56,35,o,0,0.63,334.24962,-18.20795,18.43,02a59157o0231o
59157.296035,-21.067,1.742,-14,24,o,0,1.16,334.24962,-18.20795,18.61,02a59157o0246o
59157.307968,21.757,2.745,7,20,o,0,1.49,334.24962,-18.20795,18.77,02a59157o0272o
59161.278872,23.698,8.778,1,11,c,0,1.04,334.24962,-18.20795,19.57,02a59161o0208c
59161.282535,-22.152,1.921,-5,10,c,0,0.99,334.24962,-18.20795,19.55,02a59161o0216c
59161.288498,-21.919,1.681,-6,10,c,0,0.89,334.24962,-18.20795,19.53,02a59161o0229c
59161.299461,-21.553,1.097,-9,10,c,0,0.94,334.24962,-18.20795,19.49,02a59161o0252c
59163.286272,22.368,3.550,4,15,o,0,1.20,334.24962,-18.20795,19.52,01a59163o0225o
59163.288572,-22.672,3.447,-3,11,o,0,0.90,334.24962,-18.20795,19.51,01a59163o0230o
59163.291794,23.260,6.000,2,11,o,0,0.77,334.24962,-18.20795,19.59,01a59163o0237o
59163.296399,21.472,1.516,9,14,o,0,1.00,334.24962,-18.20795,19.52,01a59163o0247o
59163.297781,22.282,2.469,4,11,o,0,1.28,334.24962,-18.20795,19.47,01a59163o0250o
59163.308385,-20.218,0.425,-30,13,o,0,0.96,334.24962,-18.20795,19.45,01a59163o0273o
59169.267157,21.795,1.795,7,12,c,0,0.82,334.24962,-18.20795,19.53,02a59169o0191c
59169.270826,-22.679,3.600,-3,11,c,0,0.82,334.24962,-18.20795,19.53,02a59169o0199c
59169.277261,21.716,1.511,8,11,c,0,1.05,334.24962,-18.20795,19.53,02a59169o0213c
59169.287355,21.309,1.114,11,12,c,0,1.02,334.24962,-18.20795,19.53,02a59169o0235c
59173.230653,20.629,0.832,20,17,o,0,0.90,334.24962,-18.20795,19.27,02a59173o0090o
59173.234311,0.000,21.180,-0,12,o,0,1.69,334.24962,-18.20795,19.22,02a59173o0098o
59173.239816,22.322,4.147,4,18,o,0,0.78,334.24962,-18.20795,19.25,02a59173o0110o
59173.251754,20.553,0.692,22,15,o,0,1.03,334.24962,-18.20795,19.27,02a59173o0136o
59179.268463,-18.794,3.891,-110,429,o,0,0.84,334.24962,-18.20795,16.46,01a59179o0133o
59179.269385,-19.223,1.311,-74,97,o,0,1.57,334.24962,-18.20795,17.14,01a59179o0135o
