source_id,sig,P_d,M2_msun,G,bp_rp,ruwe,cbias_risk,main_id,otype,sp_type,has_HD,has_HIP,sp_class
6356986562304884736,134.11436462402344,707.0936799181858,1.4015,7.999751091003418,1.280517578125,6.9690327644348145,true,HD 213223,SB*,K0III,true,true,K_giant_FP
5581076767249872000,133.06619262695312,786.2322798444256,1.3106,11.978832244873047,0.8963165283203125,8.456913948059082,false,TYC 7095-605-1,SB*,"",false,false,no_sp
4639781740268964992,132.6616668701172,494.0569769774254,1.4301,7.208154201507568,1.1830253601074219,10.077895164489746,true,HD  20465,SB*,K0III,true,true,K_giant_FP
6409870116663093632,131.2998046875,740.8534513374592,1.2987,10.732588768005371,0.7236833572387695,6.328190326690674,false,CD-61  6628,SB*,"",false,false,no_sp
5963752825737968000,130.76495361328125,683.0162790637211,1.2906,10.282302856445312,0.7048196792602539,7.605566501617432,false,HD 329475,*,F2,true,false,F_dwarf
536510585724686080,130.0220184326172,851.9845955015498,1.5371,10.404950141906738,0.8428993225097656,7.9881062507629395,false,TYC 4300-1238-1,SB*,"",false,false,no_sp
2020361382098932992,129.84393310546875,457.96359269297136,2.629,7.185664653778076,1.2716484069824219,6.43443489074707,true,HD 185838,SB*,G0,true,true,G_dwarf
5657668167421010688,128.95555114746094,1127.6051532985298,1.3986,10.347676277160645,1.5165843963623047,32.03005599975586,true,CD-27  6784,SB*,K5V(e),false,false,K_dwarf
1975370775021791616,128.07704162597656,878.2336834183418,1.3781,8.358345031738281,1.2723841667175293,7.122721195220947,true,BD+47  3678,SB*,K0,false,false,K_unknown_lc
6750395293058376448,127.57769012451172,933.1025078314723,1.3236,10.395350456237793,1.2296524047851562,11.401268005371094,true,CD-29 16779,SB*,"",false,false,no_sp
1997780265099210752,127.45301818847656,687.8658121454675,2.2552,9.893129348754883,0.4833822250366211,9.842041969299316,false,BD+55  2996,*,A5,false,false,AB_hot
2937144485234182400,127.26109313964844,804.742251727427,1.8638,6.922616004943848,1.8363971710205078,6.926154136657715,true,HD  45735,SB*,K5III,true,false,K_giant_FP
4544775242616877056,126.61800384521484,774.6224542150345,1.2287,9.46265983581543,1.376673698425293,9.004798889160156,true,HD 155026,SB*,"",true,false,no_sp
1864614563575793920,125.07569122314453,812.257602409888,1.2395,9.470291137695312,1.1226730346679688,7.941466808319092,false,HD 335406,SB*,G5,true,false,G_dwarf
3214770896366134400,124.48802947998047,556.9035616932133,1.6527,11.976248741149902,0.8277034759521484,6.562544345855713,false,UCAC4 438-008998,SB*,"",false,false,no_sp
5629613819003267712,124.35809326171875,804.6790210080718,1.2064,9.229464530944824,1.4143028259277344,7.125232219696045,true,CD-34  5824,SB*,"",false,false,no_sp
2973593192612030720,124.04349517822266,789.3112462011898,1.4849,9.642742156982422,1.1500167846679688,5.440805912017822,true,CD-22  1793,SB*,K0,false,false,K_unknown_lc
573277395560747136,122.69335174560547,803.8414835787637,2.3133,10.91834545135498,0.9172859191894531,9.0636625289917,false,TYC 4615-2735-1,SB*,"",false,false,no_sp
4548924352823974912,122.19924926757812,701.6783652987925,1.2853,7.831347465515137,1.1278581619262695,6.5208048820495605,false,HD 159584,SB*,K0,true,false,K_unknown_lc
4542347933260046720,121.98593139648438,536.5551172230181,1.8936,8.540721893310547,1.490224838256836,5.473724842071533,true,BD+13  3380,SB*,K0,false,false,K_unknown_lc
477211552813964160,121.50945281982422,797.5702274828338,2.0659,10.324955940246582,1.954390525817871,7.9005513191223145,true,TYC 4073-174-1,SB*,"",false,false,no_sp
5051409687931408384,121.33820343017578,627.0138491225389,1.5837,8.329103469848633,1.4267387390136719,5.960442543029785,true,HD  19417,SB*,K2/3III,true,false,K_giant_FP
5290789243502185984,121.29764556884766,982.8176986403626,1.4722,9.240480422973633,1.518087387084961,7.066708564758301,true,CD-60  2053,SB*,"",false,false,no_sp
