ra,dec,type,mag_g,mag_r,mag_i,mag_z,shape_r,ls_id
334.2531344800166,-18.21188526616169,PSF,18.409935,Infinity,17.425255,17.301577,0,10995355585871966
334.2453837593247,-18.20705611799967,EXP,22.769747,Infinity,21.188967,20.779776,0.6992307,10995355584827132
334.2480166991251,-18.2073548817746,REX,23.737488,Infinity,23.105825,23.0015,0.5397551,10995355584827169
334.2494164267012,-18.20774501178061,REX,22.879623,Infinity,22.29391,22.622196,0.72324216,10995355585871906
334.2518782423587,-18.20678404346009,REX,23.710474,Infinity,24.007875,23.25002,0.69561964,10995355585871946
