MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs,snr
57955.496546,20.317,0.905,27,24,o,0,0.93,313.22651,-14.84044,10161.43,9523.12,6.72,5.46,-5.6,-0.205,18.7,20.98,01a57955o0518o,1.125
57955.497551,22.91,9.2,2,23,o,0,0.93,313.22651,-14.84044,460.84,9585.8,5.69,4.49,-2.4,-0.325,18.82,20.97,01a57955o0520o,0.08695652173913043
57955.506161,-21.581,2.091,-8,18,o,0,1.33,313.22651,-14.84044,10106.94,9483.15,5.01,3.9,-83.6,-0.324,19.03,20.96,01a57955o0537o,-0.4444444444444444
57955.506648,-22.156,4.8,-5,24,o,0,1.04,313.22651,-14.84044,485.1,9662.04,5.9,4.34,-1.9,-0.333,18.76,20.96,01a57955o0538o,-0.20833333333333334
57955.515222,-22.366,4.231,-4,17,o,0,1.12,313.22651,-14.84044,10094.95,9638.0,4.7,3.34,-80.1,-0.347,19.2,20.93,01a57955o0555o,-0.23529411764705882
57955.516245,-22.515,4.917,-4,18,o,0,1.07,313.22651,-14.84044,432.83,9624.64,4.0,3.65,-82.1,-0.381,19.1,20.94,01a57955o0557o,-0.2222222222222222
57955.525282,-20.051,0.606,-35,21,o,0,0.91,313.22651,-14.84044,417.79,9780.0,4.44,4.05,-77.4,-0.378,19.0,20.91,01a57955o0575o,-1.6666666666666667
57958.500195,-20.48,0.739,-23,17,o,0,1.03,313.22651,-14.84044,437.79,144.27,3.92,2.93,79.5,-0.468,19.2,20.97,01a57958o0264o,-1.3529411764705883
57960.468079,-22.064,2.185,-5,12,o,0,0.84,313.22651,-14.84044,313.03,9855.43,2.26,1.76,13.7,-0.494,19.64,20.82,02a57960o0447o,-0.4166666666666667
57960.474458,-21.241,0.918,-12,11,o,0,1.13,313.22651,-14.84044,10166.69,9860.7,2.06,1.91,26.7,-0.542,19.64,20.83,02a57960o0460o,-1.0909090909090908
57960.48373,22.644,3.9,3,12,o,0,1.03,313.22651,-14.84044,295.75,9815.28,2.28,1.87,15.2,-0.485,19.6,20.79,02a57960o0479o,0.25
57960.484214,21.96,1.625,6,10,o,0,2.01,313.22651,-14.84044,10148.01,9822.46,2.07,1.96,29.7,-0.535,19.62,20.83,02a57960o0480o,0.6
57960.484699,-22.475,3.059,-4,11,o,0,1.16,313.22651,-14.84044,10206.14,9901.12,2.09,1.97,28.2,-0.538,19.64,20.83,02a57960o0481o,-0.36363636363636365
57960.486156,-21.226,0.871,-12,10,o,0,1.71,313.22651,-14.84044,352.38,9893.43,2.23,1.8,14.1,-0.495,19.61,20.78,02a57960o0484o,-1.2
57960.497382,21.565,1.487,9,13,o,0,1.15,313.22651,-14.84044,373.81,9774.91,2.31,1.93,15.2,-0.473,19.58,20.77,02a57960o0507o,0.6923076923076923
57960.499826,20.872,0.757,16,12,o,0,1.13,313.22651,-14.84044,10224.66,9783.73,2.13,1.96,26.5,-0.532,19.6,20.78,02a57960o0512o,1.3333333333333333
57961.495656,-22.031,1.792,-6,10,o,0,0.76,313.22651,-14.84044,3080.28,2187.21,2.22,2.15,65.1,-0.424,19.64,21.06,02a57961o0460o,-0.6
57961.505469,22.025,1.525,6,9,o,0,1.18,313.22651,-14.84044,3063.19,2147.52,2.08,1.98,69.9,-0.436,19.68,21.03,02a57961o0478o,0.6666666666666666
57961.516031,20.35,0.29,26,8,o,0,1.63,313.22651,-14.84044,3123.32,2225.36,2.2,2.14,70.1,-0.428,19.64,21.04,02a57961o0497o,3.25
57961.52616,-21.525,1.47,-9,13,o,0,0.97,313.22651,-14.84044,3145.17,2107.87,2.35,2.26,83.2,-0.418,19.41,20.82,02a57961o0515o,-0.6923076923076923
57966.451277,-21.379,1.439,-10,15,o,0,1.13,313.22651,-14.84044,2227.57,1565.74,2.92,2.79,76.0,-0.452,19.24,20.57,01a57966o0416o,-0.6666666666666666
57966.46153,-22.714,5.118,-3,15,o,0,1.03,313.22651,-14.84044,2254.22,1645.43,2.85,2.79,69.6,-0.457,19.26,20.64,01a57966o0436o,-0.2
57966.46299,20.533,0.68,22,15,o,0,0.9,313.22651,-14.84044,2196.67,1574.18,2.98,2.79,71.7,-0.446,19.26,20.66,01a57966o0439o,1.4666666666666666
57966.477497,22.903,5.308,2,13,o,0,1.19,313.22651,-14.84044,2183.54,1750.42,3.08,2.9,66.5,-0.433,19.27,20.84,01a57966o0468o,0.15384615384615385
57968.41802,21.603,1.618,8,13,o,0,1.41,313.22651,-14.84044,1390.67,1950.49,1.83,1.69,42.4,-0.521,19.27,19.91,02a57968o0355o,0.6153846153846154
57968.435473,23.647,11.125,1,14,o,0,1.07,313.22651,-14.84044,1403.61,1992.24,1.89,1.72,45.0,-0.514,19.28,19.91,02a57968o0390o,0.07142857142857142
57968.444898,19.858,0.915,41,38,o,0,1.02,313.22651,-14.84044,9126.86,8408.66,2.31,2.17,42.0,-0.473,18.4,19.07,02a57968o0409o,1.0789473684210527
57968.44538,-21.675,5.25,-8,41,o,0,1.35,313.22651,-14.84044,9108.82,8525.91,2.22,2.05,42.3,-0.492,18.53,19.25,02a57968o0410o,-0.1951219512195122
57969.458822,-21.765,1.973,-7,14,o,0,1.92,313.22651,-14.84044,2344.85,1963.79,2.12,1.93,44.4,-0.489,19.04,19.68,02a57969o0423o,-0.5
57969.46903,-22.184,3.471,-5,17,o,0,1.02,313.22651,-14.84044,2329.1,1924.0,2.11,1.9,40.5,-0.498,19.06,19.66,02a57969o0441o,-0.29411764705882354
57969.478507,20.57,0.812,22,17,o,0,0.95,313.22651,-14.84044,2387.95,2002.53,2.0,1.81,46.6,-0.496,19.05,19.66,02a57969o0458o,1.2941176470588236
57969.488595,22.646,6.133,3,20,o,0,1.34,313.22651,-14.84044,2408.0,1886.15,2.21,2.04,47.0,-0.485,18.96,19.64,02a57969o0476o,0.15
57970.361337,22.644,12.941,3,41,o,0,0.95,313.22651,-14.84044,9639.15,8975.79,3.07,2.78,66.9,-0.427,18.44,19.09,01a57970o0225o,0.07317073170731707
57970.370232,-19.42,0.759,-62,47,o,0,0.96,313.22651,-14.84044,9615.1,8909.7,2.96,2.71,65.3,-0.438,18.43,18.99,01a57970o0240o,-1.3191489361702127
57970.379146,-19.91,1.534,-39,60,o,0,0.86,313.22651,-14.84044,9667.6,8957.27,3.07,2.79,49.2,-0.444,18.24,18.75,01a57970o0255o,-0.65
57970.387208,-20.148,1.793,-32,57,o,0,0.99,313.22651,-14.84044,9681.98,8815.32,2.98,2.79,42.2,-0.444,18.34,18.86,01a57970o0270o,-0.5614035087719298
57974.479539,20.537,1.129,22,25,o,0,1.57,313.22651,-14.84044,1928.79,1234.21,2.02,1.78,44.3,-0.555,18.62,18.92,02a57974o0472o,0.88
57974.48834,-22.231,5.184,-5,24,o,0,1.44,313.22651,-14.84044,1912.1,1194.1,2.01,1.78,44.4,-0.557,18.61,18.91,02a57974o0489o,-0.20833333333333334
57974.497282,-23.21,15.35,-2,29,o,0,0.91,313.22651,-14.84044,1972.35,1271.52,2.02,1.79,46.6,-0.545,18.59,18.88,02a57974o0506o,-0.06896551724137931
57974.507059,-25.276,117.667,0,33,o,0,0.51,313.22651,-14.84044,1992.0,1154.59,2.01,1.78,46.2,-0.572,18.6,18.84,02a57974o0523o,0.0
57976.453504,-19.477,0.493,-59,29,o,0,1.09,313.22651,-14.84044,8394.65,8493.37,3.74,3.46,-8.4,-0.366,18.62,19.91,01a57976o0406o,-2.0344827586206895
57976.462359,21.638,3.186,8,26,o,0,1.09,313.22651,-14.84044,8417.19,8568.98,3.29,2.61,-83.8,-0.439,18.83,19.89,01a57976o0423o,0.3076923076923077
57976.471231,21.818,4.108,7,28,o,0,1.01,313.22651,-14.84044,8362.99,8526.93,3.29,2.56,-85.6,-0.442,18.82,19.87,01a57976o0440o,0.25
57976.480061,20.056,0.782,34,27,o,0,1.01,313.22651,-14.84044,8347.9,8679.07,3.3,2.54,-83.1,-0.441,18.8,19.85,01a57976o0457o,1.2592592592592593
57977.435261,-21.148,1.44,-13,18,o,0,0.96,313.22651,-14.84044,948.32,8983.37,2.26,2.02,18.3,-0.484,19.28,20.07,02a57977o0404o,-0.7222222222222222
57977.44394,-20.422,0.687,-25,17,o,0,0.7,313.22651,-14.84044,930.89,8946.65,2.19,2.01,13.5,-0.481,19.24,20.06,02a57977o0421o,-1.4705882352941178
57977.4526,22.031,3.106,6,17,o,0,1.18,313.22651,-14.84044,987.72,9024.05,2.38,2.19,16.5,-0.46,19.17,20.04,02a57977o0438o,0.35294117647058826
57977.461255,-19.793,0.394,-44,17,o,0,0.81,313.22651,-14.84044,1009.14,8905.98,2.32,2.15,13.5,-0.48,19.21,20.03,02a57977o0455o,-2.588235294117647
57978.449088,-22.22,3.235,-5,15,o,0,1.13,313.22651,-14.84044,710.5,761.26,2.47,2.08,44.7,-0.54,19.28,20.27,02a57978o0396o,-0.3333333333333333
57978.458227,21.309,1.621,11,18,o,0,0.72,313.22651,-14.84044,692.9,721.27,2.26,1.89,41.1,-0.516,19.37,20.26,02a57978o0413o,0.6111111111111112
57978.459822,20.99,1.283,15,19,o,0,0.73,313.22651,-14.84044,10409.99,755.98,2.64,2.22,54.1,-0.491,19.31,20.26,02a57978o0416o,0.7894736842105263
57978.467268,-20.875,1.2,-16,20,o,0,0.83,313.22651,-14.84044,753.2,800.1,2.55,2.18,45.4,-0.556,19.24,20.23,02a57978o0430o,-0.8
57978.468878,20.425,0.729,25,18,o,0,1.31,313.22651,-14.84044,10392.71,718.89,2.6,2.26,52.9,-0.489,19.3,20.24,02a57978o0433o,1.3888888888888888
57978.476289,21.524,1.884,9,17,o,0,1.05,313.22651,-14.84044,792.92,681.75,2.34,1.93,40.9,-0.51,19.33,20.2,02a57978o0447o,0.5294117647058824
57978.477831,-22.366,4.033,-4,17,o,0,1.22,313.22651,-14.84044,10451.24,795.92,2.59,2.24,52.2,-0.485,19.27,20.21,02a57978o0450o,-0.23529411764705882
57978.486851,23.558,14.6,1,20,o,0,1.33,313.22651,-14.84044,10474.66,676.65,2.58,2.2,47.3,-0.502,19.29,20.19,02a57978o0467o,0.05
57980.441738,-21.196,1.333,-12,16,o,0,0.77,313.22651,-14.84044,8028.15,7827.8,3.52,2.63,-84.2,-0.434,19.28,20.77,01a57980o0385o,-0.75
57980.450578,20.027,0.43,35,15,o,0,0.99,313.22651,-14.84044,8050.85,7903.56,3.52,2.59,-84.0,-0.433,19.23,20.73,01a57980o0402o,2.3333333333333335
57980.459423,-22.135,3.0,-5,15,o,0,1.15,313.22651,-14.84044,7996.78,7861.96,3.44,2.61,-84.3,-0.434,19.27,20.71,01a57980o0419o,-0.3333333333333333
57980.468296,-23.164,8.5,-2,17,o,0,0.8,313.22651,-14.84044,7981.68,8014.05,3.46,2.59,-82.0,-0.436,19.3,20.77,01a57980o0436o,-0.11764705882352941
57981.422401,21.773,1.24,7,9,c,0,1.11,313.22651,-14.84044,8812.14,9423.92,2.81,2.58,41.3,-0.391,19.7,21.51,02a57981o0371c,0.7777777777777778
57981.430692,-23.407,5.364,-2,8,c,0,1.27,313.22651,-14.84044,8794.64,9384.63,2.8,2.61,50.3,-0.387,19.69,21.51,02a57981o0388c,-0.25
57981.43901,-23.077,4.067,-2,9,c,0,1.27,313.22651,-14.84044,8853.43,9462.69,2.79,2.59,54.1,-0.391,19.69,21.47,02a57981o0405c,-0.2222222222222222
57981.447337,0.0,21.455,0,10,c,0,0.96,313.22651,-14.84044,8873.38,9344.78,2.9,2.69,54.0,-0.378,19.69,21.45,02a57981o0422c,0.0
57983.429457,21.085,1.026,13,14,o,0,1.19,313.22651,-14.84044,1940.48,1373.37,2.93,2.53,76.4,-0.482,19.3,20.8,01a57983o0306o,0.9285714285714286
57983.438277,20.916,0.912,16,14,o,0,0.92,313.22651,-14.84044,1964.43,1448.54,2.96,2.51,79.9,-0.489,19.25,20.72,01a57983o0323o,1.1428571428571428
57983.447155,-20.922,0.943,-16,15,o,0,0.98,313.22651,-14.84044,1910.28,1406.72,3.0,2.54,84.9,-0.481,19.26,20.73,01a57983o0340o,-1.0666666666666667
57983.455979,-23.131,6.727,-2,14,o,0,1.11,313.22651,-14.84044,1896.95,1559.81,3.11,2.6,86.9,-0.467,19.24,20.73,01a57983o0357o,-0.14285714285714285
57986.428467,18.398,1.742,159,277,c,0,1.18,313.22651,-14.84044,3191.17,2222.11,2.65,2.51,67.2,-0.394,15.53,17.17,02a57986o0365c,0.5740072202166066
57987.407011,-21.175,1.44,-12,18,o,0,0.87,313.22651,-14.84044,8516.21,1335.82,3.45,3.19,-83.6,-0.441,19.16,20.78,01a57987o0116o,-0.6666666666666666
57987.415851,-21.402,1.644,-10,16,o,0,0.99,313.22651,-14.84044,8535.0,1408.96,3.3,2.91,-83.4,-0.433,19.18,20.74,01a57987o0133o,-0.625
57987.424679,-20.361,0.598,-26,16,o,0,1.2,313.22651,-14.84044,8479.81,1366.46,3.39,2.83,-86.6,-0.446,19.15,20.65,01a57987o0150o,-1.625
57987.433516,22.118,4.176,5,22,o,0,1.06,313.22651,-14.84044,8464.02,1519.81,3.41,2.72,-89.0,-0.455,18.72,20.23,01a57987o0167o,0.22727272727272727
57988.423352,20.772,1.25,18,22,o,0,0.9,313.22651,-14.84044,7970.82,7859.29,5.96,3.56,0.1,-0.339,18.81,20.87,01a57988o0396o,0.8181818181818182
57988.432128,21.337,1.524,11,16,o,0,1.0,313.22651,-14.84044,7994.05,7934.26,3.28,3.06,-81.3,-0.44,19.12,20.78,01a57988o0413o,0.6875
57988.440975,19.882,0.553,40,22,o,0,0.91,313.22651,-14.84044,7921.74,7892.29,3.33,2.9,-85.5,-0.422,18.61,20.1,01a57988o0430o,1.8181818181818181
57988.449794,20.906,0.932,16,15,o,0,1.28,313.22651,-14.84044,7906.0,8044.38,3.2,2.67,-85.8,-0.438,19.18,20.67,01a57988o0447o,1.0666666666666667
57991.408869,21.484,1.5,9,14,o,0,0.94,313.22651,-14.84044,8883.41,6320.55,4.07,2.8,-82.8,-0.419,19.32,21.2,01a57991o0345o,0.6428571428571429
57991.417836,-20.647,0.679,-20,14,o,0,0.93,313.22651,-14.84044,8906.57,6395.52,4.02,2.75,-82.8,-0.422,19.36,21.22,01a57991o0363o,-1.4285714285714286
57991.426336,21.441,1.4,10,14,o,0,0.96,313.22651,-14.84044,8834.45,6352.16,4.02,2.78,-83.5,-0.421,19.34,21.18,01a57991o0380o,0.7142857142857143
57991.435332,-20.399,0.519,-25,13,o,0,1.2,313.22651,-14.84044,8819.4,6503.93,3.88,2.82,-83.7,-0.427,19.31,21.11,01a57991o0398o,-1.9230769230769231
57993.396131,22.951,5.095,2,12,o,0,0.77,313.22651,-14.84044,263.9,3628.3,2.38,1.94,22.4,-0.438,19.53,20.7,02a57993o0338o,0.16666666666666666
57993.408031,-21.008,0.701,-14,10,o,0,1.45,313.22651,-14.84044,303.03,3667.2,2.18,1.77,22.9,-0.455,19.57,20.68,02a57993o0363o,-1.4
57993.410881,-20.769,0.533,-18,10,o,0,1.3,313.22651,-14.84044,246.22,3588.04,2.2,1.78,22.2,-0.463,19.51,20.64,02a57993o0369o,-1.8
57993.41468,-23.712,11.545,-1,14,o,0,1.23,313.22651,-14.84044,9922.85,3640.64,2.05,1.96,13.3,-0.508,19.57,20.65,02a57993o0377o,-0.07142857142857142
57993.419426,21.766,1.585,7,11,o,0,1.18,313.22651,-14.84044,9903.8,3600.9,2.06,1.98,16.5,-0.514,19.57,20.62,02a57993o0387o,0.6363636363636364
57993.424175,22.057,2.459,6,13,o,0,1.14,313.22651,-14.84044,324.44,3548.05,2.7,2.45,45.2,-0.438,19.34,20.6,02a57993o0397o,0.46153846153846156
57993.424668,21.668,1.943,8,15,o,0,0.79,313.22651,-14.84044,9999.09,3559.71,2.6,2.43,67.9,-0.468,19.31,20.61,02a57993o0398o,0.5333333333333333
57993.426567,20.779,0.888,18,16,o,0,0.62,313.22651,-14.84044,9979.88,3676.59,2.48,2.35,36.3,-0.469,19.43,20.62,02a57993o0402o,1.125
57996.326542,21.039,1.655,14,23,o,0,1.09,313.22651,-14.84044,9909.51,7457.75,3.43,3.3,74.3,-0.405,18.84,20.15,01a57996o0035o,0.6086956521739131
57997.365469,-21.395,1.776,-10,18,o,0,0.88,313.22651,-14.84044,1434.62,5989.5,2.49,2.35,17.9,-0.443,18.92,19.69,02a57997o0225o,-0.5555555555555556
57997.373736,21.014,1.259,14,18,o,0,0.96,313.22651,-14.84044,1494.0,6067.13,2.23,2.1,11.8,-0.45,19.04,19.7,02a57997o0242o,0.7777777777777778
58003.412179,19.968,0.933,37,35,o,0,1.06,313.22651,-14.84044,7748.58,3347.08,3.83,3.36,-77.4,-0.414,18.17,19.16,01a58003o0254o,1.0571428571428572
58003.420069,20.978,2.532,15,37,o,0,1.17,313.22651,-14.84044,7768.63,3417.05,4.01,3.68,-87.8,-0.393,18.05,19.11,01a58003o0271o,0.40540540540540543
58003.427966,19.976,1.021,37,38,o,0,1.01,313.22651,-14.84044,7713.81,3370.5,3.71,3.21,-84.8,-0.417,18.05,19.01,01a58003o0288o,0.9736842105263158
58003.435817,21.835,6.056,7,41,o,0,1.41,313.22651,-14.84044,7696.66,3516.99,4.46,3.85,-79.4,-0.389,17.9,18.94,01a58003o0305o,0.17073170731707318
58007.384539,19.59,0.351,53,19,o,0,1.22,313.22651,-14.84044,928.88,4877.08,3.43,2.75,86.4,-0.458,18.98,20.2,01a58007o0348o,2.789473684210526
58007.392844,19.928,0.647,39,25,o,0,0.84,313.22651,-14.84044,952.84,4948.79,3.4,2.69,85.2,-0.46,18.86,19.99,01a58007o0366o,1.56
58007.400708,-23.484,14.667,-2,22,o,0,0.96,313.22651,-14.84044,897.34,4902.81,3.61,2.96,86.1,-0.444,18.87,20.11,01a58007o0383o,-0.09090909090909091
58007.409119,20.1,0.653,33,22,o,0,0.94,313.22651,-14.84044,880.86,5052.1,3.44,2.88,82.9,-0.446,18.87,20.11,01a58007o0401o,1.5
58011.358486,-20.671,0.976,-20,19,o,0,0.89,313.22651,-14.84044,1344.07,4561.21,2.79,2.45,86.6,-0.5,19.05,20.61,01a58011o0291o,-1.0526315789473684
58011.366309,-20.775,0.625,-18,11,o,0,1.22,313.22651,-14.84044,1362.43,4599.03,2.8,2.42,86.2,-0.5,19.47,21.02,01a58011o0308o,-1.6363636363636365
58011.37414,-22.577,4.143,-3,14,o,0,0.8,313.22651,-14.84044,1303.43,4522.15,2.82,2.44,85.4,-0.495,19.45,21.0,01a58011o0325o,-0.21428571428571427
58011.38195,-22.252,3.286,-5,15,o,0,0.86,313.22651,-14.84044,1286.08,4638.24,2.84,2.44,86.4,-0.499,19.4,20.93,01a58011o0342o,-0.3333333333333333
58011.398461,21.187,0.832,12,10,o,0,1.58,313.22651,-14.84044,8424.22,9494.42,2.15,1.99,53.3,-0.475,19.61,20.76,02a58011o0344o,1.2
58011.408744,21.08,0.824,13,11,o,0,0.93,313.22651,-14.84044,8406.57,9454.39,2.21,2.07,54.6,-0.465,19.53,20.71,02a58011o0366o,1.1818181818181819
58011.418982,20.912,0.73,16,11,o,0,1.11,313.22651,-14.84044,8465.77,9532.46,2.17,2.04,48.3,-0.469,19.55,20.68,02a58011o0388o,1.4545454545454546
58011.42931,-21.976,2.0,-6,12,o,0,1.48,313.22651,-14.84044,8483.62,9416.65,2.09,1.99,46.0,-0.468,19.51,20.66,02a58011o0410o,-0.5
58013.362707,-20.492,0.327,-23,8,c,0,1.87,313.22651,-14.84044,9409.53,4633.31,2.68,2.54,-77.9,-0.42,19.67,21.4,02a58013o0320c,-2.875
58013.371044,21.699,1.111,8,8,c,0,1.42,313.22651,-14.84044,9392.09,4593.56,2.68,2.54,-80.4,-0.428,19.63,21.39,02a58013o0338c,1.0
58013.378905,-21.6,1.241,-8,10,c,0,0.99,313.22651,-14.84044,9470.34,4670.26,2.71,2.54,-74.3,-0.434,19.67,21.39,02a58013o0355c,-0.8
58013.387223,21.869,1.489,6,10,c,0,1.0,313.22651,-14.84044,9491.57,4553.2,2.7,2.55,-72.9,-0.434,19.65,21.35,02a58013o0373c,0.6
58015.348278,-20.868,1.231,-16,20,o,0,1.05,313.22651,-14.84044,9477.55,6428.62,4.97,3.96,2.0,-0.391,18.91,20.9,01a58015o0278o,-0.8
58015.3561,22.0,4.625,6,27,o,0,1.15,313.22651,-14.84044,9495.63,6466.66,8.01,4.35,1.0,-0.326,18.6,20.84,01a58015o0295o,0.2222222222222222
58015.363914,-21.155,1.75,-12,22,o,0,0.82,313.22651,-14.84044,9437.48,6389.37,5.94,4.46,-1.5,-0.315,18.75,20.89,01a58015o0312o,-0.5454545454545454
58015.37174,-21.576,2.0,-8,17,o,0,1.11,313.22651,-14.84044,9420.4,6505.98,4.29,3.63,-76.1,-0.386,19.04,20.89,01a58015o0329o,-0.47058823529411764
58017.344632,-23.007,3.812,-2,9,c,0,1.12,313.22651,-14.84044,131.36,5815.65,2.8,2.4,27.2,-0.391,19.61,21.49,02a58017o0143c,-0.2222222222222222
58017.35248,-23.231,4.5,-2,8,c,0,1.23,313.22651,-14.84044,114.6,5775.94,2.68,2.3,22.9,-0.392,19.64,21.45,02a58017o0160c,-0.25
58017.35707,-21.59,1.358,-8,11,c,0,0.78,313.22651,-14.84044,9802.9,5831.52,2.59,2.54,-62.5,-0.461,19.66,21.46,02a58017o0170c,-0.7272727272727273
58017.361242,-22.101,1.886,-5,10,c,0,0.93,313.22651,-14.84044,173.7,5854.51,2.83,2.51,29.6,-0.402,19.62,21.44,02a58017o0179c,-0.5
58017.364909,20.768,0.605,18,11,c,0,0.86,313.22651,-14.84044,9786.37,5792.7,2.52,2.46,-44.3,-0.469,19.69,21.44,02a58017o0187c,1.6363636363636365
58017.369058,-21.912,1.48,-6,9,c,0,1.11,313.22651,-14.84044,195.39,5737.45,2.57,2.19,19.6,-0.411,19.66,21.4,02a58017o0196c,-0.6666666666666666
58017.373659,-20.697,0.656,-19,12,c,0,0.72,313.22651,-14.84044,9846.37,5869.43,2.53,2.46,-16.9,-0.469,19.67,21.4,02a58017o0206c,-1.5833333333333333
58017.38147,25.201,33.0,0,10,c,0,1.04,313.22651,-14.84044,9868.23,5751.99,2.54,2.43,-15.5,-0.471,19.67,21.38,02a58017o0223c,0.0
58019.348138,23.415,9.857,2,15,o,0,1.08,313.22651,-14.84044,1372.98,6615.09,3.46,2.82,-89.8,-0.429,19.23,20.8,01a58019o0166o,0.13333333333333333
58019.355927,20.27,0.63,28,18,o,0,0.79,313.22651,-14.84044,1392.93,6653.85,3.98,3.33,-89.6,-0.403,19.05,20.82,01a58019o0183o,1.5555555555555556
58019.363718,21.601,1.75,8,14,o,0,1.26,313.22651,-14.84044,1334.33,6576.17,3.62,2.92,89.5,-0.424,19.21,20.82,01a58019o0200o,0.5714285714285714
58019.371507,-20.706,0.792,-19,15,o,0,1.14,313.22651,-14.84044,1317.27,6692.41,3.73,3.03,88.3,-0.418,19.17,20.81,01a58019o0217o,-1.2666666666666666
58021.350842,-24.276,11.667,-1,8,c,0,1.0,313.22651,-14.84044,2845.41,7078.36,2.38,2.28,21.8,-0.444,19.73,21.42,02a58021o0292c,-0.125
58021.35875,22.413,2.344,4,9,c,0,1.32,313.22651,-14.84044,2809.95,7039.65,2.44,2.31,23.7,-0.444,19.71,21.4,02a58021o0309c,0.4444444444444444
58021.367076,-21.347,0.742,-10,8,c,0,1.47,313.22651,-14.84044,2886.67,7116.85,2.38,2.26,22.3,-0.447,19.69,21.4,02a58021o0327c,-1.25
58021.375372,23.174,5.062,2,10,c,0,0.89,313.22651,-14.84044,2907.93,6999.51,2.4,2.31,18.7,-0.445,19.72,21.38,02a58021o0345c,0.2
58023.301331,20.416,0.718,25,18,o,0,1.25,313.22651,-14.84044,10387.39,3069.27,3.68,2.8,-83.3,-0.436,19.11,20.29,01a58023o0108o,1.3888888888888888
58023.309134,22.087,3.75,5,20,o,0,0.76,313.22651,-14.84044,10410.64,3139.61,3.66,2.75,-84.3,-0.442,19.08,20.28,01a58023o0125o,0.25
58023.312356,24.52,34.0,1,19,o,0,0.78,313.22651,-14.84044,705.56,3210.93,3.21,2.58,81.3,-0.474,19.14,20.33,01a58023o0132o,0.05263157894736842
58023.316955,-20.224,0.526,-30,16,o,0,1.28,313.22651,-14.84044,10356.94,3093.54,3.69,2.74,-84.1,-0.435,19.13,20.31,01a58023o0142o,-1.875
58023.320194,-20.398,0.624,-25,16,o,0,2.44,313.22651,-14.84044,729.51,3280.21,3.25,2.57,84.9,-0.469,19.13,20.35,01a58023o0149o,-1.5625
58023.324784,-22.64,5.714,-3,18,o,0,1.1,313.22651,-14.84044,10341.3,3241.98,3.8,2.74,-84.2,-0.444,19.07,20.31,01a58023o0159o,-0.16666666666666666
58023.328016,-22.164,3.8,-5,19,o,0,0.88,313.22651,-14.84044,675.67,3235.45,3.41,2.58,84.0,-0.46,19.07,20.35,01a58023o0166o,-0.2631578947368421
58023.335827,20.224,0.685,30,20,o,0,0.7,313.22651,-14.84044,662.01,3383.74,3.49,2.64,85.0,-0.462,19.08,20.36,01a58023o0183o,1.5
58029.319841,23.578,13.643,1,18,o,0,1.74,313.22651,-14.84044,1853.84,5715.79,2.12,1.86,34.2,-0.49,18.65,18.99,02a58029o0263o,0.05555555555555555
58029.3272,-22.01,4.556,-6,26,o,0,0.79,313.22651,-14.84044,1837.15,5676.52,2.16,2.0,31.2,-0.49,18.65,18.99,02a58029o0279o,-0.23076923076923078
58029.335037,-19.874,0.613,-41,25,o,0,1.06,313.22651,-14.84044,1913.2,5753.93,2.05,1.83,33.5,-0.514,18.66,18.97,02a58029o0296o,-1.64
58029.342398,-20.454,1.042,-24,25,o,0,1.53,313.22651,-14.84044,1932.79,5637.51,2.37,2.23,39.5,-0.478,18.46,18.95,02a58029o0312o,-0.96
58031.359273,19.784,1.429,44,63,o,0,1.17,313.22651,-14.84044,9409.91,6632.66,3.98,3.34,-85.7,-0.397,18.13,18.93,01a58031o0351o,0.6984126984126984
58031.3668,20.211,2.526,30,76,o,0,0.93,313.22651,-14.84044,9429.56,6700.36,3.83,3.14,-84.6,-0.416,18.18,18.86,01a58031o0367o,0.39473684210526316
58031.374876,19.508,4.864,57,278,o,0,0.99,313.22651,-14.84044,9373.2,6651.95,3.96,3.25,-82.9,-0.447,17.31,18.04,01a58031o0384o,0.20503597122302158
58031.382345,-18.646,3.849,-126,486,o,0,1.26,313.22651,-14.84044,9355.17,6795.03,3.9,3.06,-87.5,-0.491,17.1,18.15,01a58031o0400o,-0.25925925925925924
58033.300896,0.0,20.511,0,23,o,0,1.2,313.22651,-14.84044,961.95,6889.08,2.4,2.22,35.5,-0.458,18.83,19.43,02a58033o0210o,0.0
58039.297124,-22.108,3.083,-5,16,o,0,1.1,313.22651,-14.84044,8700.25,3433.56,3.31,2.98,-84.6,-0.428,19.19,20.67,01a58039o0146o,-0.3125
58039.30448,-21.015,1.288,-14,18,o,0,0.91,313.22651,-14.84044,8721.92,3501.96,3.54,3.14,-85.7,-0.414,19.09,20.55,01a58039o0162o,-0.7777777777777778
58039.31232,22.009,2.875,6,16,o,0,1.13,313.22651,-14.84044,8667.53,3455.63,3.46,3.16,-84.0,-0.413,19.08,20.49,01a58039o0179o,0.375
58039.320135,22.474,4.824,4,18,o,0,1.37,313.22651,-14.84044,8651.26,3602.53,3.43,2.86,-84.9,-0.428,19.08,20.38,01a58039o0196o,0.2222222222222222
58043.291965,-20.168,0.899,-31,28,o,0,1.13,313.22651,-14.84044,6930.96,5053.01,3.4,2.93,-78.5,-0.428,18.39,19.79,01a58043o0217o,-1.1071428571428572
