MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs,snr
57245.444433,20.716,0.88,19,16,c,0,1.12,313.22651,-14.84044,9520.0,2133.86,3.88,3.6,37.3,-0.458,19.47,21.28,02a57245o0284c,1.1875
57288.280434,19.5,0.94,58,54,o,0,0.98,313.22651,-14.84044,9275.27,9937.47,4.51,3.64,-84.6,-0.489,18.31,19.23,02a57288o0110o,1.0740740740740742
57288.28106,-18.884,0.583,-102,59,o,0,0.85,313.22651,-14.84044,702.78,145.82,5.05,3.28,-21.3,-0.468,18.34,19.29,02a57288o0111o,-1.728813559322034
57288.303703,18.99,0.519,92,48,o,0,1.3,313.22651,-14.84044,1291.06,670.04,5.21,3.36,-20.6,-0.493,18.35,19.31,02a57288o0145o,1.9166666666666667
57288.311172,-19.977,1.5,-37,56,o,0,0.97,313.22651,-14.84044,690.56,156.5,5.19,3.29,-19.8,-0.47,18.38,19.38,02a57288o0156o,-0.6607142857142857
57288.343513,-20.147,1.571,-32,50,o,0,1.0,313.22651,-14.84044,9510.76,2144.17,4.54,3.67,27.5,-0.538,18.38,19.44,02a57288o0203o,-0.64
57288.349077,20.625,2.167,20,44,o,0,1.35,313.22651,-14.84044,9510.54,2138.08,4.53,3.7,30.3,-0.543,18.38,19.43,02a57288o0212o,0.45454545454545453
57297.366457,-19.912,0.853,-39,34,o,0,1.51,313.22651,-14.84044,9494.22,2136.54,4.68,3.88,30.6,-0.53,18.71,20.0,02a57297o0102o,-1.1470588235294117
57298.282567,-19.699,0.676,-48,32,o,0,0.95,313.22651,-14.84044,1269.77,664.44,5.68,3.34,-17.7,-0.455,18.97,20.58,02a57298o0126o,-1.5
57298.288385,-20.084,0.926,-34,31,o,0,1.15,313.22651,-14.84044,9845.86,10456.25,4.8,3.92,-77.9,-0.479,18.95,20.53,02a57298o0135o,-1.096774193548387
57298.299902,-19.126,0.385,-81,31,o,0,0.97,313.22651,-14.84044,1269.59,667.04,5.5,3.32,-17.6,-0.452,19.01,20.65,02a57298o0153o,-2.6129032258064515
57298.307079,-22.179,7.0,-5,34,o,0,1.15,313.22651,-14.84044,9844.07,10458.09,4.81,3.9,-77.4,-0.486,19.0,20.62,02a57298o0164o,-0.14705882352941177
57298.336427,22.18,6.25,5,30,o,0,1.05,313.22651,-14.84044,9489.94,2139.6,4.77,4.05,31.0,-0.526,19.03,20.67,02a57298o0209o,0.16666666666666666
57298.36303,-20.368,1.273,-26,33,o,0,1.02,313.22651,-14.84044,9490.1,2141.55,4.73,4.02,30.8,-0.511,18.87,20.35,02a57298o0249o,-0.7878787878787878
57299.253127,-20.045,4.222,-35,147,o,0,0.84,313.22651,-14.84044,9312.28,9935.04,4.36,3.64,-84.5,-0.473,17.52,19.04,02a57299o0094o,-0.23809523809523808
57299.257666,16.147,0.56,1263,707,o,0,1.07,313.22651,-14.84044,736.58,145.24,4.44,3.42,-52.3,-0.516,15.47,16.91,02a57299o0100o,1.7864214992927865
57304.270601,21.104,2.625,13,34,c,0,0.9,313.22651,-14.84044,1276.0,658.08,5.41,3.87,-23.6,-0.479,18.94,20.87,02a57304o0112c,0.38235294117647056
57304.271232,-22.434,6.0,-4,23,c,0,1.21,313.22651,-14.84044,1276.16,658.27,5.23,3.87,-25.4,-0.491,19.24,21.21,02a57304o0113c,-0.17391304347826086
57304.278863,-19.705,0.742,-48,35,c,0,1.04,313.22651,-14.84044,9845.26,10454.72,5.02,4.26,80.5,-0.411,19.02,21.03,02a57304o0125c,-1.3714285714285714
57304.289689,20.766,5.0,18,90,c,0,1.03,313.22651,-14.84044,1275.51,659.96,3.82,3.23,-32.3,-0.486,17.57,19.72,02a57304o0141c,0.2
57304.298102,21.551,4.833,9,42,c,0,0.94,313.22651,-14.84044,9843.41,10456.88,5.11,4.2,80.1,-0.392,19.05,21.09,02a57304o0150c,0.21428571428571427
57304.314648,19.754,0.619,46,28,c,0,0.88,313.22651,-14.84044,9495.99,2139.02,4.84,3.64,68.2,-0.456,19.24,21.24,02a57304o0173c,1.6428571428571428
57304.343231,-19.31,0.424,-69,29,c,0,0.93,313.22651,-14.84044,9497.28,2139.97,4.58,3.18,89.4,-0.451,19.17,21.17,02a57304o0216c,-2.3793103448275863
57308.265152,-20.733,1.462,-18,27,c,0,1.01,313.22651,-14.84044,1329.83,664.56,6.14,4.23,-21.8,-0.459,19.3,21.26,02a57308o0105c,-0.6666666666666666
57308.273454,-22.51,7.333,-4,26,c,0,1.04,313.22651,-14.84044,9899.47,10460.03,5.34,4.72,-88.9,-0.374,19.16,21.2,02a57308o0118c,-0.15384615384615385
57308.282405,-19.969,0.593,-37,22,c,0,1.3,313.22651,-14.84044,1329.67,666.56,6.11,4.15,-23.4,-0.455,19.31,21.23,02a57308o0132c,-1.6818181818181819
57308.29135,21.499,3.0,9,27,c,0,0.93,313.22651,-14.84044,9900.02,10463.93,4.94,4.18,-89.8,-0.413,19.29,21.16,02a57308o0146c,0.3333333333333333
57308.315469,-22.15,5.0,-5,25,c,0,0.92,313.22651,-14.84044,9550.43,2144.87,5.34,4.59,31.5,-0.413,19.25,21.19,02a57308o0183c,-0.2
57308.335657,-20.639,1.176,-20,24,c,0,1.07,313.22651,-14.84044,9547.39,2144.75,5.16,4.3,28.0,-0.445,19.25,21.12,02a57308o0213c,-0.8333333333333334
57309.299982,-22.183,5.6,-5,27,c,0,1.22,313.22651,-14.84044,9889.4,10470.0,4.72,4.23,86.7,-0.399,19.26,21.11,02a57309o0083c,-0.18518518518518517
57309.342103,-21.299,2.1,-11,23,c,0,0.96,313.22651,-14.84044,9545.8,2151.59,4.95,4.08,30.0,-0.445,19.32,21.18,02a57309o0094c,-0.4782608695652174
57311.264718,18.331,0.321,169,54,c,0,0.59,313.22651,-14.84044,1313.61,672.36,6.73,3.83,-17.0,-0.409,19.18,20.99,02a57311o0123c,3.1296296296296298
57311.273097,21.049,1.917,14,26,c,0,1.17,313.22651,-14.84044,9882.94,10468.9,5.03,4.3,83.6,-0.427,19.17,20.97,02a57311o0136c,0.5384615384615384
57311.283391,18.606,0.313,131,41,c,0,0.93,313.22651,-14.84044,1315.71,670.76,6.71,4.1,-20.7,-0.455,19.2,21.06,02a57311o0152c,3.1951219512195124
57311.292436,20.108,0.828,33,27,c,0,1.25,313.22651,-14.84044,9885.67,10468.36,5.04,4.21,-86.6,-0.415,19.17,21.0,02a57311o0166c,1.2222222222222223
57311.311962,-19.566,0.488,-54,26,c,0,0.98,313.22651,-14.84044,9535.87,2150.17,5.45,4.37,30.6,-0.464,19.24,21.1,02a57311o0196c,-2.076923076923077
57311.336272,22.391,6.333,4,25,c,0,1.0,313.22651,-14.84044,9533.64,2151.12,5.57,4.43,30.9,-0.445,19.2,21.07,02a57311o0232c,0.16
57321.234388,21.058,5.2,14,71,o,0,0.89,313.22651,-14.84044,9927.72,10467.46,4.74,3.88,86.5,-0.529,18.04,18.82,02a57321o0077o,0.19718309859154928
57321.249838,18.707,0.527,120,63,o,0,1.19,313.22651,-14.84044,9925.62,10469.98,4.72,3.82,-89.8,-0.552,18.05,18.83,02a57321o0101o,1.9047619047619047
57322.289128,18.87,0.938,103,96,o,0,1.1,313.22651,-14.84044,1380.05,687.88,7.34,4.5,-24.2,-0.461,17.92,18.69,02a57322o0240o,1.0729166666666667
57322.306545,18.197,0.535,191,102,o,0,1.0,313.22651,-14.84044,1380.74,686.86,6.92,4.16,-23.2,-0.405,17.89,18.59,02a57322o0267o,1.8725490196078431
57322.334463,19.038,1.127,88,99,o,0,1.03,313.22651,-14.84044,9601.33,2165.87,5.49,4.38,27.0,-0.485,17.68,18.26,02a57322o0310o,0.8888888888888888
57325.20917,-20.722,3.222,-19,60,o,0,0.93,313.22651,-14.84044,1404.35,692.67,7.28,4.07,-15.5,-0.357,18.68,20.16,02a57325o0048o,-0.31666666666666665
57325.226979,20.167,1.923,31,60,o,0,0.96,313.22651,-14.84044,1411.27,691.86,7.54,4.6,-16.1,-0.339,18.57,20.1,02a57325o0076o,0.5166666666666667
57325.233348,-19.815,1.156,-43,50,o,0,1.02,313.22651,-14.84044,9983.67,10486.16,4.97,3.98,84.4,-0.478,18.6,20.13,02a57325o0086o,-0.86
57325.251105,17.382,0.615,405,249,o,0,0.95,313.22651,-14.84044,9989.13,10487.97,4.76,3.69,85.3,-0.44,17.13,18.64,02a57325o0114o,1.6265060240963856
57329.213766,-19.468,1.186,-59,70,o,0,0.92,313.22651,-14.84044,9992.77,10493.26,4.39,3.91,64.3,-0.496,18.6,20.05,02a57329o0026o,-0.8428571428571429
57329.216308,-21.357,10.25,-10,107,o,0,1.25,313.22651,-14.84044,1420.35,698.98,6.11,3.49,-11.6,-0.39,18.1,19.51,02a57329o0030o,-0.09345794392523364
57329.231477,19.041,0.643,88,56,o,0,1.24,313.22651,-14.84044,9988.66,10491.96,4.71,3.96,69.8,-0.473,18.48,19.93,02a57329o0054o,1.5714285714285714
57329.246646,21.108,3.25,13,42,o,0,1.0,313.22651,-14.84044,9639.23,2172.17,5.41,4.0,22.3,-0.496,18.65,20.18,02a57329o0078o,0.30952380952380953
57329.26369,20.479,1.786,23,42,o,0,0.93,313.22651,-14.84044,9642.43,2173.03,5.52,4.4,24.3,-0.504,18.69,20.24,02a57329o0105o,0.5476190476190477
57332.32392,20.307,1.312,27,36,c,0,1.12,313.22651,-14.84044,9648.62,2178.17,5.09,4.82,3.6,-0.377,18.6,20.5,02a57332o0073c,0.75
57333.214076,21.115,1.75,13,23,c,0,1.05,313.22651,-14.84044,1423.6,699.14,5.22,3.96,-31.4,-0.447,19.26,21.02,02a57333o0055c,0.5652173913043478
57333.225916,20.389,1.321,25,34,c,0,0.94,313.22651,-14.84044,9992.69,10492.91,4.33,4.25,-17.4,-0.385,19.23,21.0,02a57333o0072c,0.7352941176470589
57333.230722,20.393,1.0,25,25,c,0,0.94,313.22651,-14.84044,1424.24,699.96,5.61,4.34,-30.2,-0.396,19.22,21.08,02a57333o0079c,1.0
57333.245322,-20.21,1.029,-30,31,c,0,0.96,313.22651,-14.84044,9993.17,10494.33,4.23,4.16,-17.9,-0.393,19.25,21.08,02a57333o0100c,-0.967741935483871
57333.2681,22.859,7.667,3,20,c,0,0.77,313.22651,-14.84044,9645.05,2175.19,4.18,4.02,21.4,-0.421,19.32,21.18,02a57333o0133c,0.15
57333.290187,22.096,4.0,5,21,c,0,0.98,313.22651,-14.84044,9646.64,2174.62,4.17,4.02,24.3,-0.414,19.24,21.03,02a57333o0165c,0.23809523809523808
57337.20225,20.215,20.5,30,610,o,0,1.16,313.22651,-14.84044,9993.12,10495.62,4.07,3.94,-4.9,-0.482,15.61,16.81,02a57337o0032o,0.04918032786885246
57353.254146,-19.806,2.333,-43,101,o,0,1.17,313.22651,-14.84044,1430.89,699.27,5.99,4.05,-29.1,-0.509,17.78,18.62,02a57353o0129o,-0.42574257425742573
57354.225049,-20.633,3.167,-20,64,o,0,0.96,313.22651,-14.84044,1428.45,705.07,5.56,3.95,-33.2,-0.503,18.35,19.8,02a57354o0085o,-0.3125
