id,ra,dec,gmag,rmag,imag,zmag,ndet,mjd,deltamjd,class_star,sep_as
124093_8714,313.2294734287209,-14.839216754715396,21.4375,99.99,99.99,99.99,1,57523.34273285791,0.0,0.010315,11.213394925636605
124093_8705,313.22606102720385,-14.843940063291956,21.9375,20.1875,99.99,99.99,2,57523.34498520638,0.004505,0.241333,12.696722215396449
124093_4,313.2253778124674,-14.836908422984528,17.671875,17.248686,99.99,99.99,3,57288.01796564305,705.98334,0.985677,13.310175707511902
124093_11411,313.22793218852786,-14.83674494585858,99.99,23.0625,99.99,99.99,1,57523.347237554844,0.0,0.594727,14.193038461459231
124093_8744,313.22279137546104,-14.83866740329221,23.46875,22.6875,99.99,99.99,2,57523.34498520638,0.004505,0.452026,14.428422532744555
124093_11396,313.2215012046383,-14.84301544976642,99.99,22.953125,99.99,99.99,1,57523.347237554844,0.0,0.876465,19.74260426592025
124093_8722,313.2229377511108,-14.84476871400287,22.859375,22.03125,99.99,99.99,2,57523.34498520638,0.004505,0.695557,19.934168673705507
