ra,dec,mjd,glon,glat,elon,elat,pix,raerr,decerr,pmra,pmdec,pmraerr,pmdecerr,deltamjd,umag,urms,uerr,uasemi,ubsemi,utheta,gmag,grms,gerr,gasemi,gbsemi,gtheta,rmag,rrms,rerr,rasemi,rbsemi,rtheta,imag,irms,ierr,iasemi,ibsemi,itheta,zmag,zrms,zerr,zasemi,zbsemi,ztheta,ymag,yrms,yerr,yasemi,ybsemi,ytheta,vrmag,vrrms,vrerr,vrasemi,vrbsemi,vrtheta,asemi,asemierr,bsemi,bsemierr,theta,thetaerr,fwhm,class_star,ebv,rmsvar,madvar,iqrvar,etavar,jvar,kvar,chivar,romsvar,nsigvar,htm9,ring256,nest4096,random_id,ndet,nphot,ndetu,nphotu,ndetg,nphotg,ndetr,nphotr,ndeti,nphoti,ndetz,nphotz,ndety,nphoty,ndetvr,nphotvr,flags,variable10sig,parent,id,sep_as
313.2294734287209,-14.839216754715395,57523.34273285791,32.58264882923885,-33.48617983077063,311.5103830330821,2.589895835948031,124093,0.068176,0.06781,,,,,0.0,99.99,,9.99,,,,21.4375,,0.031097,1.048828,0.885254,18.3125,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,1.048828,0.030533,0.885254,0.025772,18.3125,73.8125,3.466797,0.010315,0.058828,,,,,,,,,,3111556,494971,200428530,20.89154,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,124093_8714,11.21336810131409
313.22606102720385,-14.843940063291955,57523.34498520638,32.5758910917831,-33.484986402747076,311.5059168329409,2.5862511350869237,124093,0.01844,0.018226,7098319.0,4160401.2,6408228.5,6376546.0,0.004505,99.99,,9.99,,,,21.9375,,0.050415,0.818359,0.667969,51.0,20.1875,,0.013084,1.050781,0.805664,50.9375,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,0.93457,0.018158,0.736816,0.01445,50.96875,27.90863,2.044922,0.241333,0.058751,,,,,,,,,,3111556,494971,200428530,79.71318,2,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,124093_8705,12.696723771481446
313.2253778124674,-14.836908422984528,57288.01796564305,32.58334407670639,-33.481633825558525,311.50720032079835,2.5931963599413344,124093,0.009777,0.009412,-19.476664,-28.094105,12.909789,12.934954,705.98334,99.99,,9.99,,,,17.671875,,0.002914,0.918457,0.900879,65.75,17.248686,0.010161,0.001872,0.894775,0.848145,114.0,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,0.902669,0.001722,0.865723,0.001609,97.916664,29.428522,1.398763,0.985677,0.058938,0.010161,0.011583,0.005791,0.845854,-0.420549,0.768842,0.508069,1.104854,1.650145,3111556,494971,200428536,30.048538,3,3,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,124093_4,13.31016618473353
313.22793218852786,-14.836744945858579,57523.347237554844,32.58468015404946,-33.48384333498844,311.5096230007264,2.5926802588613227,124093,0.165161,0.165039,,,,,0.0,99.99,,9.99,,,,99.99,,9.99,,,,23.0625,,0.121765,0.523926,0.444824,7.175781,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,0.523926,0.048859,0.444824,0.041931,7.175781,81.875,2.212891,0.594727,0.058906,,,,,,,,,,3111556,494971,200428536,8.72918,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,124093_11411,14.19302371796926
313.22279137546104,-14.83866740329221,57523.34498520638,32.58023239303123,-33.480018567802674,311.50431226027314,2.592185843598735,124093,0.080453,0.080442,-4508229.0,1253631.1,16048284.0,16035651.0,0.004505,99.99,,9.99,,,,23.46875,,0.111267,0.466309,0.397217,89.75,22.6875,,0.073059,0.533203,0.494873,35.78125,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,0.499756,0.030906,0.446045,0.027451,62.765625,22.486526,2.290039,0.452026,0.058938,,,,,,,,,,3111556,494971,200428536,67.14415,2,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,124093_8744,14.428374964845856
