objID,raMean,decMean,nDetections,gMeanPSFMag,rMeanPSFMag,iMeanPSFMag,zMeanPSFMag,yMeanPSFMag,iMeanPSFMagErr,qualityFlag,objInfoFlag,sep_as
90193132266371882,313.22662525,-14.84052305,2,-999.0,-999.0,21.30120086669922,-999.0,-999.0,0.2204899936914444,32,268959744,0.5002382026299553
90193132262100609,313.22621052,-14.84145899,1,-999.0,-999.0,22.24139976501465,-999.0,-999.0,-999.0,32,268959744,3.8135287790546095
90193132276790967,313.22767974,-14.84115485,1,-999.0,-999.0,21.20989990234375,-999.0,-999.0,0.2716419994831085,32,268959744,4.815852916065786
90193132279592155,313.22795462,-14.8401703,1,-999.0,-999.0,21.786800384521484,-999.0,-999.0,0.3161939978599548,32,268959744,5.120054728567006
90193132283061167,313.22830736,-14.84099299,1,-999.0,-999.0,21.24090003967285,-999.0,-999.0,0.25416100025177,32,268959744,6.563832477495145
90193132247370362,313.22473695,-14.84166462,1,-999.0,-999.0,21.413799285888672,-999.0,-999.0,0.2415390014648437,32,268959744,7.583251350003833
90193132288961978,313.22889105,-14.84033001,1,-999.0,-999.0,21.34600067138672,-999.0,-999.0,0.2020229995250702,32,268959744,8.295305623970735
90193132244360123,313.22443652,-14.84185932,1,-999.0,-999.0,21.23590087890625,-999.0,-999.0,0.2757090032100677,32,268959744,8.841461009018749
90183132279958952,313.2279899,-14.84285136,1,-999.0,-999.0,21.64739990234375,-999.0,-999.0,0.2526940107345581,32,268959744,10.093546656608659
90193132293573180,313.2294108177818,-14.83925434446752,12,-999.0,21.94529914855957,21.342199325561523,20.99329948425293,-999.0,0.1068980023264885,53,444915712,10.959917361675846
90193132293963585,313.229454305104,-14.83908202847065,9,-999.0,22.05489921569824,21.0851993560791,-999.0,-999.0,0.0727280005812645,37,310697984,11.352463660562586
90183132259987781,313.2260501597405,-14.843941001080912,69,22.098499298095703,20.732799530029297,20.005300521850582,19.77389907836914,19.47209930419922,0.0280000008642673,53,444915712,12.704782015519818
90193132253916102,313.2253749938317,-14.836904295504986,87,17.69930076599121,17.211000442504883,17.013200759887695,16.931400299072266,16.874399185180664,0.0035260000731796,60,503635968,13.32726356927581
90183132241658320,313.22415934,-14.84336635,1,-999.0,-999.0,21.485200881958008,-999.0,-999.0,0.2146780043840408,32,268959744,13.337812180981379
90183132257287417,313.22572653,-14.84411854,1,-999.0,-999.0,20.25979995727539,-999.0,-999.0,0.0920270010828971,32,268959744,13.520487105590856
90183132291618499,313.22916143,-14.843212,1,-999.0,-999.0,20.807199478149418,-999.0,-999.0,0.1696909964084625,32,268959744,13.591075424943893
90193132278966140,313.2278763,-14.83675628,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,48,404226048,14.087966644264235
90193132227943947,313.22279472,-14.83867708,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,48,404226048,14.4025528523993
