mjd,band,psfFlux_nJy,psfFluxErr_nJy,mag_AB,magerr,ra,dec,reliability,snr
61218.2695440476,z,4475.477,283.8299,22.272901676050108,0.06885391711989583,313.2265041472,-14.8404309242,0.9991068,15.238092
61218.2978474939,i,5706.047,246.7469,22.00916163858634,0.04694898400416261,313.226516087,-14.840443985,0.9992648,22.775225
61228.3261029289,i,11122.224,225.18933,21.28452090635578,0.02198193954563404,313.2265050633,-14.8404353045,0.99999714,48.046688
61228.3519940633,z,7781.5557,378.27515,21.67233392385472,0.05277779228066183,313.226510862,-14.8404325263,0.99995434,20.266766
61235.247396713,i,11549.319,269.96924,21.243609057451565,0.02537860490891282,313.2265018607,-14.8404326012,0.9999938,41.905544
