objID,RAJ2000,DEJ2000,FW1,FW2,e_FW1,e_FW2,sep_as
3130m152o0020630,313.2260233,-14.8439462,551.91,613.276,9.31572,33.7452,12.735440636629235
3130m152o0048340,313.2297639,-14.8400942,86.4288,0.0,8.3826,0.0,11.391527386988075
3130m152o0020770,313.2254057,-14.8369411,679.434,647.172,9.6242,33.9815,13.169210577976154
