ra,dec,id,otype,catalog,source_id,pulled_utc
262.59125,-5.992222,V2731_Oph,NL,ritter_kolb,,2026-06-01T01:35:02Z
260.273333,23.661111,V478_Her_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
283.015,-1.4775,CI_Aql_1,Nr,ritter_kolb,,2026-06-01T01:35:02Z
202.831667,-54.976111,BV_Cen_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
292.711667,5.516111,J1930+0530,CV,ritter_kolb,,2026-06-01T01:35:02Z
254.87625,-12.890833,V841_Oph_1,Nb,ritter_kolb,,2026-06-01T01:35:02Z
4.737083,34.912222,V479_And,NL,ritter_kolb,,2026-06-01T01:35:02Z
338.9525,52.716667,DI_Lac_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
305.061667,21.1025,V_Sge_1,SS,ritter_kolb,,2026-06-01T01:35:02Z
297.947917,37.28,V2690_Cyg,NL,ritter_kolb,,2026-06-01T01:35:02Z
116.63,-12.9525,UY_Pup_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
265.173333,-53.671944,NGC_6397-CV1,,ritter_kolb,,2026-06-01T01:35:02Z
171.21625,-35.910556,V442_Cen_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
298.653333,32.365278,EY_Cyg_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
166.428333,-68.632778,QU_Car_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
86.692917,-71.148333,CAL_87,SS,ritter_kolb,,2026-06-01T01:35:02Z
352.444583,43.751111,DX_And_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
268.972083,-28.276111,J1755-2816,CV,ritter_kolb,,2026-06-01T01:35:02Z
162.902917,-51.460833,J1051-6127,DN,ritter_kolb,,2026-06-01T01:35:02Z
340.919583,30.922222,V537_Peg,DN,ritter_kolb,,2026-06-01T01:35:02Z
153.993333,-47.969722,KO_Vel_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
325.432917,42.841389,Q_Cyg_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
143.062083,49.848333,0928+5004,NL,ritter_kolb,,2026-06-01T01:35:02Z
198.21875,-63.395833,WX_Cen_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
75.614583,24.756389,V1062_Tau_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
310.0375,-0.871111,AE_Aqr_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
237.060833,-45.477778,NY_Lup,NL,ritter_kolb,,2026-06-01T01:35:02Z
10.833333,41.229444,J0043+4113,N,ritter_kolb,,2026-06-01T01:35:02Z
269.030417,-27.813333,J1756-2748,DN,ritter_kolb,,2026-06-01T01:35:02Z
81.95375,-69.9025,J0527-6954,SS,ritter_kolb,,2026-06-01T01:35:02Z
116.57125,-16.191111,J0746-1611,NL,ritter_kolb,,2026-06-01T01:35:02Z
135.264167,17.898889,SY_Cnc_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
97.4775,-3.589167,J0629-0335,DN,ritter_kolb,,2026-06-01T01:35:02Z
164.484583,9.387222,IU_Leo,DN,ritter_kolb,,2026-06-01T01:35:02Z
262.640833,-46.099722,AT_Ara_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
333.510833,12.703056,RU_Peg_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
101.872083,49.840833,J0647+4950,DN,ritter_kolb,,2026-06-01T01:35:02Z
177.804167,-62.624722,V1375_Cen,N?,ritter_kolb,,2026-06-01T01:35:02Z
341.8,-42.744167,RZ_Gru_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
267.4775,-29.726389,J1749-2943,NL,ritter_kolb,,2026-06-01T01:35:02Z
82.141667,33.306389,QZ_Aur_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
144.957083,-32.439444,J0939-3226,NL,ritter_kolb,,2026-06-01T01:35:02Z
344.199167,-27.723611,J2256-2743,DN,ritter_kolb,,2026-06-01T01:35:02Z
217.627083,-25.877222,GY_Hya_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
264.9875,-24.785278,V2677_Oph,N,ritter_kolb,,2026-06-01T01:35:02Z
151.7525,67.546389,CH_UMa_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
183.224583,-44.471111,MU_Cen_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
96.943333,1.803056,V902_Mon,NL,ritter_kolb,,2026-06-01T01:35:02Z
100.946667,-2.020833,BT_Mon_1,Na,ritter_kolb,,2026-06-01T01:35:02Z
78.9225,1.077778,V1309_Ori_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
129.704583,-48.523611,J0838-4831,NL,ritter_kolb,,2026-06-01T01:35:02Z
98.054583,25.606389,J0632+2536,DN,ritter_kolb,,2026-06-01T01:35:02Z
164.735,-29.244722,V392_Hya_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
53.065,58.789444,AF_Cam_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
83.389583,36.992222,V363_Aur_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
107.890417,0.868056,HQ_Mon_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
315.758333,48.764722,V2275_Cyg,Na,ritter_kolb,,2026-06-01T01:35:02Z
56.298333,53.5875,J0345+5335,CV,ritter_kolb,,2026-06-01T01:35:02Z
320.936667,42.300556,V2069_Cyg_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
279.102917,-23.91,J1836-2354,DN,ritter_kolb,,2026-06-01T01:35:02Z
