ra,dec,mjd,mag_auto,filter,fwhm,class_star,objectid,measid,exposure
256.62886135229775,-26.930956709290673,57084.35139210569,17.439499,r,2.418461,0.898134,142957_94074,c4d.417636.45.25898,c4d_150303_082805_ooi_r_v1
256.62846176312047,-26.93349823029496,57084.35139210569,20.84597,r,1.208552,0.938264,142957_93890,c4d.417636.45.25912,c4d_150303_082805_ooi_r_v1
256.6284347117512,-26.92341529943048,57084.35139210569,18.483273,r,1.569633,0.982426,142957_94612,c4d.417636.45.25925,c4d_150303_082805_ooi_r_v1
256.6286701918481,-26.93229560386993,57084.35139210569,21.589138,r,1.808484,0.784477,142957_93972,c4d.417636.45.25998,c4d_150303_082805_ooi_r_v1
256.62848179495876,-26.929541031034784,57084.35139210569,20.446934,r,1.104188,0.893659,142957_94184,c4d.417636.45.26014,c4d_150303_082805_ooi_r_v1
256.63543943281917,-26.92730403166306,58258.38775153272,19.538765,g,1.053209,0.98136,142957_94356,c4d.748676.60.5071,c4d_180520_091821_ooi_g_v1
256.6348795949031,-26.92437405412447,58258.38775153272,21.684498,g,1.147074,0.891158,142957_94553,c4d.748676.60.5196,c4d_180520_091821_ooi_g_v1
256.6344466829936,-26.926714077754255,58258.38775153272,20.810966,g,1.23164,0.975332,142957_94393,c4d.748676.60.5212,c4d_180520_091821_ooi_g_v1
256.6343685705548,-26.926111804787126,58258.38775153272,21.217842,g,1.15626,0.961943,142957_94443,c4d.748676.60.5213,c4d_180520_091821_ooi_g_v1
256.63257535897304,-26.927333025925563,58258.38775153272,20.669315,g,1.029096,0.974676,142957_94355,c4d.748676.60.5310,c4d_180520_091821_ooi_g_v1
256.6307469977498,-26.92515778808878,58258.38775153272,20.395641,g,1.607132,0.978784,142957_94503,c4d.748676.60.5311,c4d_180520_091821_ooi_g_v1
256.6334505417134,-26.92540339442062,58258.38775153272,21.526077,g,1.182928,0.933156,142957_94490,c4d.748676.60.5312,c4d_180520_091821_ooi_g_v1
