ra,dec,mjd,mag_auto,filter,fwhm,class_star,objectid,measid,exposure
256.6248201073072,-26.92633723386682,58258.38775153272,21.821087,g,1.244399,0.858127,142957_94424,c4d.748676.60.5803,c4d_180520_091821_ooi_g_v1
256.6259809352931,-26.923500316768624,58258.38775153272,20.278488,g,1.227711,0.982341,142957_94608,c4d.748676.60.5827,c4d_180520_091821_ooi_g_v1
256.6262374883665,-26.919024102957682,58258.38775153272,21.721859,g,1.086348,0.888772,142957_94912,c4d.748676.60.5828,c4d_180520_091821_ooi_g_v1
256.6258961915868,-26.921539321377427,58258.38775153272,21.376804,g,1.493818,0.921934,142957_94745,c4d.748676.60.5855,c4d_180520_091821_ooi_g_v1
256.6254889990599,-26.92094570398623,58258.38775153272,19.97577,g,1.106575,0.981787,142957_94784,c4d.748676.60.5856,c4d_180520_091821_ooi_g_v1
256.6257094681213,-26.922674362658707,58258.38775153272,21.694805,g,1.359441,0.872258,142957_94666,c4d.748676.60.5861,c4d_180520_091821_ooi_g_v1
256.62565009055123,-26.924233144249005,58258.38775153272,21.979034,g,1.141855,0.591881,142957_94557,c4d.748676.60.5870,c4d_180520_091821_ooi_g_v1
256.63104951921,-26.926802768787898,58249.41747174738,17.322971,z,1.401946,0.917942,142957_94389,c4d.745078.12.12481,c4d_180511_100109_ooi_z_v1
256.63146585646314,-26.925845682843917,58249.41747174738,18.445438,z,1.096933,0.971856,142957_94456,c4d.745078.12.12482,c4d_180511_100109_ooi_z_v1
256.6319887096742,-26.92637946836219,58249.41747174738,20.949697,z,1.217036,0.491427,142957_94416,c4d.745078.12.12484,c4d_180511_100109_ooi_z_v1
256.6321902165922,-26.920988973619206,58249.41747174738,17.076897,z,1.130444,0.982459,142957_94781,c4d.745078.12.12533,c4d_180511_100109_ooi_z_v1
256.6318537793332,-26.921765499249293,58249.41747174738,18.704306,z,1.168683,0.978157,142957_94729,c4d.745078.12.12534,c4d_180511_100109_ooi_z_v1
256.63199783469423,-26.930370288626918,58249.41747174738,19.892477,z,1.103422,0.932169,142957_94124,c4d.745078.12.12566,c4d_180511_100109_ooi_z_v1
256.6315327004491,-26.919789189889148,58249.41747174738,18.98442,z,1.213094,0.966034,142957_94862,c4d.745078.12.12585,c4d_180511_100109_ooi_z_v1
256.63093832606177,-26.920454422942644,58249.41747174738,19.62595,z,1.336743,0.940513,142957_94816,c4d.745078.12.12621,c4d_180511_100109_ooi_z_v1
256.63073796094505,-26.925164778934104,58249.41747174738,19.142496,z,1.362787,0.957354,142957_94503,c4d.745078.12.12635,c4d_180511_100109_ooi_z_v1
256.63079223509783,-26.92959464839522,58249.41747174738,19.99801,z,1.14173,0.654432,142957_94180,c4d.745078.12.12640,c4d_180511_100109_ooi_z_v1
256.63020390169464,-26.92376077248076,58249.41747174738,20.157602,z,1.107964,0.646489,142957_94590,c4d.745078.12.12658,c4d_180511_100109_ooi_z_v1
256.62988440952927,-26.928801610532474,58249.41747174738,19.944101,z,1.119859,0.555711,142957_94244,c4d.745078.12.12675,c4d_180511_100109_ooi_z_v1
256.62973008184235,-26.929295241971893,58249.41747174738,20.357733,z,1.174605,0.489629,142957_94203,c4d.745078.12.12676,c4d_180511_100109_ooi_z_v1
256.629758315738,-26.928008979088684,58249.41747174738,20.669125,z,1.122944,0.493346,142957_94299,c4d.745078.12.12688,c4d_180511_100109_ooi_z_v1
