# Subset of vw_below_ms.csv with |b|>10 deg, -0.5<G-W1 excess<1.8, w1_amp>0.15, W1<15.5 (226 rows): input to vw_pipeline.py.
designation,ra,dec,vartype,confidence,variability_snr,period1,period2,period_significance,suspect_period,w1_amp,w2_amp,n_obs,w1mag,w2mag,w3mag,jmag,hmag,kmag,gmag,bpmag,rpmag,plx,e_plx,simbad_type,known_extragalactic,blended_source,latent_artifact,cat,bprp,MG,d_ridge,env,gw1_exc,b
VarWISE J154557.26-674251.1,236.4886,-67.7142,agn,0.7322,4.797,189.0,569.0,5.616,1,0.154,0.255,338,13.854,13.733,,,,,18.08,18.88,16.48,10.6569,0.4809,,0,0.07,0.03,varwiseext,2.3999999999999986,13.218154452772511,3.4717127768100102,11.065858044543717,0.6260000000000008,-10.231658126796612
VarWISE J011601.80+102826.4,19.00754,10.474,cv,,3.657,,,,0,0.326,0.762,229,15.351,15.07,12.59,,,,19.86,20.79,18.67,3.0938,0.579,,0,0.09,0.04,varwiseext,2.1199999999999974,12.31246117560822,3.4631297584125296,10.740369646594138,1.3590000000000029,-51.92759807630974
VarWISE J153658.69-261748.4,234.24457,-26.2968,agn,0.9999,5.572,497.0,78.93,6.606,1,0.317,0.307,246,14.64,12.988,10.08,16.84,15.86,15.12,19.81,21.27,18.5,8.09,0.6273,,0,0.04,0.05,varwisepure,2.7699999999999996,14.34974260806136,3.4331563620190675,11.997196144718307,1.0149999999999988,23.36758550785675
VarWISE J172443.66-535008.8,261.18195,-53.8358,ew,0.7336,4.869,1.92695,3.76455,6.214,0,0.314,0.729,271,14.936,15.073,12.45,16.13,15.59,15.05,19.21,19.72,17.54,4.4419,0.6065,,0,0.06,0.07,varwiseext,2.1799999999999997,12.447843885496036,3.4070540138411793,10.744635067081184,1.024000000000001,-10.02836349891172
VarWISE J065235.15-294501.7,103.14649,-29.7505,yso,0.9706,4.363,0.368325,4.9667,7.178,0,0.194,0.314,322,14.253,14.008,12.63,15.63,14.84,14.36,19.94,21.37,18.41,9.7405,0.4408,,0,0.04,0.17,varwiseext,2.960000000000001,14.882906253421597,3.3737754688567243,12.34620887675162,1.247,-12.850009917846004
VarWISE J184632.62-280413.4,281.63594,-28.0704,cv,0.4232,4.202,3.7434,2.484425,6.321,0,0.157,0.292,199,13.939,13.877,11.98,14.99,14.34,14.14,17.77,18.27,16.39,5.4641,0.4842,,0,0.04,0.04,varwiseext,1.879999999999999,11.45759319444606,3.31665759630091,10.050854722691602,1.0610000000000008,-11.408184449067836
VarWISE J180029.36-012333.3,270.12237,-1.3926,cv,0.8921,5.317,54.945,278.5,4.892,0,0.166,0.284,268,13.909,13.696,11.9,15.41,14.81,14.5,20.0,21.75,18.35,15.0624,0.5003,,0,0.06,0.18,varwisepure,3.3999999999999986,15.889470883132525,3.30139760675522,13.09800666234046,1.011000000000001,10.665971568019936
VarWISE J053818.06+085433.4,84.57525,8.9093,cv,,4.424,,,,0,0.22,0.434,261,14.663,14.111,9.49,16.6,15.74,15.18,19.01,19.86,18.05,2.7908,0.2762,,0,0.05,0.12,varwiseext,1.8099999999999987,11.238643571535532,3.285309126185292,9.934642067719256,1.6820000000000035,-11.842936995348085
VarWISE J163211.80-303708.3,248.04917,-30.619,cv,,4.97,,,,0,0.416,0.995,124,15.091,15.121,12.45,16.26,15.59,15.38,19.96,21.1,18.43,5.9467,0.5798,,0,0.07,0.07,varwiseext,2.6700000000000017,13.831380148498642,3.2310473135229714,11.750793917946083,0.863999999999999,11.828199118179924
VarWISE J181720.36-382938.3,274.33486,-38.494,ew,0.8845,4.811,0.7357,0.8184,6.085,0,0.299,0.784,232,14.743,14.893,12.54,15.52,14.97,14.62,18.71,18.62,16.93,2.6886,0.3327,,0,0.05,0.11,varwiseext,1.6900000000000013,10.857630971483434,3.226788800401353,10.001293311122122,1.440749999999999,-10.402592010665769
