# Subset of vw_below_ms.csv with |b|>10 deg, -0.5<G-W1 excess<1.8, w1_amp>0.15, W1<15.5 (226 rows): input to vw_pipeline.py.
designation,ra,dec,vartype,confidence,variability_snr,period1,period2,period_significance,suspect_period,w1_amp,w2_amp,n_obs,w1mag,w2mag,w3mag,jmag,hmag,kmag,gmag,bpmag,rpmag,plx,e_plx,simbad_type,known_extragalactic,blended_source,latent_artifact,cat,bprp,MG,d_ridge,env,gw1_exc,b
VarWISE J053940.50+093254.9,84.91875,9.5486,agn,0.9571,4.745,320.0,427.5,6.625,0,0.221,0.341,249,14.445,13.983,12.54,16.1,15.33,14.86,19.59,20.6,18.31,2.8857,0.3967,,0,0.05,0.17,varwiseext,2.2900000000000027,11.891255897271812,2.4859768271494964,10.8342991231852,1.7116666666666611,-11.227605598356456
VarWISE J112014.46-474535.6,170.06026,-47.7599,cv,0.4825,4.186,0.622575,2.319925,5.331,0,0.155,0.322,337,14.049,13.976,12.49,14.94,14.37,14.65,19.85,21.56,18.39,8.7172,0.4176,,0,0.04,0.05,varwiseext,3.169999999999998,14.551885050910297,2.4598765881594584,12.75684558406448,1.0460000000000047,12.354475063635695
VarWISE J185735.79-254425.4,284.39913,-25.7404,rr,0.9775,4.473,4.282075,4.78845,6.118,0,0.233,0.6,189,14.585,14.748,11.91,15.53,14.88,14.68,18.44,18.72,17.0,2.2013,0.3447,,0,0.05,0.23,varwiseext,1.7199999999999989,10.153396167937384,2.4404404518090717,9.84881505643867,1.2950000000000017,-12.683849800889105
VarWISE J112853.53-364942.5,172.22305,-36.8285,cv,,3.44,,,,0,0.174,0.469,311,14.598,14.436,12.55,15.9,15.2,14.83,20.04,21.52,18.53,6.2808,0.5095,,0,0.06,0.19,varwiseext,2.9899999999999984,14.030074821757434,2.433304169185986,12.41103769793041,0.9570000000000008,23.16250260479865
VarWISE J160100.43-351917.7,240.25181,-35.3216,cv,0.9049,4.754,0.18435,0.944675,6.851,0,0.331,0.742,215,14.962,14.89,12.26,16.1,15.72,15.19,19.41,20.15,17.96,2.6148,0.3491,,0,0.1,0.26,varwiseext,2.1899999999999977,11.497192381469402,2.423089092441792,10.755198369568935,1.1813333333333371,13.176819334276837
VarWISE J184846.78-263818.6,282.19492,-26.6385,rr,0.7555,4.764,0.374125,1.4541,7.135,0,0.317,0.87,242,14.722,14.983,12.56,15.7,15.23,15.01,18.11,18.73,16.96,2.6984,0.2414,,0,0.06,0.1,varwiseext,1.7699999999999996,10.265531640905724,2.417707318339276,9.775771890409889,0.7717500000000004,-11.257460261374316
VarWISE J050845.65-691746.3,77.19022,-69.2962,ew,0.4673,4.727,2.448725,10.7349,6.408,0,0.168,0.254,1224,13.807,13.705,10.14,15.14,14.52,14.2,18.79,19.96,17.18,8.1724,0.2489,,0,0.05,0.03,varwiseext,2.780000000000001,13.351748075620309,2.4054050034047414,12.01578830609786,0.8129999999999971,-34.25191562868471
VarWISE J162220.99-230402.9,245.58749,-23.0675,agn,0.8033,6.058,771.0,388.0,5.93,1,0.185,0.247,180,13.325,12.743,7.59,14.66,13.87,13.57,17.72,18.48,16.21,6.2625,0.2956,TTauri*_Candidate,0,0.04,0.29,varwisepure,2.2699999999999996,11.70373869437651,2.3641072626832713,10.82643865384034,0.9949999999999996,18.494908209696245
VarWISE J170352.24-174047.6,255.9677,-17.6799,rr,0.4762,4.084,1.3073,2.72195,6.344,0,0.274,0.686,228,14.757,14.723,,16.12,15.35,15.07,19.37,20.09,17.98,2.2977,0.3682,,0,0.05,0.16,varwiseext,2.109999999999999,11.176466621217877,2.3576412714691433,10.749511142252876,1.4796666666666685,14.184950667891917
VarWISE J172454.66-564956.2,261.22778,-56.8323,cv,0.699,4.298,0.446575,1.9212,8.518,0,0.257,0.574,286,14.794,14.735,12.75,16.0,15.63,15.09,19.14,19.94,17.9,2.307,0.3274,,0,0.07,0.17,varwiseext,2.0400000000000027,10.955237972605468,2.3497797885614133,10.71905615497534,1.3293333333333286,-11.665616660887945
VarWISE J052113.58-695827.4,80.30661,-69.9743,unclear,0.3889,5.279,5.2331,1.7612,5.723,0,0.292,0.451,508,14.423,14.226,,,,,18.75,19.34,17.34,2.6094,0.1948,,0,0.08,0.1,varwiseext,2.0,10.8327032902449,2.348568150292534,10.377840310055266,1.3769999999999998,-33.0454686691953
VarWISE J050742.34-685334.8,76.92645,-68.893,cv,0.9188,4.493,380.5,564.0,10.194,1,0.17,0.286,1235,13.917,13.786,12.24,14.88,14.32,14.08,18.17,18.58,16.47,3.9654,0.1956,,0,0.04,0.18,varwiseext,2.109999999999999,11.16143501127037,2.342609661521637,10.749511142252876,1.119666666666669,-34.44051423300209
VarWISE J181909.86-452617.5,274.7911,-45.4382,ew,0.6141,4.228,4.02685,0.602825,7.478,0,0.173,0.341,272,14.205,14.193,12.58,15.41,14.72,14.54,18.03,18.58,16.72,2.9796,0.2451,,0,0.05,0.07,varwiseext,1.8599999999999992,10.400789828010948,2.3145815832065395,10.079293070916288,1.0850000000000022,-13.723478336090732
VarWISE J185354.02+234922.4,283.47512,23.8229,ew,0.5501,4.048,0.212875,0.42575,7.388,0,0.222,0.461,336,14.63,14.538,12.7,15.94,15.36,15.14,19.92,21.47,18.46,6.4486,0.4367,,0,0.06,0.15,varwiseext,3.009999999999998,13.967327194672432,2.3121299634299284,12.454256912049605,0.7750000000000039,10.103618189211787
VarWISE J203803.18+210958.3,309.51325,21.1662,ew,0.833,4.339,0.5338,0.2509,7.873,0,0.166,0.357,144,14.084,14.045,12.65,15.29,14.64,14.38,18.9,20.29,17.22,11.1585,1.2216,,0,0.04,0.15,varwiseext,3.0700000000000003,14.138029088820314,2.312040681009261,12.57682425590117,0.2109999999999985,-11.985748076528337
VarWISE J192649.77-050156.2,291.7074,-5.0323,rr,0.7111,4.2,0.462225,1.84275,6.647,0,0.253,0.768,134,14.657,14.764,12.49,15.85,15.25,15.02,19.33,20.76,17.84,7.4394,0.78,,0,0.06,0.22,varwiseext,2.9200000000000017,13.68768955192507,2.3053550486359953,12.270999519510823,0.2929999999999957,-10.157879172400373
VarWISE J191111.35-160400.1,287.79731,-16.0667,ew,0.808,4.076,0.49935,0.761575,6.732,0,0.232,0.519,228,14.513,14.484,11.71,15.95,15.33,14.64,19.59,20.95,18.17,5.3967,0.5462,,0,0.05,0.08,varwiseext,2.7799999999999976,13.250641382557088,2.304298310341533,12.015788306097852,0.9070000000000036,-11.525830084751941
VarWISE J105552.37-320849.1,163.96822,-32.147,ew,0.5556,5.098,568.0,190.0,7.25,0,0.162,0.253,332,13.712,13.623,12.34,14.41,14.04,13.97,17.35,18.22,16.4,3.827,0.0917,,0,0.05,0.03,varwiseext,1.8200000000000005,10.264292311122498,2.2845803350763063,9.974359612046603,0.9580000000000016,24.65335659471773
VarWISE J175950.73+594330.0,269.96138,59.725,yso,0.8799,4.191,173.5,524.0,14.233,1,0.168,0.314,1015,14.208,14.014,,,,,18.11,19.44,16.96,6.8066,0.0962,,0,0.06,0.03,varwiseext,2.4800000000000004,12.274651146957872,2.2766541202043733,11.318594101014485,0.1819999999999986,29.6005307750238
VarWISE J172114.34-175015.3,260.30977,-17.8376,rr,0.8617,4.398,1.844325,2.4275,6.937,0,0.328,0.642,160,14.847,14.784,11.99,16.08,15.64,15.25,19.49,20.14,17.71,3.3042,0.4493,,0,0.06,0.1,varwiseext,2.4299999999999997,12.085331634324628,2.2523581440303246,11.190644552538089,0.9979999999999992,10.6735678532541
VarWISE J232756.83-533915.8,351.98681,-53.6544,yso,0.609,5.288,173.5,347.5,7.196,1,0.255,0.509,311,14.467,14.249,12.1,15.8,14.99,14.71,18.93,20.25,17.76,4.6826,0.1894,,0,0.04,0.03,varwiseext,2.4899999999999984,12.282435303951756,2.2486597237856003,11.333513615396754,0.7280000000000015,-59.32962596945363
VarWISE J150942.84-274016.3,227.42853,-27.6712,ew,0.7151,3.826,0.303025,0.746725,6.166,0,0.36,1.031,183,15.309,15.368,12.17,16.59,15.9,14.98,19.77,20.86,18.5,2.6178,0.4724,,0,0.12,0.04,varwiseext,2.359999999999999,11.859682316852318,2.228616393332212,10.899476033884564,0.9210000000000008,25.930353993451266
VarWISE J092636.05-724618.1,141.65021,-72.7717,ew,0.9998,11.634,0.447425,0.522,24.713,0,0.439,0.423,649,13.905,13.556,12.22,15.22,14.74,14.37,18.23,19.38,17.1,4.7148,0.0988,,0,0.04,0.27,varwisepure,2.2799999999999976,11.597316374297154,2.22486112338939,10.83036888851277,0.908333333333338,-15.687323995829546
VarWISE J171317.20+440439.7,258.3217,44.0777,agn,0.9965,4.275,380.5,92.75,6.222,1,0.242,0.492,541,14.751,14.568,,,,,18.29,19.6,17.19,5.4766,0.1134,,0,0.38,0.45,varwiseext,2.41,11.982555110398344,2.207269496325239,11.107453547208513,-0.0760000000000005,35.64217500117316
VarWISE J073033.05+114418.9,112.63771,11.7386,ea,0.9852,4.617,0.322425,0.652925,21.999,0,0.159,0.276,233,13.944,13.88,12.37,14.89,14.19,14.09,17.33,17.96,16.09,3.9638,0.6737,,0,0.04,0.38,varwiseext,1.870000000000001,10.320558666644835,2.2069867451700524,10.06507389680394,0.6309999999999958,13.93131523410719
VarWISE J025725.72+102817.4,44.35718,10.4715,unclear,0.3918,4.492,1.316975,0.813075,7.648,0,0.313,0.783,145,14.909,14.722,12.05,16.65,16.25,15.88,20.19,21.84,18.99,4.305,0.6952,,0,0.17,0.06,varwiseext,2.8500000000000014,13.359865778948368,2.205224923519925,12.145933435754696,1.0059999999999985,-41.55558617637912
VarWISE J164251.54+013554.2,250.71476,1.5984,ew,0.9931,9.488,0.144475,0.289025,31.434,0,0.184,0.199,283,12.477,12.26,12.27,13.63,13.07,12.74,16.62,17.78,15.43,10.8015,0.0723,EclBin,0,0.04,0.34,varwisepure,2.3500000000000014,11.787420349882916,2.1851983644734005,10.857880531219784,0.6179999999999981,29.0820429538477
VarWISE J084118.75-613808.8,130.32813,-61.6358,ew,0.8573,4.184,1.048,16.6105,6.443,0,0.259,0.581,628,14.719,14.765,13.37,15.59,14.94,14.55,18.73,19.27,17.24,2.542,0.2209,,0,0.05,0.3,varwiseext,2.030000000000001,10.755877731089948,2.1807503080688164,10.633752193745313,1.0109999999999988,-11.900571455420405
VarWISE J171503.33-581210.0,258.76388,-58.2028,agn,0.9545,4.362,2.985875,5.9723,5.768,0,0.217,0.429,306,14.411,14.367,,,,,17.88,18.63,16.67,3.3874,0.1284,,0,0.13,0.05,varwiseext,1.9599999999999973,10.529332415959574,2.1665203200989023,10.03662446513519,0.5790000000000033,-11.308781281592802
VarWISE J123836.28-730141.8,189.65118,-73.0283,cv,0.9998,10.713,95.815,11.81425,8.404,0,0.173,0.169,437,11.905,11.288,9.5,13.46,12.92,12.49,17.01,18.17,15.76,9.6902,0.067,,0,0.04,0.3,varwisepure,2.410000000000002,11.94166370362329,2.1663780895501787,11.10745354720852,1.489999999999999,-10.180253929198438
VarWISE J111227.58+003951.1,168.11494,0.6642,cv,,3.488,,,,0,0.268,0.639,242,15.127,15.021,12.27,16.37,15.79,15.44,19.46,20.61,18.16,3.276,0.3701,,0,0.06,0.29,varwiseext,2.4499999999999993,12.036719465441903,2.146058098926405,11.273835557867663,0.6580000000000013,54.43967475706406
VarWISE J053954.36+015535.0,84.97653,1.9264,agn,0.9994,5.5,780.0,390.0,8.302,0,0.402,0.576,275,15.005,14.439,12.24,16.62,15.76,15.49,19.86,20.94,18.55,2.5118,0.4343,,0,0.05,0.17,varwisepure,2.390000000000001,11.859925280512252,2.142327542660343,11.024262541878937,1.2699999999999974,-14.940095131771452
VarWISE J051647.70-001345.8,79.19875,-0.2294,cv,,4.771,,,,0,0.244,0.361,286,14.591,14.05,12.49,16.12,15.64,15.36,19.98,21.11,18.55,3.0671,0.5337,TTauri*,0,0.05,0.06,varwiseext,2.5599999999999987,12.413639679945348,2.136422679837853,11.450576575715631,1.549000000000003,-21.03835700985922
VarWISE J175741.46-030635.6,269.42278,-3.1099,ew,0.5285,4.367,0.188525,0.411525,7.461,0,0.255,0.427,239,14.62,14.483,12.53,15.76,15.48,15.19,19.91,21.32,18.36,5.5519,0.6136,,0,0.05,0.11,varwiseext,2.960000000000001,13.632208175347008,2.123077390782136,12.34620887675162,0.8499999999999996,10.47258562005035
VarWISE J121135.39+213831.9,182.89747,21.6422,ea,0.9627,5.04,0.758775,0.569675,23.59,0,0.207,0.426,287,14.308,14.296,12.61,15.12,14.42,14.24,17.51,18.3,16.42,3.5392,0.6948,EclBin,0,0.04,0.09,varwisepure,1.879999999999999,10.25452552644293,2.1135899282977793,10.050854722691602,0.432000000000003,79.40357080045149
VarWISE J174423.39-084241.7,266.09747,-8.7116,ew,0.9354,6.722,0.331175,0.66235,39.331,0,0.17,0.244,241,13.187,13.201,12.2,14.33,13.68,13.46,17.51,18.04,15.94,4.7547,0.4939,,0,0.04,0.04,varwisepure,2.0999999999999996,10.895615600631324,2.107296318329551,10.758652637911617,1.206333333333336,10.640433756181016
VarWISE J201749.13-253411.6,304.45473,-25.5699,cv,,3.491,,,,0,0.297,0.746,231,15.173,15.132,12.08,16.15,15.6,15.35,19.53,20.99,18.2,5.124,0.5215,,0,0.06,0.06,varwiseext,2.789999999999999,13.078045605363243,2.1019457069744174,12.034380467477405,0.1720000000000023,-29.490860374905207
VarWISE J172334.43-143531.5,260.89347,-14.5921,ew,0.4615,4.537,6.62035,6.01875,5.17,0,0.231,0.632,184,14.348,14.435,12.36,15.5,14.88,14.67,18.11,18.69,16.87,2.4744,0.393,,0,0.05,0.42,varwiseext,1.8200000000000005,10.077349534975612,2.0976375589294207,9.974359612046603,1.0819999999999983,11.963518416894841
VarWISE J051537.02-704108.5,78.90429,-70.6857,ew,0.5728,4.188,1.430275,1.728775,6.2,0,0.304,0.811,1101,15.048,15.289,13.72,15.98,15.43,15.31,18.84,19.48,17.38,2.5588,0.3637,,0,0.06,0.04,varwiseext,2.1000000000000014,10.880181710227625,2.091862427925846,10.758652637911617,0.6753333333333305,-33.35592663598705
VarWISE J162603.95-635945.2,246.51649,-63.9959,ew,0.545,4.506,0.904125,0.39925,6.113,0,0.164,0.357,248,14.05,13.951,13.04,15.22,14.56,14.22,18.41,19.77,16.85,10.2605,0.6379,,0,0.04,0.09,varwiseext,2.919999999999998,13.465842623542736,2.083508120253672,12.270999519510818,-0.0199999999999977,-10.287084835218781
VarWISE J153929.19-415025.7,234.87164,-41.8405,ew,0.8697,5.317,0.47225,1.582075,6.587,0,0.3,0.484,136,14.576,14.524,12.69,15.9,15.19,14.91,18.79,19.79,17.44,3.788,0.4271,,0,0.1,0.02,varwiseext,2.349999999999998,11.682049851656178,2.0798278662466743,10.857880531219775,0.6890000000000014,10.86387330570647
VarWISE J145832.86-455004.1,224.63692,-45.8345,ew,0.652,4.493,0.8778,1.736725,8.578,0,0.217,0.425,249,14.433,14.372,12.51,15.48,14.9,14.8,18.95,19.97,17.43,4.6408,0.4862,,0,0.05,0.12,varwiseext,2.539999999999999,12.282964262297703,2.070295915068222,11.40811118730812,0.7070000000000007,11.53945888122127
VarWISE J221447.41-183309.7,333.69755,-18.5527,cv,,3.61,,,,0,0.27,0.699,241,15.017,14.946,,,,,18.32,19.45,17.26,3.6527,0.2013,,0,0.08,0.13,varwiseext,2.1899999999999977,11.133070023125306,2.0589667340976963,10.755198369568935,0.0363333333333377,-53.06204290606713
VarWISE J173221.51-133139.3,263.08963,-13.5276,cv,0.9689,4.113,6.2827,0.192275,5.276,0,0.2,0.33,263,14.089,13.922,12.49,15.29,14.71,14.34,18.42,19.7,17.16,5.8734,0.2011,,0,0.04,0.23,varwiseext,2.539999999999999,12.264447894455904,2.051779547226424,11.40811118730812,0.5210000000000026,10.72058852215205
VarWISE J053214.42-662729.5,83.06012,-66.4582,cv,0.9142,6.183,110.5,73.53,5.25,0,0.225,0.38,2818,13.825,14.014,10.47,15.19,14.61,14.5,17.93,18.45,16.67,2.5037,0.1171,,0,0.05,0.27,varwisepure,1.7799999999999976,9.922911446673574,2.048709593411183,9.815489434737223,1.4775000000000031,-32.577619333616866
VarWISE J184119.07-391350.1,280.32947,-39.2306,cv,0.5678,3.854,0.853625,0.5434,6.765,0,0.163,0.318,214,14.098,13.983,12.46,15.18,14.56,14.25,18.3,19.25,17.0,4.0155,0.207,,0,0.04,0.03,varwiseext,2.25,11.31869815121307,2.044714357948898,10.818578184495482,0.8353333333333328,-14.948593120123315
VarWISE J165934.75-225812.7,254.89482,-22.9702,yso,0.919,3.932,0.6582,16.1465,6.905,0,0.2,0.403,247,14.301,14.123,11.62,15.75,14.93,14.45,19.65,20.64,17.95,4.086,0.4685,,0,0.05,0.13,varwiseext,2.6900000000000013,12.706491811482142,2.041974036826449,11.803098393949366,1.3139999999999965,11.905544023210055
VarWISE J233749.32+120409.8,354.45552,12.0694,cv,,3.516,,,,0,0.205,0.549,275,14.721,14.627,12.6,15.96,15.2,15.13,18.73,19.95,17.51,4.2916,0.3044,,0,0.06,0.08,varwiseext,2.4399999999999977,11.89309618309559,2.0312787546906943,11.232240055202867,0.3490000000000037,-46.924756193669154
VarWISE J183411.89-352528.5,278.54956,-35.4246,ew,0.7948,4.599,0.2192,0.484675,7.506,0,0.304,0.665,197,14.703,14.796,12.1,15.97,15.36,15.16,18.56,19.2,17.26,2.2562,0.3327,,0,0.06,0.05,varwiseext,1.9399999999999975,10.326887974443224,2.021770316275843,9.965539678017544,0.9970000000000026,-12.110643553780283
VarWISE J113037.84-484027.4,172.65767,-48.6743,ew,0.4822,4.545,2.9281,3.2078,7.013,0,0.296,0.619,204,14.83,14.709,12.2,15.79,15.35,14.8,19.51,21.05,18.01,7.0702,0.3534,,0,0.08,0.22,varwiseext,3.039999999999999,13.757158495906598,2.0143213966575058,12.519085733228405,0.1200000000000027,12.070233137308888
VarWISE J184441.20-493114.1,281.1717,-49.5206,ew,0.8179,4.264,1.21395,0.187675,8.147,0,0.329,0.584,249,15.031,14.842,12.63,16.22,15.71,14.9,19.92,21.41,18.54,4.6004,0.5155,,0,0.06,0.04,varwiseext,2.870000000000001,13.233977973886407,2.014281790497785,12.18166660254216,0.5839999999999996,-19.258005589158856
VarWISE J171339.93-191940.0,258.41641,-19.3278,rr,0.5034,4.523,1.015475,2.8449,7.632,0,0.265,0.821,234,14.691,14.951,12.47,15.44,14.88,14.46,18.11,18.82,16.93,2.5936,0.3589,,0,0.05,0.18,varwiseext,1.8900000000000008,10.179514987522198,2.0112157127066705,10.036635548579255,0.6339999999999977,11.337842513945331
VarWISE J045733.15-805937.3,74.38816,-80.9937,agn,0.9992,4.414,173.0,345.5,9.695,1,0.29,0.519,705,15.005,14.509,11.96,,,,19.61,20.36,18.37,1.4775,0.2613,,1,0.05,0.04,varwiseext,1.9899999999999984,10.457637447766464,2.003833068837025,10.29253634882524,1.6700000000000008,-31.116453868417224
VarWISE J172939.88-125025.4,262.4162,-12.8404,ew,0.411,4.319,4.61715,3.783875,5.262,0,0.194,0.568,242,14.427,14.569,12.44,15.34,14.53,14.53,17.67,18.38,16.61,2.7253,0.5028,,0,0.04,0.08,varwiseext,1.7699999999999996,9.847071581087642,1.9992472585211931,9.775771890409889,0.6267500000000026,11.63904043141967
VarWISE J185052.88-302501.2,282.72034,-30.417,rr,0.7988,4.895,2.4933,1.9985,6.568,0,0.287,0.593,235,14.65,14.677,12.11,15.51,14.92,14.76,18.69,19.54,17.26,3.4339,0.4892,,0,0.05,0.11,varwiseext,2.2799999999999976,11.368938218713094,1.9964829678053295,10.83036888851277,0.623333333333338,-13.237975048040276
VarWISE J171621.28-191541.7,259.0887,-19.2616,rr,0.8425,5.133,2.478675,1.86225,7.213,0,0.209,0.434,238,14.217,14.274,12.21,15.8,15.04,14.7,19.39,20.19,17.69,3.3959,0.4603,,0,0.05,0.06,varwiseext,2.5,12.044774464856598,1.9752203312777716,11.348433129779028,1.423,10.849693912193398
VarWISE J183919.84-335157.9,279.8327,-33.8661,ew,0.9121,4.284,0.2475,0.1811,8.933,0,0.231,0.507,228,14.416,14.331,12.42,15.58,14.94,14.73,18.67,19.56,17.31,3.2786,0.2278,,0,0.05,0.23,varwiseext,2.25,11.2484421727195,1.974458379455328,10.818578184495482,0.8873333333333342,-12.420096298604623
VarWISE J163226.64-254037.5,248.111,-25.6771,yso,0.7997,3.986,1.50075,9.8662,6.079,0,0.304,0.59,224,14.722,14.624,11.56,16.39,15.7,15.32,20.05,21.47,18.7,3.697,0.6579,,0,0.08,0.11,varwiseext,2.7699999999999996,12.889247252865534,1.972661006823241,11.997196144718307,1.1730000000000018,15.046372893889213
VarWISE J184322.54-370714.8,280.84395,-37.1208,rr,0.8133,4.22,2.449675,0.6978,7.174,0,0.187,0.439,238,14.296,14.276,11.9,15.4,14.65,14.48,18.42,19.04,17.04,2.5543,0.1849,,0,0.04,0.2,varwiseext,2.0,10.456359516894528,1.9722243769421637,10.377840310055266,1.1740000000000022,-14.490922908102615
VarWISE J193832.43-061326.4,294.63513,-6.224,rr,0.5148,4.537,3.45115,2.45845,6.531,0,0.345,0.731,261,15.068,15.124,12.45,16.37,15.46,15.63,19.83,21.38,18.44,5.2149,0.4793,,0,0.06,0.17,varwiseext,2.9399999999999977,13.41622992444114,1.9688400931918988,12.306732686298284,0.3520000000000021,-13.296722828874332
VarWISE J175655.02-451219.4,269.22927,-45.2054,rr,0.5257,4.673,1.75555,1.1425,8.334,0,0.381,0.848,157,15.079,15.337,12.34,16.35,15.74,15.35,20.02,21.28,18.54,3.5839,0.6255,,0,0.19,0.02,varwiseext,2.740000000000002,12.79177941614731,1.9667992922915565,11.933859583957576,0.830999999999996,-10.126051446313493
VarWISE J165037.83-140650.7,252.65766,-14.1141,yso,0.8254,4.256,0.593225,2.1301,6.443,0,0.196,0.413,244,14.393,14.23,12.1,16.02,15.08,14.72,19.82,21.18,18.41,4.084,0.4349,,0,0.04,0.16,varwiseext,2.7699999999999996,12.875428667074363,1.9588424210320703,11.997196144718307,1.2720000000000002,18.844297329232866
VarWISE J175820.61-460655.4,269.5859,-46.1154,ew,0.9539,4.947,0.589675,0.12035,5.774,0,0.28,0.643,271,14.648,14.776,12.44,15.64,15.16,14.86,18.52,19.11,17.17,2.2306,0.322,,0,0.06,0.18,varwiseext,1.9399999999999975,10.262108489322122,1.9569908311547408,9.965539678017544,1.0120000000000031,-10.777351951155076
VarWISE J051752.15-693404.7,79.4673,-69.568,lpv,0.5539,5.528,3.383325,1.36735,6.989,0,0.171,0.234,1232,13.347,13.434,13.4,14.85,14.27,14.09,17.7,18.09,16.31,2.663,0.2224,,0,0.06,0.46,varwiseext,1.7800000000000011,9.826855832194706,1.9526539789323056,9.815489434737238,1.7254999999999985,-33.411469352705424
VarWISE J111853.38-724953.7,169.72245,-72.8316,yso,0.9853,5.048,1.73435,19.7115,5.225,0,0.164,0.25,490,13.908,13.532,12.49,15.1,14.44,14.08,18.94,20.16,17.31,6.7988,0.2144,,0,0.04,0.05,varwisepure,2.8500000000000014,13.102161328701904,1.947520473273462,12.145933435754696,0.7569999999999997,-11.191466218255366
VarWISE J172751.83-122511.6,261.96596,-12.4199,rr,0.6285,4.399,3.89305,2.29185,6.096,0,0.256,0.514,227,14.728,14.606,12.46,16.28,15.62,15.38,19.63,20.97,18.26,4.0575,0.4272,,0,0.09,0.05,varwiseext,2.7099999999999973,12.671292642491348,1.942589928155643,11.85540286995264,0.8370000000000033,12.23372726219432
VarWISE J205843.66-021305.5,314.68192,-2.2182,rr,0.9483,4.671,1.71685,2.5414,7.991,0,0.2,0.471,176,14.416,14.333,12.55,15.46,15.04,14.78,18.79,19.96,17.16,6.7609,0.7788,,0,0.09,0.41,varwiseext,2.8000000000000007,12.940022561821271,1.9341658372591704,12.052972628856956,0.1739999999999977,-29.115904970456068
VarWISE J173549.51-123003.5,263.95633,-12.501,rr,0.9588,4.427,3.360725,2.366275,7.191,0,0.258,0.717,217,14.656,14.875,12.44,15.89,15.34,14.93,18.47,19.29,17.3,2.4009,0.3295,,0,0.08,0.03,varwiseext,1.9899999999999984,10.371870358068104,1.918065979138664,10.29253634882524,0.8790000000000004,10.532459324180142
VarWISE J175639.41-454234.5,269.16423,-45.7096,rr,0.9053,4.8,1.23485,0.617425,8.997,0,0.233,0.47,247,14.409,14.486,12.54,15.64,14.8,14.68,18.79,19.51,17.17,3.4533,0.5165,,0,0.05,0.22,varwiseext,2.34,11.481171543188204,1.9117733769932297,10.853950296547346,0.8709999999999982,-10.326593396232008
VarWISE J184115.62-273826.1,280.3151,-27.6406,ew,0.6125,4.793,1.064575,0.719575,7.324,0,0.243,0.789,126,14.585,14.794,12.32,16.21,15.85,15.02,18.52,19.49,17.53,2.2419,0.2002,,0,0.13,0.22,varwiseext,1.9599999999999973,10.273081184879157,1.9102690890184848,10.03662446513519,1.0450000000000026,-10.168370093620831
VarWISE J220053.84+811217.2,330.22437,81.2048,agn,0.9997,4.57,374.5,348.5,7.587,1,0.173,0.301,662,14.228,14.053,,,,,19.4,21.25,17.98,9.2392,0.2411,,0,0.1,0.07,varwiseext,3.2699999999999996,14.22817184169204,1.9004195826805468,12.921891935717296,0.2669999999999994,20.51844900768819
VarWISE J181441.65-505116.5,273.67355,-50.8546,cv,,4.79,,,,0,0.315,0.62,144,14.844,14.883,12.04,15.97,15.74,14.99,19.72,21.32,18.43,4.9269,0.4165,,0,0.06,0.19,varwiseext,2.890000000000001,13.182868738014562,1.8981172266657609,12.217399769329626,0.5409999999999986,-15.304275361956103
VarWISE J151713.27-210152.3,229.30531,-21.0312,agn,0.9807,4.993,346.0,54.945,5.216,1,0.206,0.403,234,14.102,13.994,,,,,19.35,21.28,17.81,11.3744,0.4136,,0,0.13,0.05,varwiseext,3.4700000000000024,14.629642484420811,1.884811851018208,13.231703795169066,0.0769999999999981,30.30415853301721
VarWISE J184410.34-284453.1,281.04312,-28.7481,rr,0.8788,4.382,2.118275,1.937575,6.426,0,0.164,0.36,232,13.988,13.819,12.26,15.13,14.52,14.19,18.35,19.42,16.93,5.1601,0.1885,,0,0.05,0.16,varwiseext,2.490000000000002,11.91329059052692,1.879515010360752,11.33351361539676,0.6269999999999989,-11.220052515500427
VarWISE J162132.41-321637.9,245.38505,-32.2772,ew,0.5117,4.015,2.787675,10.2876,5.657,0,0.216,0.701,264,14.525,14.818,12.46,15.66,14.94,14.59,18.02,18.87,16.92,2.7331,0.4124,,0,0.05,0.07,varwiseext,1.9499999999999993,10.203277610811767,1.8707962759740104,9.951320503905198,0.6200000000000001,12.374510664959825
VarWISE J183023.82+204445.5,277.59928,20.746,ew,0.9817,4.007,0.223425,0.427975,5.977,0,0.366,1.019,282,15.344,15.472,12.8,16.49,16.01,15.86,19.81,20.98,18.47,2.7106,0.3522,,0,0.07,0.06,varwiseext,2.5100000000000016,11.9753271699574,1.869994482965904,11.363352644161305,0.700999999999997,13.758134672900036
VarWISE J171026.30-221720.0,257.60962,-22.2889,rr,0.7715,5.209,1.0842,1.295775,7.799,0,0.245,0.45,244,14.302,14.284,11.81,16.03,15.17,14.61,20.32,22.32,18.8,7.5049,0.843,,0,0.05,0.03,varwiseext,3.5199999999999996,14.69672454902734,1.8640842252326344,13.35589669878516,0.7820000000000009,10.272475769111361
VarWISE J185453.70-300138.6,283.72375,-30.0274,ew,0.5607,4.726,1.724475,1.1699,8.011,0,0.338,0.912,206,14.904,15.173,12.42,15.88,15.3,14.85,18.75,19.21,17.24,1.9965,0.2493,,0,0.07,0.07,varwiseext,1.9700000000000024,10.251346572651782,1.8582037157681732,10.121928426365248,0.9409999999999964,-13.874937497789366
