# VarWISE J105943.85-274050.1 = Gaia DR3 5456743064671253632; NEOWISE-R single exposures, clean cuts as lane M; mjd (UTC), Vega mags
mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro
58266.451596,14.391000,0.085000,14.077000,0.197000
58266.582499,14.484000,0.068000,13.955000,0.185000
58267.302341,14.370000,0.067000,13.954000,0.136000
58267.433117,14.355000,0.062000,14.242000,0.191000
58267.433244,14.491000,0.082000,14.348000,0.349000
58267.105986,15.069000,0.104000,14.496000,0.208000
58995.491788,15.242000,0.113000,15.330000,0.500000
58995.230746,15.259000,0.124000,14.527000,0.250000
58995.296070,14.639000,0.081000,14.170000,0.184000
58995.426846,14.694000,0.091000,14.154000,0.144000
58995.099461,14.795000,0.095000,14.929000,0.379000
58995.557240,14.479000,0.071000,14.328000,0.238000
58995.164912,14.450000,0.063000,14.226000,0.165000
58995.426973,14.637000,0.074000,14.359000,0.337000
58995.688525,14.726000,0.092000,14.470000,0.234000
58995.361522,15.080000,0.104000,14.223000,0.281000
59934.031644,15.228000,0.130000,14.763000,0.284000
57014.750688,14.504000,0.077000,13.960000,0.155000
57014.619275,14.432000,0.066000,14.332000,0.180000
58471.639262,14.468000,0.065000,14.001000,0.151000
58471.770038,14.565000,0.073000,14.535000,0.244000
58472.228073,14.588000,0.074000,14.230000,0.190000
58471.835490,14.912000,0.099000,14.440000,0.266000
58472.031845,14.941000,0.089000,14.158000,0.320000
58471.639134,14.610000,0.092000,14.117000,0.180000
58472.097297,14.470000,0.094000,14.159000,0.181000
58471.900941,14.722000,0.124000,14.762000,0.294000
58471.966393,14.654000,0.079000,14.379000,0.224000
58472.162621,15.582000,0.228000,14.694000,0.273000
58472.097169,14.423000,0.068000,14.356000,0.210000
56651.526580,14.625000,0.076000,14.564000,0.269000
57376.745044,14.881000,0.110000,14.669000,0.305000
57376.154957,15.240000,0.133000,14.795000,0.375000
58838.964113,15.486000,0.152000,14.495000,nan
58838.833337,15.047000,0.164000,15.235000,0.416000
58838.636982,14.585000,0.078000,13.754000,0.129000
58838.767885,14.463000,0.089000,14.469000,0.214000
58838.898661,14.647000,0.086000,14.251000,0.247000
58839.029564,14.484000,0.075000,13.689000,0.304000
58839.094889,15.235000,0.139000,14.614000,0.272000
58839.160341,14.531000,0.069000,14.238000,0.168000
58839.225283,14.588000,0.099000,14.220000,nan
58839.029437,14.561000,0.107000,14.530000,0.292000
58836.020063,14.771000,0.100000,14.883000,0.408000
59203.287743,14.685000,0.079000,14.944000,0.385000
59203.091516,15.419000,0.151000,14.576000,0.262000
57015.013514,14.396000,0.064000,14.103000,0.153000
57014.487862,14.595000,0.080000,14.414000,0.180000
57014.882101,14.512000,0.070000,14.153000,0.182000
57014.684982,14.628000,0.067000,14.422000,0.186000
57014.553569,14.830000,0.131000,15.028000,0.525000
57377.007362,15.573000,0.149000,14.957000,0.307000
57376.548306,15.005000,0.099000,14.166000,0.197000
57376.023799,14.780000,0.086000,14.396000,0.214000
57376.613886,14.552000,0.074000,15.013000,0.485000
57376.876203,14.952000,0.092000,14.185000,0.170000
57376.482727,14.392000,0.060000,13.892000,0.117000
57376.154830,15.212000,0.125000,14.581000,0.219000
57375.892640,14.512000,0.066000,14.905000,0.308000
57377.007234,14.870000,0.086000,15.279000,0.404000
57743.547907,15.385000,0.154000,14.461000,0.288000
57741.189858,14.611000,0.079000,13.964000,0.180000
58631.294694,14.527000,0.082000,14.337000,0.188000
58631.621698,15.452000,0.140000,14.601000,nan
58631.229243,14.865000,0.106000,14.619000,0.271000
58631.163282,14.616000,0.089000,14.305000,0.199000
58631.752602,14.761000,0.090000,14.359000,0.200000
58631.360019,15.316000,0.124000,14.918000,0.272000
58630.640560,15.282000,0.117000,14.975000,0.343000
58631.490413,15.389000,0.132000,14.715000,0.291000
56648.956769,14.605000,0.099000,14.236000,0.226000
57740.076413,14.526000,0.070000,14.684000,0.350000
59726.377322,15.422000,0.154000,14.835000,0.311000
59726.312125,14.964000,0.106000,14.770000,nan
59726.573168,15.000000,0.095000,14.492000,0.211000
59726.442647,14.842000,0.085000,14.579000,0.240000
59726.703562,14.925000,0.101000,14.890000,0.343000
59726.768886,15.323000,0.133000,14.771000,nan
59726.703689,14.826000,0.121000,14.591000,0.223000
59726.638365,15.434000,0.140000,14.380000,nan
59726.181094,15.576000,0.198000,14.300000,0.256000
60090.518736,15.164000,0.119000,14.924000,nan
60090.584060,14.962000,0.091000,15.128000,0.465000
60091.102962,15.128000,0.104000,14.803000,0.318000
60091.362986,15.223000,0.113000,14.329000,nan
60090.389361,15.378000,0.130000,15.169000,0.468000
60091.102835,15.143000,0.110000,14.634000,0.255000
60091.233229,15.062000,0.097000,15.116000,0.428000
60090.259604,15.053000,0.097000,14.985000,0.397000
60090.713945,14.863000,0.117000,14.393000,nan
60090.649003,15.293000,0.116000,14.619000,0.276000
56825.239586,14.588000,0.074000,14.340000,0.178000
56825.502666,15.257000,0.151000,14.589000,0.235000
56825.436960,14.544000,0.072000,14.590000,0.250000
56825.568500,14.716000,0.082000,14.339000,0.197000
56825.634333,15.453000,0.146000,14.681000,0.263000
56825.305293,14.438000,0.072000,13.928000,0.130000
56825.173753,14.979000,0.170000,14.530000,0.217000
56826.029080,14.437000,0.066000,14.377000,0.200000
56825.042213,14.539000,0.075000,14.909000,0.479000
57907.281299,14.347000,0.063000,14.351000,0.338000
57903.418501,14.268000,0.062000,14.345000,0.214000
57903.156694,14.464000,0.066000,13.976000,0.188000
57903.549404,14.572000,0.078000,13.807000,0.129000
57903.680435,14.409000,0.067000,13.993000,0.131000
57903.483953,15.256000,0.165000,14.569000,nan
57903.745887,14.775000,0.092000,14.342000,0.263000
57903.353049,15.188000,0.108000,15.230000,nan
57903.156566,14.503000,0.073000,13.881000,0.144000
58835.758384,14.543000,0.088000,13.920000,0.184000
58835.627608,14.748000,0.087000,14.479000,0.364000
58835.889287,14.430000,0.069000,14.618000,0.308000
58995.164785,14.572000,0.080000,14.288000,0.188000
59567.541955,15.222000,0.120000,14.443000,0.334000
59567.803380,15.058000,0.112000,14.972000,0.447000
59567.280658,14.758000,0.083000,14.986000,0.463000
59567.934029,15.448000,0.145000,15.083000,0.505000
59567.607280,14.818000,0.107000,14.264000,0.194000
59567.084685,15.176000,0.113000,15.132000,0.354000
59566.953909,15.068000,0.102000,14.559000,0.273000
59567.672604,15.120000,0.191000,15.038000,0.346000
