# VarWISE J075330.99-004209.7 = Gaia DR3 3082614748370926848; NEOWISE-R single exposures, clean cuts as lane M; mjd (UTC), Vega mags
mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro
56957.165181,15.269000,0.127000,14.805000,0.344000
56957.230888,15.734000,0.189000,14.892000,0.321000
56957.099475,15.027000,0.153000,14.289000,0.188000
56956.967935,14.828000,0.087000,14.338000,0.254000
56957.362428,14.421000,0.064000,14.249000,0.227000
56957.296721,14.536000,0.070000,14.290000,0.201000
56956.836395,14.482000,0.074000,13.937000,0.142000
56957.428134,15.362000,0.159000,15.085000,nan
57848.355640,14.406000,0.070000,13.805000,0.219000
58050.175759,15.687000,0.226000,14.918000,nan
58050.044728,14.674000,0.081000,14.083000,0.175000
58050.306662,14.454000,0.114000,14.712000,0.344000
58050.044856,14.571000,0.071000,14.128000,0.167000
58049.913825,14.761000,0.085000,14.264000,0.181000
59145.742570,15.181000,0.147000,14.659000,0.254000
59146.069574,15.638000,0.237000,14.596000,nan
59145.938798,14.541000,0.074000,14.103000,0.208000
59145.808022,14.665000,0.079000,13.819000,0.130000
59145.611794,14.416000,0.067000,13.855000,0.187000
59146.199840,14.736000,0.136000,14.216000,0.229000
59145.873346,15.750000,0.297000,14.741000,nan
59145.350242,15.370000,0.132000,14.500000,0.302000
59146.004122,14.548000,0.073000,13.711000,0.124000
59877.535588,14.493000,0.105000,14.248000,0.189000
59876.819184,14.304000,0.110000,13.719000,0.146000
59877.144533,14.342000,0.068000,13.895000,0.144000
59877.340634,14.019000,0.071000,13.605000,0.123000
59877.340506,14.563000,0.098000,13.668000,0.145000
59876.688790,14.881000,0.100000,14.329000,0.340000
59877.210239,15.163000,0.115000,14.187000,nan
59876.819057,14.281000,0.069000,13.770000,0.138000
59876.949451,14.307000,0.080000,13.886000,0.157000
59877.275436,14.413000,0.068000,13.702000,0.128000
59877.079845,15.251000,0.188000,15.471000,0.517000
59510.299721,14.849000,0.090000,14.657000,0.296000
59509.580899,15.702000,0.177000,14.744000,nan
59510.169072,14.504000,0.100000,14.089000,0.159000
59510.038296,14.288000,0.066000,14.039000,0.181000
59509.842323,14.449000,0.069000,14.073000,0.195000
59510.103621,15.821000,0.210000,14.940000,nan
59510.234397,14.626000,0.080000,14.110000,0.170000
59510.561146,14.398000,0.068000,13.975000,0.225000
59509.711548,14.512000,0.071000,13.991000,0.163000
59509.972972,14.684000,0.082000,13.982000,0.172000
60034.402411,15.696000,0.262000,14.639000,nan
60031.543033,15.425000,0.138000,14.585000,0.238000
60034.727377,15.481000,0.155000,14.376000,nan
60034.532296,14.196000,0.065000,13.781000,0.145000
60034.662308,14.355000,0.066000,14.334000,0.280000
60031.737988,14.249000,0.066000,13.874000,0.140000
60034.987275,14.285000,0.062000,13.982000,0.190000
60034.597365,15.088000,0.106000,14.480000,0.380000
60034.857262,14.177000,0.061000,13.798000,0.175000
60034.857390,14.245000,0.067000,13.701000,0.152000
60031.607976,14.543000,0.071000,14.726000,0.357000
60032.127515,14.195000,0.057000,14.037000,0.195000
60034.467353,14.411000,0.080000,14.210000,0.257000
60031.868000,15.490000,0.152000,14.456000,nan
60031.998012,14.587000,0.094000,13.727000,0.166000
