# eRASS:3 (Ramos-Ceja+2026, J/A+A/712/A171/dr2mg) Gaia counterparts with matchflag=1, 0.05<=pany<0.5, parallax>2 mas at >5 sigma, M_G>4.5, below the main sequence or on the WD side, separation <3in (243 rows); 'known' = VSX/SIMBAD/Downes/Ritter-Kolb/Gentile Fusillo+2021 matches.
GaiaDR3,IAUName,RAGdeg,DEGdeg,Plx,e_Plx,pmRA,pmDE,RUWE,Gmag,BPmag,RPmag,pany,pi,SepGDR3ERO,MLFlux1,DetLike0,Pstar,PQSO,UIdDR1,bprp,MG,d_ridge,env,known
2999407900270881280,3eRASS J062310.6-141256,95.79425738863,-14.21596941289,9.88381,0.40931,-29.30948,-36.59578,1.083842,19.75336,21.32358,18.23317,0.462793,0.996691,1.59626,6.40199e-14,45.4858,0.999994,0.0,109710500021,3.0904099999999985,14.72798194106387,2.846949784632253,12.613693814284405,SIMBAD:2MASS J06231066-1412569 [Low-Mass*]
3004503724347098112,3eRASS J061801.9-102305,94.50758680725,-10.38496990699,2.43256,0.147005,-3.64603,1.60908,1.00357,18.31547,18.15357,18.67821,0.476983,0.932393,1.332427,1.21076e-13,102.135,5e-05,0.0,109509900019,-0.5246400000000015,10.245787805539669,-0.5013082056338991,13.218780041764742,VSX:Gaia DR3 3004503724347098112 [VAR]; SIMBAD:Gaia DR3 3004503724347098112 [WhiteDwarf]; GF21:WDJ061801.82-102305.91
3027994725853695872,3eRASS J072420.6-163408,111.08599032212,-16.56973446349,4.17775,0.831347,-3.07342,6.60726,1.939246,19.60993,20.85914,18.28465,0.067602,0.710678,2.285325,1.63164e-14,6.69441,0.999996,0.0,0,2.574490000000001,12.714642239412234,2.3957373651794427,11.49049054717821,
3033258947019049472,3eRASS J072903.8-135046,112.26589873029,-13.84651267391,2.19221,0.30985,-13.45355,5.36614,0.994778,19.48425,19.61619,19.18328,0.286718,0.743032,1.241652,4.54856e-14,25.5319,0.0,0.999997,0,0.4329099999999997,11.188660772494089,-1.9037693902155013,14.112620418935949,SIMBAD:Gaia DR3 3033258947019049472 [WhiteDwarf_Candidate]; GF21:WDJ072903.83-135047.52
3047348119069258112,3eRASS J072328.2-100125,110.86821105816,-10.02398134795,5.02856,0.802662,-2.77312,4.70218,1.587659,19.61491,20.35935,18.39321,0.093771,0.842293,1.781198,1.9418e-14,7.88651,0.999991,0.0,0,1.966139999999999,13.122128182149194,4.740692999020441,10.089001097330437,
3083029058096732800,3eRASS J080107.8-011652,120.28210377804,-1.28088321224,2.04644,0.395099,-11.25192,-1.91576,1.015557,19.71622,20.97219,18.55994,0.495183,0.543455,2.046061,1.96265e-14,6.93655,0.999991,0.0,0,2.41225,11.27121507998852,1.4894395798405284,11.116812535308089,
3106255038653176320,3eRASS J065232.5-015745,103.1353584227,-1.96269787009,5.88542,0.426306,-11.55737,3.62715,1.093212,19.20694,20.82315,17.80114,0.24459,0.390306,0.468465,1.65125e-14,6.40156,0.99999,0.0,0,3.022009999999998,13.055827303759482,1.3655449120250085,12.480210050128182,
3124112584945910912,3eRASS J062452.8+020815,96.22040466033,2.13834878627,2.99422,0.312627,-19.29195,24.76586,0.948737,19.22574,19.29504,19.22176,0.499941,1.0,2.662967,1.43149e-13,103.922,0.999999,0.0,109808700014,0.0732800000000004,11.607158534604071,-0.3574311770273652,13.884878782498909,VSX:PNV J06245297+0208207 [UGWZ/IBWD]; SIMBAD:AT 2023awt [CataclyV*]; SIMBAD:Gaia DR3 3124112584945910912 [WhiteDwarf_Candidate]; SIMBAD:PNV J06245297+0208207 [Nova]; GF21:WDJ062452.92+020817.66
3137997767538771072,3eRASS J073615.2+042223,114.06404174109,4.37326892709,4.09589,0.291028,4.00497,-13.19474,0.994757,19.47445,21.01908,18.11583,0.28721,0.992524,1.385128,2.94211e-14,12.5242,0.999989,0.0,0,2.90325,12.536191423146372,1.2083407570239544,12.24107299232632,
3147252082030271872,3eRASS J075427.4+093020,118.61421800997,9.50640549532,2.6157,0.337299,40.59356,-82.0712,1.000745,19.18561,20.27113,18.17183,0.265724,0.997864,2.418119,2.56584e-14,10.9728,0.999997,0.0,0,2.0992999999999995,11.273549661915958,2.4873658043354716,10.75929254260773,
