# VarWISE J105943.85-274050.1 = Gaia DR3 5456743064671253632; NEOWISE-R W1 forced PSF photometry (2-source fixed-position fit), flux in mJy; phase at P = 0.12097159 d
# mjd_utc,bjd_tdb,f_mjy,e_mjy,phase
58266.5824989,2458267.0851140,0.4857633,0.0339151,0.1448234
58267.1714375,2458267.6740067,0.4959300,0.0322556,0.0128480
58267.4331169,2458267.9356657,0.4852453,0.0463556,0.1758265
58267.3023408,2458267.8048998,0.5415152,0.0302961,0.0948634
58266.4515956,2458266.9542209,0.5299032,0.0361617,0.0628077
58267.1059858,2458267.6085601,0.2646468,0.0245769,0.4718402
58266.7134023,2458267.2160073,0.6006271,0.0376949,0.2268398
58267.4332442,2458267.9357930,0.5062115,0.0380282,0.1768789
58266.7788545,2458267.2814544,0.4221202,0.0313746,0.7678521
58107.2605081,2458107.7613075,0.4786795,0.0270519,0.1099183
58107.7186704,2458108.2195094,0.4047774,0.0281962,0.8976001
58107.5223152,2458108.0231371,0.5756850,0.0298949,0.2743080
58107.8495739,2458108.3504242,0.4213845,0.0400972,0.9797950
58107.6532187,2458108.1540520,0.3535769,0.0341487,0.3565028
58107.5877669,2458108.0885945,0.4433901,0.0248701,0.8154052
58108.2424118,2458108.7432960,0.5707096,0.0366598,0.2274316
58107.9806048,2458108.4814664,0.4847761,0.0363035,0.0630423
58108.1115083,2458108.6123812,0.4202082,0.0360435,0.1452371
58631.2946943,2458631.7973654,0.4936599,0.0329143,0.0035302
58630.7713360,2458631.2740476,0.1571991,0.0381646,0.6775735
58631.6216978,2458632.1243435,0.2266554,0.0292520,0.7064630
58631.3600186,2458631.8626846,0.1730568,0.0364721,0.5434852
58631.7526016,2458632.2552372,0.3396719,0.0348346,0.7884829
58631.1632818,2458631.6659630,0.3592677,0.0437430,0.9173050
58471.9663932,2458472.4671574,0.4461075,0.0306560,0.9157080
58471.7700380,2458472.2707852,0.4011314,0.0310876,0.2924158
58471.6391344,2458472.1398703,0.4519101,0.0287758,0.2102208
58472.0972967,2458472.5980722,0.4872287,0.0356209,0.9979027
58471.9009414,2458472.4016999,0.3369622,0.0353062,0.3746102
58471.8354897,2458472.3362426,0.3204803,0.0284062,0.8335132
58472.2280728,2458472.7288596,0.4638228,0.0299325,0.0790442
58471.5083583,2458472.0090829,0.4694374,0.0275436,0.1290789
58471.6392617,2458472.1399976,0.5119095,0.0354027,0.2112732
58472.1626211,2458472.6634023,0.1310968,0.0305503,0.5379472
58472.0318450,2458472.5326148,0.3176369,0.0340564,0.4568054
58472.0971694,2458472.5979449,0.4687614,0.0398855,0.9968502
58631.2292427,2458631.7319189,0.3181053,0.0310863,0.4625226
58631.4904126,2458631.9930685,0.1721459,0.0286858,0.6212907
58630.6405601,2458631.1432817,0.2223112,0.0322153,0.5966105
58995.4269734,2458995.9297460,0.4132340,0.0311067,0.0687907
58838.6369815,2458839.1378823,0.4290666,0.0287058,0.9639471
58995.0994606,2458995.6022583,0.3683556,0.0381205,0.3616456
58995.1649122,2458995.6677049,0.4563980,0.0238663,0.9026534
58995.6885254,2458996.1912778,0.4034102,0.0364911,0.2307179
58995.5572401,2458996.0600026,0.4352429,0.0314373,0.1455442
58995.3615218,2458995.8642994,0.2226986,0.0263718,0.5277825
58995.4268461,2458995.9296187,0.3943642,0.0405836,0.0677384
58995.1647849,2458995.6675776,0.4079923,0.0314223,0.9016011
58995.2307459,2458995.7335335,0.2145986,0.0238453,0.4468192
58838.8333366,2458839.3342543,0.3037113,0.0474405,0.5872379
58839.0295645,2458839.5304991,0.4708108,0.0296792,0.2094766
58839.2252829,2458839.7262344,0.4048298,0.0377154,0.8275037
58835.7583838,2458836.2590358,0.4045216,0.0334713,0.1662400
58836.0200634,2458836.5207380,0.3410247,0.0267246,0.3295761
58838.8986610,2458839.3995844,0.4243579,0.0359585,0.1272824
58839.0948888,2458839.5958291,0.2273747,0.0269364,0.7495208
58835.8892874,2458836.3899506,0.4979994,0.0402901,0.2484349
58838.7678849,2458839.2687969,0.5173443,0.0347394,0.0461408
58839.1603405,2458839.6612865,0.4785787,0.0297019,0.2906178
58995.4917884,2458995.9945560,0.1757465,0.0263084,0.6045364
58995.2960702,2458995.7988528,0.4084727,0.0331351,0.9867748
58835.6276078,2458836.1282484,0.3792038,0.0355009,0.0850989
58838.9641127,2458839.4650417,0.1891808,0.0253734,0.6683791
58839.0294371,2458839.5303718,0.4637358,0.0460660,0.2084237
59203.2877434,2459203.7886058,0.3621908,0.0297937,0.3140398
59362.4246940,2459362.9273442,0.2793941,0.0464302,0.8190967
59362.4901457,2459362.9927907,0.3368235,0.0304580,0.3601045
59362.2940454,2459362.7967057,0.2442726,0.0282526,0.7391867
59362.6207943,2459363.1234292,0.2538089,0.0321425,0.4400144
59362.2287211,2459362.7313865,0.4159111,0.0326816,0.1992313
59362.3593697,2459362.8620250,0.3369350,0.0285471,0.2791417
59362.2285938,2459362.7312592,0.3157782,0.0311742,0.1981789
59203.6146200,2459204.1155107,0.4577552,0.0333915,0.0163675
59203.1568399,2459203.6576910,0.3180417,0.0459040,0.2318456
59203.2876160,2459203.7884784,0.3066338,0.0349296,0.3129869
59362.7515703,2459363.2541949,0.2318216,0.0263735,0.5209770
59362.5554700,2459363.0581100,0.3078004,0.0310708,0.9000595
59202.8954144,2459203.3962429,0.4010587,0.0372603,0.0706097
59202.6338621,2459203.1346680,0.3767208,0.0288268,0.9083261
59202.7646383,2459203.2654555,0.3877284,0.0345648,0.9894684
59203.2217823,2459203.7226390,0.3164263,0.0327000,0.7687319
59203.0915156,2459203.5923610,0.2008075,0.0275388,0.6918015
59202.9607388,2459203.4615730,0.1954920,0.0280609,0.6106546
59203.0261906,2459203.5270304,0.3878425,0.0303513,0.1517520
59203.1569673,2459203.6578184,0.4193408,0.0312846,0.2328984
59362.1632695,2459362.6659400,0.1573618,0.0324870,0.6582241
59567.2806579,2459567.7814199,0.3467972,0.0302227,0.2255875
59567.2153335,2459567.7160899,0.1096855,0.0357437,0.6855436
59567.0846848,2459567.5854299,0.2323010,0.0386298,0.6054550
59567.8033803,2459568.3041875,0.2531993,0.0312284,0.5469954
59574.9908480,2459575.4922746,0.3238003,0.0251685,0.9666254
59726.4426467,2459726.9453988,0.3295486,0.0330305,0.9392927
59727.1599409,2459727.6626375,0.2604066,0.0348269,0.8682771
59726.7036893,2459727.2064212,0.3602710,0.0404998,0.0970092
59567.5419554,2459568.0427400,0.2547521,0.0305169,0.3857652
59566.9539087,2459567.4546425,0.2789513,0.0285153,0.5243135
59567.9340291,2459568.4348476,0.2107667,0.0265037,0.6270844
59726.5073344,2459727.0100814,0.1642072,0.0368023,0.4739854
59726.7035620,2459727.2062939,0.3334122,0.0328866,0.0959568
59726.6383650,2459727.1411019,0.2164361,0.0384156,0.5570539
59726.7688863,2459727.2716132,0.2288067,0.0229300,0.6359124
59726.5731680,2459727.0759100,0.2954900,0.0290769,0.0181509
59567.6726042,2459568.1734000,0.2160575,0.0453985,0.4658538
59567.0845574,2459567.5853025,0.2317064,0.0251484,0.6044020
59567.6072798,2459568.1080700,0.3613523,0.0354411,0.9258095
59726.1810943,2459726.6838665,0.2102226,0.0449409,0.7773613
59726.3773219,2459726.8800789,0.2154705,0.0260882,0.3993326
59726.3121248,2459726.8148870,0.2560907,0.0631586,0.8604293
59934.6831052,2459935.1840545,0.2326765,0.0385039,0.3240879
60094.0886550,2460094.5912194,0.3113975,0.0343225,0.0480669
60094.3482975,2460094.8508415,0.2424963,0.0296809,0.1942080
60091.1028351,2460091.6056316,0.2440648,0.0332317,0.3679929
60091.3629865,2460091.8657629,0.2246955,0.0248224,0.5183432
59934.5523292,2459935.0532671,0.2679965,0.0300216,0.2429468
59934.1615288,2459934.6624329,0.2473326,0.0293899,0.0121538
60091.2332292,2460091.7360156,0.2146538,0.0309477,0.4457996
60090.3893609,2460090.8922120,0.1954407,0.0320916,0.4705789
60090.5840605,2460091.0868967,0.2788842,0.0253694,0.0799213
60090.6490028,2460091.1518341,0.2169652,0.0270081,0.6167194
60090.7139451,2460091.2167714,0.3443610,0.0408205,0.1535176
60094.2185396,2460094.7210938,0.2398456,0.0288988,0.1216617
60090.2596035,2460090.7624646,0.2630280,0.0382308,0.3980343
59934.7481750,2459935.2491298,0.2735818,0.0350306,0.8620271
59934.6179082,2459935.1188518,0.2301912,0.0352038,0.7850962
60091.1029625,2460091.6057589,0.2555766,0.0247433,0.3690453
59934.0316440,2459934.5325370,0.2826508,0.0292703,0.9383816
60090.5187361,2460091.0215774,0.2264158,0.0330883,0.5399654
59935.0088359,2459935.5098132,0.2817595,0.0268329,0.0169416
59934.8785690,2459935.3795352,0.3115430,0.0282260,0.9400103
59934.7483023,2459935.2492571,0.2530102,0.0326566,0.8630796
60298.9583920,2460299.4592514,0.2004504,0.0356325,0.5699260
60299.0875133,2460299.5883839,0.1113819,0.0328840,0.6373875
60298.2481003,2460298.7488984,0.1939218,0.0306578,0.6978618
