sid,kind,teff,logg,snr,obs,Halpha,Hbeta,Hgamma,Hdelta,Hepsilon,Halpha_e,Hbeta_e,Hgamma_e,Hdelta_e,Hepsilon_e,Halpha_core,Hbeta_core,Hgamma_core,Hdelta_core,Hepsilon_core,bprp,MG
95077848,TARGET,72178.0,8.75,16.65090560913086,LCO,9.231118587695121,2.5391483958357015,0.574711575298139,4.977726022455484,1.2677419252713888,0.4590813952943382,0.3121638062012733,0.2290105358982217,0.2469326345764557,0.19684654436174542,0.25852297857473294,0.13302482593129183,0.03255767589457381,0.03537554962964662,0.06375250984827507,,
92423903,DA,32805.86,8.644866,12.376161575317383,LCO,14.434299204846502,16.954605004849487,16.159816093492207,12.202561627052733,1.0915630114321648,0.6589895418971448,0.33509372682968774,0.21195349793842289,0.23719728532079185,0.18869865871910774,0.24648536748071415,0.30711964366988265,0.29564819796063124,0.22559898913655263,0.05038148958358135,-0.41825000000000045,11.249902971251679
62915553,DA,34356.44,9.110179,13.932804107666016,APO,15.728512488077268,18.012066552935288,8.660314520528253,9.811342667377664,3.2626070765586648,0.5359679143413199,0.36731265473147573,0.24807766700366748,0.2691105855481819,0.21238681752243274,0.31031065540923,0.30486461052134595,0.21372463673375397,0.18273685475856805,0.09167202688195197,-0.381020000000003,11.270681997448293
79919872,DA,38047.75,8.626256,21.852588653564453,LCO,12.006215598096837,14.461960036480027,11.67425203319151,9.3079237153883,0.9135722446346826,0.34105263807034525,0.24852472314351123,0.1911868107328772,0.23073997359656637,0.18641367510341791,0.1930313628188811,0.2511860992531946,0.18008665278182634,0.19556019878164588,-0.011470621983112217,-0.4340200000000003,11.614446686283916
87778573,DA,47802.53,8.890799,13.0049467086792,APO,9.109970890445165,11.791004716042654,10.621375606263996,3.835305350200056,1.8156426798405483,0.5885654367926041,0.4083669108786253,0.2668768894813579,0.31141283186135504,0.2213535920423041,0.1614089445388457,0.1763412155892512,0.20391234206165554,0.12360547870652483,0.04519452257876844,-0.46962999999999866,11.620092305546953
57464341,DA,27694.27,8.821794,11.07802963256836,APO,18.021808704995212,24.60460163234639,20.43744330859049,12.095202135534125,3.7145136234780853,0.7353011150935297,0.4670642321250685,0.2938626087322951,0.33842065113766395,0.22342630424421528,0.3554519905282222,0.41135210610899053,0.42701639314634254,0.29804731704444787,0.1278836988039963,-0.5141499999999972,11.630482787367168
75044158,DA,27693.71,8.690816,32.88361358642578,APO,11.862147246715447,24.138046822703572,22.059441109671987,14.00830129911026,4.068893959269016,0.4660242651825214,0.17722140184919577,0.10560672844881577,0.11670703786031592,0.08792236663934588,0.04317919556002625,0.4230439645638866,0.40878897584309803,0.3065295458448194,0.15386141240538587,-0.3769600000000004,11.506808975533959
92605802,DA,24712.59,8.269592,9.515012741088867,LCO,14.893090717435257,22.849283714734483,23.274789130747003,19.683980357168732,6.40810040162116,0.9198025411907884,0.3958926017704397,0.2571931031949958,0.3143137994108679,0.2724249286590672,0.4242647382400513,0.44462540968141695,0.4579341979951883,0.441239345188981,0.20660918718583687,-0.461940000000002,11.37657663489044
96103732,DA,26787.54,8.734101,6.107472896575928,LCO,22.113184288602483,24.542025786120117,20.10810511783759,16.070760458510147,3.414208917585571,1.3848090995624316,0.6733678606705007,0.4339715271808293,0.4859158725043902,0.40819088544539556,0.3465283751627055,0.42480689295818697,0.40386349866575266,0.30200889275322595,0.13644066922695663,-0.36763999999999797,11.464683487123278
57579772,DA,26262.25,8.837535,40.254417419433594,APO,17.255847049484057,24.222596096113254,24.15631666766528,16.180769724690517,5.915006863845783,0.1803185643268494,0.13149365232113033,0.08192500952513852,0.09480534775023768,0.0749746223012055,0.3639636898375377,0.4351143861781318,0.4375530013357448,0.3541974811644756,0.2037828424213446,-0.3938299999999977,11.347457969826937
