#Table1
sdss_id,gaia_dr3_source_id,classification,p_da,teff,logg,snr,g_mag,bp_mag,rp_mag,plx,telescope,n_boss_visits
63087549,1751415267343760128,DA,0.7968675,28619.99,9.127536,11.2592,18.80324,18.65914,19.02192,5.929298,apo25m,1
70039094,2484846903830066432,DA,0.9900545,23319.6,8.407753,40.85118,18.65149,18.5813,18.88614,3.423435,apo25m,3
75293163,3150839277373651200,DA,0.9601477,24086.97,8.649794,15.37794,18.19886,18.11511,18.42781,4.505335,apo25m,2
57590493,880276705779600256,DA,0.9246845,-9999,-9999,16.12992,19.041,18.89142,19.21313,3.38115,apo25m,5
58635786,1016484107445300864,DA/DC,0.2973893,-9999,-9999,16.79209,19.64908,19.5437,19.85045,3.908313,apo25m,12
56421458,677312666087549568,DAH,0.3474042,-9999,-9999,39.33665,18.16637,18.08089,18.43654,4.219457,apo25m,2
102074081,5806220636534125312,DA,0.9641286,-9999,-9999,14.31244,18.3071,18.23481,18.57248,3.940173,lco25m,1
104771614,5935933154350863872,DA,0.6856857,30082.39,9.49,40.14308,15.67926,15.56944,15.88585,24.66618,lco25m,1
79919872,3828669018866032128,DA,0.842692,38047.75,8.626256,43.09086,17.51615,17.39841,17.83243,6.601754,lco25m,3
93486167,4911701033221628288,DA,0.8852745,23870.27,9.140717,12.84655,18.87314,18.79304,19.19318,5.763124,lco25m,2
65910067,2014571521340038144,DA,0.7597994,29083.53,8.430513,12.51976,18.68565,18.59113,18.94889,3.816375,apo25m,2
73570838,3027304747952370816,DA,0.5343595,29604.21,9.49,10.4493,18.94358,18.83036,19.1531,7.630952,lco25m,2
56083321,630736563260866048,DA,0.8894614,39605.68,8.639612,10.96282,18.41526,18.31337,18.68497,6.040189,apo25m,1
57579772,879036662822920448,DA,0.9360272,26262.25,8.837535,154.2604,17.78345,17.64225,18.03608,5.161805,apo25m,14
63608104,1812506057530130560,DA,0.9365962,28579.71,8.486257,18.1237,18.21412,18.11914,18.4251,4.221793,apo25m,2
65422285,1983126553936914816,DA,0.8016915,-9999,-9999,29.02916,17.36101,17.22603,17.65565,6.641587,apo25m,2
101498438,5750703648746056576,DA,0.9168181,22687.59,8.663137,13.78705,18.80065,18.75633,19.12294,3.565809,lco25m,1
79902627,3825304616363985792,DA,0.7463713,30382.89,9.49,10.16143,19.33077,19.25839,19.66481,3.601285,lco25m,2
67667846,2127151517639516288,DA,0.9923752,24064.83,8.328733,42.98905,15.66736,15.56951,15.8773,12.98695,apo25m,2
109822580,6371070309824311808,DA,0.8310184,25117.83,9.050846,26.34016,17.43288,17.33603,17.67637,10.81714,lco25m,2
