ra,dec,type,mag_g,mag_r,mag_i,mag_z,ref_cat,ref_id,sep_as
332.3893120686737,-14.87191257556412,REX,inf,inf,22.28635,inf,,0,9.921234084330768
332.3914294193225,-14.86695804505427,REX,inf,inf,21.49595,inf,,0,10.607430333347065
332.3882152182388,-14.86896272098589,PSF,inf,inf,23.695906,inf,,0,11.118517440749908
332.3965086970743,-14.87143573456363,PSF,inf,inf,21.839437,inf,,0,19.08096839506525
332.3968571797199,-14.87054617714735,EXP,inf,inf,21.158789,inf,,0,19.613459499044612
332.3889369834261,-14.8752860038434,EXP,inf,inf,21.538532,inf,,0,21.006834285873484
332.3852526044435,-14.87089096439361,PSF,inf,inf,19.271772,inf,GE,2600003193307945984,21.20457371270466
332.3944561645199,-14.87517011204519,PSF,inf,inf,23.17887,inf,,0,21.991421834527504
332.3941384927116,-14.864284482039,PSF,inf,inf,23.548735,inf,,0,22.560914702053378
332.3921062692571,-14.86367490867171,PSF,inf,inf,20.946827,inf,,0,22.60295155104131
332.3890087771444,-14.87614822905371,REX,inf,inf,21.665989,inf,,0,23.81842078078433
332.3850347291267,-14.86681570400083,REX,inf,inf,22.089132,inf,,0,24.34068506465036
332.3838714752972,-14.86862003675526,REX,inf,inf,22.163948,inf,,0,26.117691985599844
332.398694067833,-14.86826996235515,PSF,inf,inf,23.581093,inf,,0,26.523767467616057
